Name	ElectionDistrict
MS House District 1	Mississippi;MS House District 1
MS House District 2	Mississippi;MS House District 2
MS House District 3	Mississippi;MS House District 3
MS House District 4	Mississippi;MS House District 4
MS House District 5	Mississippi;MS House District 5
MS House District 6	Mississippi;MS House District 6
MS House District 7	Mississippi;MS House District 7
MS House District 8	Mississippi;MS House District 8
MS House District 9	Mississippi;MS House District 9
MS House District 10	Mississippi;MS House District 10
MS House District 11	Mississippi;MS House District 11
MS House District 12	Mississippi;MS House District 12
MS House District 13	Mississippi;MS House District 13
MS House District 14	Mississippi;MS House District 14
MS House District 15	Mississippi;MS House District 15
MS House District 16	Mississippi;MS House District 16
MS House District 17	Mississippi;MS House District 17
MS House District 18	Mississippi;MS House District 18
MS House District 19	Mississippi;MS House District 19
MS House District 20	Mississippi;MS House District 20
MS House District 21	Mississippi;MS House District 21
MS House District 22	Mississippi;MS House District 22
MS House District 23	Mississippi;MS House District 23
MS House District 24	Mississippi;MS House District 24
MS House District 25	Mississippi;MS House District 25
MS House District 26	Mississippi;MS House District 26
MS House District 27	Mississippi;MS House District 27
MS House District 28	Mississippi;MS House District 28
MS House District 29	Mississippi;MS House District 29
MS House District 30	Mississippi;MS House District 30
MS House District 31	Mississippi;MS House District 31
MS House District 32	Mississippi;MS House District 32
MS House District 33	Mississippi;MS House District 33
MS House District 34	Mississippi;MS House District 34
MS House District 35	Mississippi;MS House District 35
MS House District 36	Mississippi;MS House District 36
MS House District 37	Mississippi;MS House District 37
MS House District 38	Mississippi;MS House District 38
MS House District 39	Mississippi;MS House District 39
MS House District 40	Mississippi;MS House District 40
MS House District 41	Mississippi;MS House District 41
MS House District 42	Mississippi;MS House District 42
MS House District 43	Mississippi;MS House District 43
MS House District 44	Mississippi;MS House District 44
MS House District 45	Mississippi;MS House District 45
MS House District 46	Mississippi;MS House District 46
MS House District 47	Mississippi;MS House District 47
MS House District 48	Mississippi;MS House District 48
MS House District 49	Mississippi;MS House District 49
MS House District 50	Mississippi;MS House District 50
MS House District 51	Mississippi;MS House District 51
MS House District 52	Mississippi;MS House District 52
MS House District 53	Mississippi;MS House District 53
MS House District 54	Mississippi;MS House District 54
MS House District 55	Mississippi;MS House District 55
MS House District 56	Mississippi;MS House District 56
MS House District 57	Mississippi;MS House District 57
MS House District 58	Mississippi;MS House District 58
MS House District 59	Mississippi;MS House District 59
MS House District 60	Mississippi;MS House District 60
MS House District 61	Mississippi;MS House District 61
MS House District 62	Mississippi;MS House District 62
MS House District 63	Mississippi;MS House District 63
MS House District 64	Mississippi;MS House District 64
MS House District 65	Mississippi;MS House District 65
MS House District 66	Mississippi;MS House District 66
MS House District 67	Mississippi;MS House District 67
MS House District 68	Mississippi;MS House District 68
MS House District 69	Mississippi;MS House District 69
MS House District 70	Mississippi;MS House District 70
MS House District 71	Mississippi;MS House District 71
MS House District 72	Mississippi;MS House District 72
MS House District 73	Mississippi;MS House District 73
MS House District 74	Mississippi;MS House District 74
MS House District 75	Mississippi;MS House District 75
MS House District 76	Mississippi;MS House District 76
MS House District 77	Mississippi;MS House District 77
MS House District 78	Mississippi;MS House District 78
MS House District 79	Mississippi;MS House District 79
MS House District 80	Mississippi;MS House District 80
MS House District 81	Mississippi;MS House District 81
MS House District 82	Mississippi;MS House District 82
MS House District 83	Mississippi;MS House District 83
MS House District 84	Mississippi;MS House District 84
MS House District 85	Mississippi;MS House District 85
MS House District 86	Mississippi;MS House District 86
MS House District 87	Mississippi;MS House District 87
MS House District 88	Mississippi;MS House District 88
MS House District 89	Mississippi;MS House District 89
MS House District 90	Mississippi;MS House District 90
MS House District 91	Mississippi;MS House District 91
MS House District 92	Mississippi;MS House District 92
MS House District 93	Mississippi;MS House District 93
MS House District 94	Mississippi;MS House District 94
MS House District 95	Mississippi;MS House District 95
MS House District 96	Mississippi;MS House District 96
MS House District 97	Mississippi;MS House District 97
MS House District 98	Mississippi;MS House District 98
MS House District 99	Mississippi;MS House District 99
MS House District 100	Mississippi;MS House District 100
MS House District 101	Mississippi;MS House District 101
MS House District 102	Mississippi;MS House District 102
MS House District 103	Mississippi;MS House District 103
MS House District 104	Mississippi;MS House District 104
MS House District 105	Mississippi;MS House District 105
MS House District 106	Mississippi;MS House District 106
MS House District 107	Mississippi;MS House District 107
MS House District 108	Mississippi;MS House District 108
MS House District 109	Mississippi;MS House District 109
MS House District 110	Mississippi;MS House District 110
MS House District 111	Mississippi;MS House District 111
MS House District 112	Mississippi;MS House District 112
MS House District 113	Mississippi;MS House District 113
MS House District 114	Mississippi;MS House District 114
MS House District 115	Mississippi;MS House District 115
MS House District 116	Mississippi;MS House District 116
MS House District 117	Mississippi;MS House District 117
MS House District 118	Mississippi;MS House District 118
MS House District 119	Mississippi;MS House District 119
MS House District 120	Mississippi;MS House District 120
MS House District 121	Mississippi;MS House District 121
MS House District 122	Mississippi;MS House District 122
MS Senate District 1	Mississippi;MS Senate District 1
MS Senate District 2	Mississippi;MS Senate District 2
MS Senate District 3	Mississippi;MS Senate District 3
MS Senate District 4	Mississippi;MS Senate District 4
MS Senate District 5	Mississippi;MS Senate District 5
MS Senate District 6	Mississippi;MS Senate District 6
MS Senate District 7	Mississippi;MS Senate District 7
MS Senate District 8	Mississippi;MS Senate District 8
MS Senate District 9	Mississippi;MS Senate District 9
MS Senate District 10	Mississippi;MS Senate District 10
MS Senate District 11	Mississippi;MS Senate District 11
MS Senate District 12	Mississippi;MS Senate District 12
MS Senate District 13	Mississippi;MS Senate District 13
MS Senate District 14	Mississippi;MS Senate District 14
MS Senate District 15	Mississippi;MS Senate District 15
MS Senate District 16	Mississippi;MS Senate District 16
MS Senate District 17	Mississippi;MS Senate District 17
MS Senate District 18	Mississippi;MS Senate District 18
MS Senate District 19	Mississippi;MS Senate District 19
MS Senate District 20	Mississippi;MS Senate District 20
MS Senate District 21	Mississippi;MS Senate District 21
MS Senate District 22	Mississippi;MS Senate District 22
MS Senate District 23	Mississippi;MS Senate District 23
MS Senate District 24	Mississippi;MS Senate District 24
MS Senate District 25	Mississippi;MS Senate District 25
MS Senate District 26	Mississippi;MS Senate District 26
MS Senate District 27	Mississippi;MS Senate District 27
MS Senate District 28	Mississippi;MS Senate District 28
MS Senate District 29	Mississippi;MS Senate District 29
MS Senate District 30	Mississippi;MS Senate District 30
MS Senate District 31	Mississippi;MS Senate District 31
MS Senate District 32	Mississippi;MS Senate District 32
MS Senate District 33	Mississippi;MS Senate District 33
MS Senate District 34	Mississippi;MS Senate District 34
MS Senate District 35	Mississippi;MS Senate District 35
MS Senate District 36	Mississippi;MS Senate District 36
MS Senate District 37	Mississippi;MS Senate District 37
MS Senate District 38	Mississippi;MS Senate District 38
MS Senate District 39	Mississippi;MS Senate District 39
MS Senate District 40	Mississippi;MS Senate District 40
MS Senate District 41	Mississippi;MS Senate District 41
MS Senate District 42	Mississippi;MS Senate District 42
MS Senate District 43	Mississippi;MS Senate District 43
MS Senate District 44	Mississippi;MS Senate District 44
MS Senate District 45	Mississippi;MS Senate District 45
MS Senate District 46	Mississippi;MS Senate District 46
MS Senate District 47	Mississippi;MS Senate District 47
MS Senate District 48	Mississippi;MS Senate District 48
MS Senate District 49	Mississippi;MS Senate District 49
MS Senate District 50	Mississippi;MS Senate District 50
MS Senate District 51	Mississippi;MS Senate District 51
MS Senate District 52	Mississippi;MS Senate District 52
US House MS District 1	Mississippi;US House MS District 1
US House MS District 2	Mississippi;US House MS District 2
US House MS District 3	Mississippi;US House MS District 3
US House MS District 4	Mississippi;US House MS District 4
US President (MS)	Mississippi
MS Governor	Mississippi
US Senate MS	Mississippi
MS Attorney General	Mississippi
MS Lieutenant Governor	Mississippi
MS Treasurer	Mississippi
MS Secretary of State	Mississippi
