Name	ReportingUnitType
Mississippi;MS House District 1	state-house
Mississippi;MS House District 2	state-house
Mississippi;MS House District 3	state-house
Mississippi;MS House District 4	state-house
Mississippi;MS House District 5	state-house
Mississippi;MS House District 6	state-house
Mississippi;MS House District 7	state-house
Mississippi;MS House District 8	state-house
Mississippi;MS House District 9	state-house
Mississippi;MS House District 10	state-house
Mississippi;MS House District 11	state-house
Mississippi;MS House District 12	state-house
Mississippi;MS House District 13	state-house
Mississippi;MS House District 14	state-house
Mississippi;MS House District 15	state-house
Mississippi;MS House District 16	state-house
Mississippi;MS House District 17	state-house
Mississippi;MS House District 18	state-house
Mississippi;MS House District 19	state-house
Mississippi;MS House District 20	state-house
Mississippi;MS House District 21	state-house
Mississippi;MS House District 22	state-house
Mississippi;MS House District 23	state-house
Mississippi;MS House District 24	state-house
Mississippi;MS House District 25	state-house
Mississippi;MS House District 26	state-house
Mississippi;MS House District 27	state-house
Mississippi;MS House District 28	state-house
Mississippi;MS House District 29	state-house
Mississippi;MS House District 30	state-house
Mississippi;MS House District 31	state-house
Mississippi;MS House District 32	state-house
Mississippi;MS House District 33	state-house
Mississippi;MS House District 34	state-house
Mississippi;MS House District 35	state-house
Mississippi;MS House District 36	state-house
Mississippi;MS House District 37	state-house
Mississippi;MS House District 38	state-house
Mississippi;MS House District 39	state-house
Mississippi;MS House District 40	state-house
Mississippi;MS House District 41	state-house
Mississippi;MS House District 42	state-house
Mississippi;MS House District 43	state-house
Mississippi;MS House District 44	state-house
Mississippi;MS House District 45	state-house
Mississippi;MS House District 46	state-house
Mississippi;MS House District 47	state-house
Mississippi;MS House District 48	state-house
Mississippi;MS House District 49	state-house
Mississippi;MS House District 50	state-house
Mississippi;MS House District 51	state-house
Mississippi;MS House District 52	state-house
Mississippi;MS House District 53	state-house
Mississippi;MS House District 54	state-house
Mississippi;MS House District 55	state-house
Mississippi;MS House District 56	state-house
Mississippi;MS House District 57	state-house
Mississippi;MS House District 58	state-house
Mississippi;MS House District 59	state-house
Mississippi;MS House District 60	state-house
Mississippi;MS House District 61	state-house
Mississippi;MS House District 62	state-house
Mississippi;MS House District 63	state-house
Mississippi;MS House District 64	state-house
Mississippi;MS House District 65	state-house
Mississippi;MS House District 66	state-house
Mississippi;MS House District 67	state-house
Mississippi;MS House District 68	state-house
Mississippi;MS House District 69	state-house
Mississippi;MS House District 70	state-house
Mississippi;MS House District 71	state-house
Mississippi;MS House District 72	state-house
Mississippi;MS House District 73	state-house
Mississippi;MS House District 74	state-house
Mississippi;MS House District 75	state-house
Mississippi;MS House District 76	state-house
Mississippi;MS House District 77	state-house
Mississippi;MS House District 78	state-house
Mississippi;MS House District 79	state-house
Mississippi;MS House District 80	state-house
Mississippi;MS House District 81	state-house
Mississippi;MS House District 82	state-house
Mississippi;MS House District 83	state-house
Mississippi;MS House District 84	state-house
Mississippi;MS House District 85	state-house
Mississippi;MS House District 86	state-house
Mississippi;MS House District 87	state-house
Mississippi;MS House District 88	state-house
Mississippi;MS House District 89	state-house
Mississippi;MS House District 90	state-house
Mississippi;MS House District 91	state-house
Mississippi;MS House District 92	state-house
Mississippi;MS House District 93	state-house
Mississippi;MS House District 94	state-house
Mississippi;MS House District 95	state-house
Mississippi;MS House District 96	state-house
Mississippi;MS House District 97	state-house
Mississippi;MS House District 98	state-house
Mississippi;MS House District 99	state-house
Mississippi;MS House District 100	state-house
Mississippi;MS House District 101	state-house
Mississippi;MS House District 102	state-house
Mississippi;MS House District 103	state-house
Mississippi;MS House District 104	state-house
Mississippi;MS House District 105	state-house
Mississippi;MS House District 106	state-house
Mississippi;MS House District 107	state-house
Mississippi;MS House District 108	state-house
Mississippi;MS House District 109	state-house
Mississippi;MS House District 110	state-house
Mississippi;MS House District 111	state-house
Mississippi;MS House District 112	state-house
Mississippi;MS House District 113	state-house
Mississippi;MS House District 114	state-house
Mississippi;MS House District 115	state-house
Mississippi;MS House District 116	state-house
Mississippi;MS House District 117	state-house
Mississippi;MS House District 118	state-house
Mississippi;MS House District 119	state-house
Mississippi;MS House District 120	state-house
Mississippi;MS House District 121	state-house
Mississippi;MS House District 122	state-house
Mississippi;MS Senate District 1	state-senate
Mississippi;MS Senate District 2	state-senate
Mississippi;MS Senate District 3	state-senate
Mississippi;MS Senate District 4	state-senate
Mississippi;MS Senate District 5	state-senate
Mississippi;MS Senate District 6	state-senate
Mississippi;MS Senate District 7	state-senate
Mississippi;MS Senate District 8	state-senate
Mississippi;MS Senate District 9	state-senate
Mississippi;MS Senate District 10	state-senate
Mississippi;MS Senate District 11	state-senate
Mississippi;MS Senate District 12	state-senate
Mississippi;MS Senate District 13	state-senate
Mississippi;MS Senate District 14	state-senate
Mississippi;MS Senate District 15	state-senate
Mississippi;MS Senate District 16	state-senate
Mississippi;MS Senate District 17	state-senate
Mississippi;MS Senate District 18	state-senate
Mississippi;MS Senate District 19	state-senate
Mississippi;MS Senate District 20	state-senate
Mississippi;MS Senate District 21	state-senate
Mississippi;MS Senate District 22	state-senate
Mississippi;MS Senate District 23	state-senate
Mississippi;MS Senate District 24	state-senate
Mississippi;MS Senate District 25	state-senate
Mississippi;MS Senate District 26	state-senate
Mississippi;MS Senate District 27	state-senate
Mississippi;MS Senate District 28	state-senate
Mississippi;MS Senate District 29	state-senate
Mississippi;MS Senate District 30	state-senate
Mississippi;MS Senate District 31	state-senate
Mississippi;MS Senate District 32	state-senate
Mississippi;MS Senate District 33	state-senate
Mississippi;MS Senate District 34	state-senate
Mississippi;MS Senate District 35	state-senate
Mississippi;MS Senate District 36	state-senate
Mississippi;MS Senate District 37	state-senate
Mississippi;MS Senate District 38	state-senate
Mississippi;MS Senate District 39	state-senate
Mississippi;MS Senate District 40	state-senate
Mississippi;MS Senate District 41	state-senate
Mississippi;MS Senate District 42	state-senate
Mississippi;MS Senate District 43	state-senate
Mississippi;MS Senate District 44	state-senate
Mississippi;MS Senate District 45	state-senate
Mississippi;MS Senate District 46	state-senate
Mississippi;MS Senate District 47	state-senate
Mississippi;MS Senate District 48	state-senate
Mississippi;MS Senate District 49	state-senate
Mississippi;MS Senate District 50	state-senate
Mississippi;MS Senate District 51	state-senate
Mississippi;MS Senate District 52	state-senate
Mississippi;US House MS District 1	congressional
Mississippi;US House MS District 2	congressional
Mississippi;US House MS District 3	congressional
Mississippi;US House MS District 4	congressional
Mississippi	state
Mississippi;Adams County	county
