cdf_element	cdf_internal_name	raw_identifier_value
Candidate	Al Gore	AL GORE
Candidate	Antonia Eliason	Antonia Eliason
Candidate	Barack Obama	BARACK OBAMA
Candidate	Bennie G. Thompson	Bennie G. Thompson
Candidate	Brian Carroll	Presidential Electors for Brian Carroll for President and Amar Patel for Vice President
Candidate	Brian Flowers	Brian Flowers
Candidate	Brock Pierce	Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President
Candidate	Cindy Hyde-Smith	Cindy Hyde-Smith
Candidate	Don Blankenship	Presidential Electors for Don Blankenship for President and William Mohr for Vice President
Candidate	Donald J. Trump	Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President
Candidate	Donald J. Trump	DONALD TRUMP
Candidate	Dorothy Dot Benford	Dorothy Dot Benford
Candidate	George W. Bush	GEORGE W. BUSH
Candidate	Hillary Clinton	HILLARY CLINTON
Candidate	Howie Hawkins	Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President
Candidate	Jimmy L. Edwards	Jimmy L. Edwards
Candidate	Jo Jorgensen	Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President
Candidate	John Kerry	JOHN KERRY
Candidate	John McCain	JOHN MCCAIN
Candidate	Joseph R. Biden Jr.	Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President
Candidate	Kanye West	Presidential Electors for Kanye West for President and Michelle Tidball for Vice President
Candidate	Michael Guest	Michael Guest
Candidate	Mike Espy	Mike Espy
Candidate	Mitt Romney	MITT ROMNEY
Candidate	Other	OTHER
Candidate	Phil Collins	Presidential Electors for Phil Collins for President and Bill Parker for Vice President
Candidate	Ralph Nader	RALPH NADER
Candidate	Steven M. Palazzo	Steven M. Palazzo
Candidate	Trent Kelly	Trent Kelly
CandidateContest	MS Attorney General	MS Attorney General
CandidateContest	MS Governor	MS Governor
CandidateContest	MS House District 1	MS House District 1
CandidateContest	MS House District 10	MS House District 10
CandidateContest	MS House District 100	MS House District 100
CandidateContest	MS House District 101	MS House District 101
CandidateContest	MS House District 102	MS House District 102
CandidateContest	MS House District 103	MS House District 103
CandidateContest	MS House District 104	MS House District 104
CandidateContest	MS House District 105	MS House District 105
CandidateContest	MS House District 106	MS House District 106
CandidateContest	MS House District 107	MS House District 107
CandidateContest	MS House District 108	MS House District 108
CandidateContest	MS House District 109	MS House District 109
CandidateContest	MS House District 11	MS House District 11
CandidateContest	MS House District 110	MS House District 110
CandidateContest	MS House District 111	MS House District 111
CandidateContest	MS House District 112	MS House District 112
CandidateContest	MS House District 113	MS House District 113
CandidateContest	MS House District 114	MS House District 114
CandidateContest	MS House District 115	MS House District 115
CandidateContest	MS House District 116	MS House District 116
CandidateContest	MS House District 117	MS House District 117
CandidateContest	MS House District 118	MS House District 118
CandidateContest	MS House District 119	MS House District 119
CandidateContest	MS House District 12	MS House District 12
CandidateContest	MS House District 120	MS House District 120
CandidateContest	MS House District 121	MS House District 121
CandidateContest	MS House District 122	MS House District 122
CandidateContest	MS House District 13	MS House District 13
CandidateContest	MS House District 14	MS House District 14
CandidateContest	MS House District 15	MS House District 15
CandidateContest	MS House District 16	MS House District 16
CandidateContest	MS House District 17	MS House District 17
CandidateContest	MS House District 18	MS House District 18
CandidateContest	MS House District 19	MS House District 19
CandidateContest	MS House District 2	MS House District 2
CandidateContest	MS House District 20	MS House District 20
CandidateContest	MS House District 21	MS House District 21
CandidateContest	MS House District 22	MS House District 22
CandidateContest	MS House District 23	MS House District 23
CandidateContest	MS House District 24	MS House District 24
CandidateContest	MS House District 25	MS House District 25
CandidateContest	MS House District 26	MS House District 26
CandidateContest	MS House District 27	MS House District 27
CandidateContest	MS House District 28	MS House District 28
CandidateContest	MS House District 29	MS House District 29
CandidateContest	MS House District 3	MS House District 3
CandidateContest	MS House District 30	MS House District 30
CandidateContest	MS House District 31	MS House District 31
CandidateContest	MS House District 32	MS House District 32
CandidateContest	MS House District 33	MS House District 33
CandidateContest	MS House District 34	MS House District 34
CandidateContest	MS House District 35	MS House District 35
CandidateContest	MS House District 36	MS House District 36
CandidateContest	MS House District 37	MS House District 37
CandidateContest	MS House District 38	MS House District 38
CandidateContest	MS House District 39	MS House District 39
CandidateContest	MS House District 4	MS House District 4
CandidateContest	MS House District 40	MS House District 40
CandidateContest	MS House District 41	MS House District 41
CandidateContest	MS House District 42	MS House District 42
CandidateContest	MS House District 43	MS House District 43
CandidateContest	MS House District 44	MS House District 44
CandidateContest	MS House District 45	MS House District 45
CandidateContest	MS House District 46	MS House District 46
CandidateContest	MS House District 47	MS House District 47
CandidateContest	MS House District 48	MS House District 48
