Name	NumberElected	Office	PrimaryParty
MO House District 1	1	MO House District 1	
MO House District 2	1	MO House District 2	
MO House District 3	1	MO House District 3	
MO House District 4	1	MO House District 4	
MO House District 5	1	MO House District 5	
MO House District 6	1	MO House District 6	
MO House District 7	1	MO House District 7	
MO House District 8	1	MO House District 8	
MO House District 9	1	MO House District 9	
MO House District 10	1	MO House District 10	
MO House District 11	1	MO House District 11	
MO House District 12	1	MO House District 12	
MO House District 13	1	MO House District 13	
MO House District 14	1	MO House District 14	
MO House District 15	1	MO House District 15	
MO House District 16	1	MO House District 16	
MO House District 17	1	MO House District 17	
MO House District 18	1	MO House District 18	
MO House District 19	1	MO House District 19	
MO House District 20	1	MO House District 20	
MO House District 21	1	MO House District 21	
MO House District 22	1	MO House District 22	
MO House District 23	1	MO House District 23	
MO House District 24	1	MO House District 24	
MO House District 25	1	MO House District 25	
MO House District 26	1	MO House District 26	
MO House District 27	1	MO House District 27	
MO House District 28	1	MO House District 28	
MO House District 29	1	MO House District 29	
MO House District 30	1	MO House District 30	
MO House District 31	1	MO House District 31	
MO House District 32	1	MO House District 32	
MO House District 33	1	MO House District 33	
MO House District 34	1	MO House District 34	
MO House District 35	1	MO House District 35	
MO House District 36	1	MO House District 36	
MO House District 37	1	MO House District 37	
MO House District 38	1	MO House District 38	
MO House District 39	1	MO House District 39	
MO House District 40	1	MO House District 40	
MO House District 41	1	MO House District 41	
MO House District 42	1	MO House District 42	
MO House District 43	1	MO House District 43	
MO House District 44	1	MO House District 44	
MO House District 45	1	MO House District 45	
MO House District 46	1	MO House District 46	
MO House District 47	1	MO House District 47	
MO House District 48	1	MO House District 48	
MO House District 49	1	MO House District 49	
MO House District 50	1	MO House District 50	
MO House District 51	1	MO House District 51	
MO House District 52	1	MO House District 52	
MO House District 53	1	MO House District 53	
MO House District 54	1	MO House District 54	
MO House District 55	1	MO House District 55	
MO House District 56	1	MO House District 56	
MO House District 57	1	MO House District 57	
MO House District 58	1	MO House District 58	
MO House District 59	1	MO House District 59	
MO House District 60	1	MO House District 60	
MO House District 61	1	MO House District 61	
MO House District 62	1	MO House District 62	
MO House District 63	1	MO House District 63	
MO House District 64	1	MO House District 64	
MO House District 65	1	MO House District 65	
MO House District 66	1	MO House District 66	
MO House District 67	1	MO House District 67	
MO House District 68	1	MO House District 68	
MO House District 69	1	MO House District 69	
MO House District 70	1	MO House District 70	
MO House District 71	1	MO House District 71	
MO House District 72	1	MO House District 72	
MO House District 73	1	MO House District 73	
MO House District 74	1	MO House District 74	
MO House District 75	1	MO House District 75	
MO House District 76	1	MO House District 76	
MO House District 77	1	MO House District 77	
MO House District 78	1	MO House District 78	
MO House District 79	1	MO House District 79	
MO House District 80	1	MO House District 80	
MO House District 81	1	MO House District 81	
MO House District 82	1	MO House District 82	
MO House District 83	1	MO House District 83	
MO House District 84	1	MO House District 84	
MO House District 85	1	MO House District 85	
MO House District 86	1	MO House District 86	
MO House District 87	1	MO House District 87	
MO House District 88	1	MO House District 88	
MO House District 89	1	MO House District 89	
MO House District 90	1	MO House District 90	
MO House District 91	1	MO House District 91	
MO House District 92	1	MO House District 92	
MO House District 93	1	MO House District 93	
MO House District 94	1	MO House District 94	
MO House District 95	1	MO House District 95	
MO House District 96	1	MO House District 96	
MO House District 97	1	MO House District 97	
MO House District 98	1	MO House District 98	
MO House District 99	1	MO House District 99	
MO House District 100	1	MO House District 100	
MO House District 101	1	MO House District 101	
MO House District 102	1	MO House District 102	
MO House District 103	1	MO House District 103	
MO House District 104	1	MO House District 104	
MO House District 105	1	MO House District 105	
MO House District 106	1	MO House District 106	
MO House District 107	1	MO House District 107	
MO House District 108	1	MO House District 108	
MO House District 109	1	MO House District 109	
MO House District 110	1	MO House District 110	
MO House District 111	1	MO House District 111	
MO House District 112	1	MO House District 112	
MO House District 113	1	MO House District 113	
MO House District 114	1	MO House District 114	
MO House District 115	1	MO House District 115	
MO House District 116	1	MO House District 116	
MO House District 117	1	MO House District 117	
MO House District 118	1	MO House District 118	
MO House District 119	1	MO House District 119	
MO House District 120	1	MO House District 120	
MO House District 121	1	MO House District 121	
MO House District 122	1	MO House District 122	
MO House District 123	1	MO House District 123	
MO House District 124	1	MO House District 124	
MO House District 125	1	MO House District 125	
MO House District 126	1	MO House District 126	
MO House District 127	1	MO House District 127	
MO House District 128	1	MO House District 128	
MO House District 129	1	MO House District 129	
MO House District 130	1	MO House District 130	
