Name	ReportingUnitType
Missouri;MO House District 1	state-house
Missouri;MO House District 2	state-house
Missouri;MO House District 3	state-house
Missouri;MO House District 4	state-house
Missouri;MO House District 5	state-house
Missouri;MO House District 6	state-house
Missouri;MO House District 7	state-house
Missouri;MO House District 8	state-house
Missouri;MO House District 9	state-house
Missouri;MO House District 10	state-house
Missouri;MO House District 11	state-house
Missouri;MO House District 12	state-house
Missouri;MO House District 13	state-house
Missouri;MO House District 14	state-house
Missouri;MO House District 15	state-house
Missouri;MO House District 16	state-house
Missouri;MO House District 17	state-house
Missouri;MO House District 18	state-house
Missouri;MO House District 19	state-house
Missouri;MO House District 20	state-house
Missouri;MO House District 21	state-house
Missouri;MO House District 22	state-house
Missouri;MO House District 23	state-house
Missouri;MO House District 24	state-house
Missouri;MO House District 25	state-house
Missouri;MO House District 26	state-house
Missouri;MO House District 27	state-house
Missouri;MO House District 28	state-house
Missouri;MO House District 29	state-house
Missouri;MO House District 30	state-house
Missouri;MO House District 31	state-house
Missouri;MO House District 32	state-house
Missouri;MO House District 33	state-house
Missouri;MO House District 34	state-house
Missouri;MO House District 35	state-house
Missouri;MO House District 36	state-house
Missouri;MO House District 37	state-house
Missouri;MO House District 38	state-house
Missouri;MO House District 39	state-house
Missouri;MO House District 40	state-house
Missouri;MO House District 41	state-house
Missouri;MO House District 42	state-house
Missouri;MO House District 43	state-house
Missouri;MO House District 44	state-house
Missouri;MO House District 45	state-house
Missouri;MO House District 46	state-house
Missouri;MO House District 47	state-house
Missouri;MO House District 48	state-house
Missouri;MO House District 49	state-house
Missouri;MO House District 50	state-house
Missouri;MO House District 51	state-house
Missouri;MO House District 52	state-house
Missouri;MO House District 53	state-house
Missouri;MO House District 54	state-house
Missouri;MO House District 55	state-house
Missouri;MO House District 56	state-house
Missouri;MO House District 57	state-house
Missouri;MO House District 58	state-house
Missouri;MO House District 59	state-house
Missouri;MO House District 60	state-house
Missouri;MO House District 61	state-house
Missouri;MO House District 62	state-house
Missouri;MO House District 63	state-house
Missouri;MO House District 64	state-house
Missouri;MO House District 65	state-house
Missouri;MO House District 66	state-house
Missouri;MO House District 67	state-house
Missouri;MO House District 68	state-house
Missouri;MO House District 69	state-house
Missouri;MO House District 70	state-house
Missouri;MO House District 71	state-house
Missouri;MO House District 72	state-house
Missouri;MO House District 73	state-house
