cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest	MT House District 1 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 1 (Democratic)
CandidateContest	MT House District 1 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 1 (Democrat)
CandidateContest	MT House District 2 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 2 (Democratic)
CandidateContest	MT House District 2 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 2 (Democrat)
CandidateContest	MT House District 3 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 3 (Democratic)
CandidateContest	MT House District 3 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 3 (Democrat)
CandidateContest	MT House District 4 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 4 (Democratic)
CandidateContest	MT House District 4 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 4 (Democrat)
CandidateContest	MT House District 5 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 5 (Democratic)
CandidateContest	MT House District 5 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 5 (Democrat)
CandidateContest	MT House District 6 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 6 (Democratic)
CandidateContest	MT House District 6 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 6 (Democrat)
CandidateContest	MT House District 7 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 7 (Democratic)
CandidateContest	MT House District 7 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 7 (Democrat)
CandidateContest	MT House District 8 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 8 (Democratic)
CandidateContest	MT House District 8 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 8 (Democrat)
CandidateContest	MT House District 9 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 9 (Democratic)
CandidateContest	MT House District 9 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 9 (Democrat)
CandidateContest	MT House District 10 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 10 (Democratic)
CandidateContest	MT House District 10 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 10 (Democrat)
CandidateContest	MT House District 11 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 11 (Democratic)
CandidateContest	MT House District 11 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 11 (Democrat)
CandidateContest	MT House District 12 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 12 (Democratic)
CandidateContest	MT House District 12 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 12 (Democrat)
CandidateContest	MT House District 13 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 13 (Democratic)
CandidateContest	MT House District 13 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 13 (Democrat)
CandidateContest	MT House District 14 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 14 (Democratic)
CandidateContest	MT House District 14 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 14 (Democrat)
CandidateContest	MT House District 15 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 15 (Democratic)
CandidateContest	MT House District 15 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 15 (Democrat)
CandidateContest	MT House District 16 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 16 (Democratic)
CandidateContest	MT House District 16 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 16 (Democrat)
CandidateContest	MT House District 17 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 17 (Democratic)
CandidateContest	MT House District 17 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 17 (Democrat)
CandidateContest	MT House District 18 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 18 (Democratic)
CandidateContest	MT House District 18 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 18 (Democrat)
CandidateContest	MT House District 19 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 19 (Democratic)
CandidateContest	MT House District 19 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 19 (Democrat)
CandidateContest	MT House District 20 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 20 (Democratic)
CandidateContest	MT House District 20 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 20 (Democrat)
CandidateContest	MT House District 21 (Democratic Party)	STATE REPRESENTATIVE DISTRICT 21 (Democratic)
