Name	ElectionDistrict
North Carolina;General Assembly House of Representatives District 2	North Carolina;General Assembly House of Representatives District 2
North Carolina;General Assembly House of Representatives District 3	North Carolina;General Assembly House of Representatives District 3
North Carolina;General Assembly House of Representatives District 4	North Carolina;General Assembly House of Representatives District 4
North Carolina;General Assembly House of Representatives District 5	North Carolina;General Assembly House of Representatives District 5
North Carolina;General Assembly House of Representatives District 6	North Carolina;General Assembly House of Representatives District 6
North Carolina;General Assembly House of Representatives District 7	North Carolina;General Assembly House of Representatives District 7
North Carolina;General Assembly House of Representatives District 8	North Carolina;General Assembly House of Representatives District 8
North Carolina;General Assembly House of Representatives District 9	North Carolina;General Assembly House of Representatives District 9
North Carolina;General Assembly House of Representatives District 10	North Carolina;General Assembly House of Representatives District 10
North Carolina;General Assembly House of Representatives District 11	North Carolina;General Assembly House of Representatives District 11
North Carolina;General Assembly House of Representatives District 12	North Carolina;General Assembly House of Representatives District 12
North Carolina;General Assembly House of Representatives District 13	North Carolina;General Assembly House of Representatives District 13
North Carolina;General Assembly House of Representatives District 14	North Carolina;General Assembly House of Representatives District 14
North Carolina;General Assembly House of Representatives District 15	North Carolina;General Assembly House of Representatives District 15
North Carolina;General Assembly House of Representatives District 16	North Carolina;General Assembly House of Representatives District 16
North Carolina;General Assembly House of Representatives District 17	North Carolina;General Assembly House of Representatives District 17
North Carolina;General Assembly House of Representatives District 18	North Carolina;General Assembly House of Representatives District 18
North Carolina;General Assembly House of Representatives District 19	North Carolina;General Assembly House of Representatives District 19
North Carolina;General Assembly House of Representatives District 20	North Carolina;General Assembly House of Representatives District 20
North Carolina;General Assembly House of Representatives District 21	North Carolina;General Assembly House of Representatives District 21
North Carolina;General Assembly House of Representatives District 22	North Carolina;General Assembly House of Representatives District 22
North Carolina;General Assembly House of Representatives District 23	North Carolina;General Assembly House of Representatives District 23
North Carolina;General Assembly House of Representatives District 24	North Carolina;General Assembly House of Representatives District 24
North Carolina;General Assembly House of Representatives District 25	North Carolina;General Assembly House of Representatives District 25
North Carolina;General Assembly House of Representatives District 26	North Carolina;General Assembly House of Representatives District 26
North Carolina;General Assembly House of Representatives District 27	North Carolina;General Assembly House of Representatives District 27
North Carolina;General Assembly House of Representatives District 28	North Carolina;General Assembly House of Representatives District 28
North Carolina;General Assembly House of Representatives District 29	North Carolina;General Assembly House of Representatives District 29
North Carolina;General Assembly House of Representatives District 30	North Carolina;General Assembly House of Representatives District 30
North Carolina;General Assembly House of Representatives District 31	North Carolina;General Assembly House of Representatives District 31
North Carolina;General Assembly House of Representatives District 32	North Carolina;General Assembly House of Representatives District 32
North Carolina;General Assembly House of Representatives District 33	North Carolina;General Assembly House of Representatives District 33
North Carolina;General Assembly House of Representatives District 34	North Carolina;General Assembly House of Representatives District 34
North Carolina;General Assembly House of Representatives District 35	North Carolina;General Assembly House of Representatives District 35
North Carolina;General Assembly House of Representatives District 36	North Carolina;General Assembly House of Representatives District 36
North Carolina;General Assembly House of Representatives District 37	North Carolina;General Assembly House of Representatives District 37
North Carolina;General Assembly House of Representatives District 38	North Carolina;General Assembly House of Representatives District 38
North Carolina;General Assembly House of Representatives District 39	North Carolina;General Assembly House of Representatives District 39
North Carolina;General Assembly House of Representatives District 40	North Carolina;General Assembly House of Representatives District 40
North Carolina;General Assembly House of Representatives District 41	North Carolina;General Assembly House of Representatives District 41
North Carolina;General Assembly House of Representatives District 42	North Carolina;General Assembly House of Representatives District 42
North Carolina;General Assembly House of Representatives District 43	North Carolina;General Assembly House of Representatives District 43
North Carolina;General Assembly House of Representatives District 44	North Carolina;General Assembly House of Representatives District 44
North Carolina;General Assembly House of Representatives District 45	North Carolina;General Assembly House of Representatives District 45
North Carolina;General Assembly House of Representatives District 46	North Carolina;General Assembly House of Representatives District 46
North Carolina;General Assembly House of Representatives District 47	North Carolina;General Assembly House of Representatives District 47
North Carolina;General Assembly House of Representatives District 48	North Carolina;General Assembly House of Representatives District 48
North Carolina;General Assembly House of Representatives District 49	North Carolina;General Assembly House of Representatives District 49
North Carolina;General Assembly House of Representatives District 50	North Carolina;General Assembly House of Representatives District 50
North Carolina;General Assembly House of Representatives District 51	North Carolina;General Assembly House of Representatives District 51
North Carolina;General Assembly House of Representatives District 52	North Carolina;General Assembly House of Representatives District 52
North Carolina;General Assembly House of Representatives District 53	North Carolina;General Assembly House of Representatives District 53
North Carolina;General Assembly House of Representatives District 54	North Carolina;General Assembly House of Representatives District 54
North Carolina;General Assembly House of Representatives District 55	North Carolina;General Assembly House of Representatives District 55
North Carolina;General Assembly House of Representatives District 56	North Carolina;General Assembly House of Representatives District 56
North Carolina;General Assembly House of Representatives District 57	North Carolina;General Assembly House of Representatives District 57
North Carolina;General Assembly House of Representatives District 58	North Carolina;General Assembly House of Representatives District 58
North Carolina;General Assembly House of Representatives District 59	North Carolina;General Assembly House of Representatives District 59
North Carolina;General Assembly House of Representatives District 60	North Carolina;General Assembly House of Representatives District 60
North Carolina;General Assembly House of Representatives District 61	North Carolina;General Assembly House of Representatives District 61
North Carolina;General Assembly House of Representatives District 62	North Carolina;General Assembly House of Representatives District 62
North Carolina;General Assembly House of Representatives District 63	North Carolina;General Assembly House of Representatives District 63
North Carolina;General Assembly House of Representatives District 64	North Carolina;General Assembly House of Representatives District 64
North Carolina;General Assembly House of Representatives District 65	North Carolina;General Assembly House of Representatives District 65
North Carolina;General Assembly House of Representatives District 66	North Carolina;General Assembly House of Representatives District 66
North Carolina;General Assembly House of Representatives District 67	North Carolina;General Assembly House of Representatives District 67
North Carolina;General Assembly House of Representatives District 68	North Carolina;General Assembly House of Representatives District 68
North Carolina;General Assembly House of Representatives District 69	North Carolina;General Assembly House of Representatives District 69
North Carolina;General Assembly House of Representatives District 70	North Carolina;General Assembly House of Representatives District 70
North Carolina;General Assembly House of Representatives District 71	North Carolina;General Assembly House of Representatives District 71
North Carolina;General Assembly House of Representatives District 72	North Carolina;General Assembly House of Representatives District 72
North Carolina;General Assembly House of Representatives District 73	North Carolina;General Assembly House of Representatives District 73
North Carolina;General Assembly House of Representatives District 74	North Carolina;General Assembly House of Representatives District 74
North Carolina;General Assembly House of Representatives District 75	North Carolina;General Assembly House of Representatives District 75
North Carolina;General Assembly House of Representatives District 76	North Carolina;General Assembly House of Representatives District 76
North Carolina;General Assembly House of Representatives District 77	North Carolina;General Assembly House of Representatives District 77
North Carolina;General Assembly House of Representatives District 78	North Carolina;General Assembly House of Representatives District 78
North Carolina;General Assembly House of Representatives District 79	North Carolina;General Assembly House of Representatives District 79
North Carolina;General Assembly House of Representatives District 80	North Carolina;General Assembly House of Representatives District 80
North Carolina;General Assembly House of Representatives District 81	North Carolina;General Assembly House of Representatives District 81
North Carolina;General Assembly House of Representatives District 82	North Carolina;General Assembly House of Representatives District 82
North Carolina;General Assembly House of Representatives District 83	North Carolina;General Assembly House of Representatives District 83
North Carolina;General Assembly House of Representatives District 84	North Carolina;General Assembly House of Representatives District 84
North Carolina;General Assembly House of Representatives District 85	North Carolina;General Assembly House of Representatives District 85
North Carolina;General Assembly House of Representatives District 86	North Carolina;General Assembly House of Representatives District 86
North Carolina;General Assembly House of Representatives District 87	North Carolina;General Assembly House of Representatives District 87
North Carolina;General Assembly House of Representatives District 88	North Carolina;General Assembly House of Representatives District 88
North Carolina;General Assembly House of Representatives District 89	North Carolina;General Assembly House of Representatives District 89
North Carolina;General Assembly House of Representatives District 90	North Carolina;General Assembly House of Representatives District 90
