BallotName	Party	
Andrew T. Heath	REP	North Carolina Republican Party
John S. Arrowood	DEM	North Carolina Democratic Party
Jefferson G. Griffin	REP	North Carolina Republican Party
Sandra Alice Ray	REP	North Carolina Republican Party
Tobias (Toby) Hampson	DEM	North Carolina Democratic Party
"Michael Monaco, Sr."	LIB	North Carolina Libertarian Party
Allegra Katherine Collins	DEM	North Carolina Democratic Party
Chuck Kitchen	REP	North Carolina Republican Party
Robert Parks Trivette	DEM	North Carolina Democratic Party
Eula E. Reid	DEM	North Carolina Democratic Party
Meader Harriss	REP	North Carolina Republican Party
"Darrell B. Cayton, Jr."	DEM	North Carolina Democratic Party
Sarah A. Homes	REP	North Carolina Republican Party
Regina R. Parker	DEM	North Carolina Democratic Party
Daniel Hines Entzminger	REP	North Carolina Republican Party
Jarrette Pittman	DEM	North Carolina Democratic Party
Mario E. Perez	DEM	North Carolina Democratic Party
Lee Teague	REP	North Carolina Republican Party
Paul A. Hardison	DEM	North Carolina Democratic Party
Sarah C. Seaton	REP	North Carolina Republican Party
Lindsey L. McKee	REP	North Carolina Republican Party
James H. Faison III	DEM	North Carolina Democratic Party
Melinda H. Crouch	DEM	North Carolina Democratic Party
Chad E. Hogston	REP	North Carolina Republican Party
Pell Cooper	DEM	North Carolina Democratic Party
Wayne S. Boyette	DEM	North Carolina Democratic Party
Beth Heath	DEM	North Carolina Democratic Party
Ben Hunter	DEM	North Carolina Democratic Party
"Michael W. Putney, Jr."	DEM	North Carolina Democratic Party
Michael J. Denning	REP	North Carolina Republican Party
Craig Croom	DEM	North Carolina Democratic Party
Margaret Phillips Eagles	DEM	North Carolina Democratic Party
Evan Charles Schreier	REP	North Carolina Republican Party
J. Brian Ratledge	REP	North Carolina Republican Party
Nicolette Fulton	UNA	North Carolina Unaffiliated Voter
Rebecca Anne Edwards	DEM	North Carolina Democratic Party
Walter Rand	DEM	North Carolina Democratic Party
Ned W. Mangum	REP	North Carolina Republican Party
Ms. Sam Hamadani	DEM	North Carolina Democratic Party
Louis Meyer	DEM	North Carolina Democratic Party
Kris D. Bailey	REP	North Carolina Republican Party
Joy Jones	REP	North Carolina Republican Party
Addie Rawls	DEM	North Carolina Democratic Party
Caron Stewart	REP	North Carolina Republican Party
Toni S. King	DEM	North Carolina Democratic Party
Robert J. Stiehl III	DEM	North Carolina Democratic Party
David H. Hasty	DEM	North Carolina Democratic Party
Stephen Craig Stokes	DEM	North Carolina Democratic Party
Cheri Siler-Mack	DEM	North Carolina Democratic Party
April Smith	DEM	North Carolina Democratic Party
Caitlin Evans	DEM	North Carolina Democratic Party
Tal Baggett	DEM	North Carolina Democratic Party
W. Fred Gore	REP	North Carolina Republican Party
William F. Fairley	REP	North Carolina Republican Party
Dave Hall	DEM	North Carolina Democratic Party
"Fred Battaglia, Jr."	DEM	North Carolina Democratic Party
Doretta L. Walker	DEM	North Carolina Democratic Party
Pat Evans	DEM	North Carolina Democratic Party
Brian C. Wilks	DEM	North Carolina Democratic Party
Clayton Jones	DEM	North Carolina Democratic Party
James T. (Jim) Hill	REP	North Carolina Republican Party
Amanda Maris	DEM	North Carolina Democratic Party
Brad Allen	DEM	North Carolina Democratic Party
Joseph Moody (Joe) Buckner	DEM	North Carolina Democratic Party
Chris Rhue	DEM	North Carolina Democratic Party
Chevonne Wallace	DEM	North Carolina Democratic Party
Brooke Locklear Clark	DEM	North Carolina Democratic Party
"Jack Moody, Jr."	REP	North Carolina Republican Party
Vanessa Burton	DEM	North Carolina Democratic Party
Angelica Chavis McIntyre	DEM	North Carolina Democratic Party
Dale Deese	UNA	North Carolina Unaffiliated Voter
Chris Freeman	REP	North Carolina Republican Party
Christine Fields Strader	REP	North Carolina Republican Party
Erica Standfield Brandon	DEM	North Carolina Democratic Party
Gabriel E. (Gabe) Zeller	UNA	North Carolina Unaffiliated Voter
Mike Gentry	REP	North Carolina Republican Party
"Spencer G. Key, Jr."	REP	North Carolina Republican Party
Gretchen Hollar Kirkman	REP	North Carolina Republican Party
Tom Langan	REP	North Carolina Republican Party
Marion M. Boone	REP	North Carolina Republican Party
"H. Thomas (Tom) Jarrell, Jr."	DEM	North Carolina Democratic Party
Jonathan G. (Jon) Kreider	REP	North Carolina Republican Party
Larry L. Archie	DEM	North Carolina Democratic Party
Christy E. Wilhelm	REP	North Carolina Republican Party
James (Jim) DeMay	REP	North Carolina Republican Party
Juanita Boger-Allen	DEM	North Carolina Democratic Party
Michael G. Knox	REP	North Carolina Republican Party
Darrin M. Gamradt	REP	North Carolina Republican Party
Steve Grossman	REP	North Carolina Republican Party
Brent Cloninger	REP	North Carolina Republican Party
Andrew W. Davis	REP	North Carolina Republican Party
J. Brooke Schmidly	DEM	North Carolina Democratic Party
Sarah Neely Lanier	REP	North Carolina Republican Party
Lee Gavin	REP	North Carolina Republican Party
Scott Etheridge	REP	North Carolina Republican Party
Kevin Eddinger	UNA	North Carolina Unaffiliated Voter
Beth Dixon	REP	North Carolina Republican Party
Charlie Brown	UNA	North Carolina Unaffiliated Voter
James Randolph	REP	North Carolina Republican Party
Warren McSweeney	REP	North Carolina Republican Party
Brian Godfrey	REP	North Carolina Republican Party
Regina M. Joe	DEM	North Carolina Democratic Party
Steve Bibey	REP	North Carolina Republican Party
William C. (Bill) Tucker	REP	North Carolina Republican Party
John R. Nance	REP	North Carolina Republican Party
Beverly Routh Spencer	REP	North Carolina Republican Party
Thai Vang	REP	North Carolina Republican Party
Denise S. Hartsfield	DEM	North Carolina Democratic Party
Lisa V. Menefee	DEM	North Carolina Democratic Party
Theodore (Ted) Kazakos	REP	North Carolina Republican Party
George A. Bedsworth	DEM	North Carolina Democratic Party
Brantley Ostwalt	REP	North Carolina Republican Party
Carole A. Hicks	REP	North Carolina Republican Party
"Daryl G. Davidson, Sr."	UNA	North Carolina Unaffiliated Voter
Rob Young	REP	North Carolina Republican Party
W. Carey Parker	DEM	North Carolina Democratic Party
April C. Crowson	REP	North Carolina Republican Party
Mary F. Covington	REP	North Carolina Republican Party
Wayne L. Michael	REP	North Carolina Republican Party
Carlton Terry	REP	North Carolina Republican Party
April C. Wood	REP	North Carolina Republican Party
Roy McDonald	REP	North Carolina Republican Party
Jimmy Laird Myers	REP	North Carolina Republican Party
Carlos Jane'	REP	North Carolina Republican Party
Shelby S. Chase	REP	North Carolina Republican Party
Robert (Rob) Crumpton	REP	North Carolina Republican Party
William (Bill) Brooks	REP	North Carolina Republican Party
David V. Byrd	REP	North Carolina Republican Party
Larry Leake	DEM	North Carolina Democratic Party
David W. Aycock	REP	North Carolina Republican Party
Wes W. Barkley	REP	North Carolina Republican Party
Sherri Wilson Elliott	REP	North Carolina Republican Party
"Robert A. Mullinax, Jr."	REP	North Carolina Republican Party
Amy Sigmon Walker	REP	North Carolina Republican Party
Scott M. Cranford	DEM	North Carolina Democratic Party
Clifton H. Smith	REP	North Carolina Republican Party
Mark L. Killian	REP	North Carolina Republican Party
Alicia D. Brooks	DEM	North Carolina Democratic Party
Michael J. Stading	REP	North Carolina Republican Party
"Donald Cureton, Jr."	DEM	North Carolina Democratic Party
Paulina N. Havelka	REP	North Carolina Republican Party
Sabrina Blain	DEM	North Carolina Democratic Party
Sean Smith	REP	North Carolina Republican Party
Matt Osman	REP	North Carolina Republican Party
Paige McThenia	DEM	North Carolina Democratic Party
Regan A. Miller	DEM	North Carolina Democratic Party
Tracy Hanna Hewett	DEM	North Carolina Democratic Party
Karen D. McCallum	DEM	North Carolina Democratic Party
Khalif Rhodes	DEM	North Carolina Democratic Party
Rickye McKoy-Mitchell	DEM	North Carolina Democratic Party
Craig Collins	REP	North Carolina Republican Party
