cdf_element	cdf_internal_name	raw_identifier_value
Election	General Election 2018-11-06	11/6/18
BallotMeasureSelection	No	No
BallotMeasureSelection	No	Against
Party	North Carolina Constitution Party	CST
Party	North Carolina Democratic Party	DEM
Party	North Carolina Green Party	GRE
Party	North Carolina Libertarian Party	LIB
Party	North Carolina Republican Party	REP
Party	North Carolina Unaffiliated Voter	UNA
ReportingUnit	North Carolina;Alamance County	ALAMANCE
ReportingUnit	North Carolina;Alamance County;Precinct 01	ALAMANCE;01
ReportingUnit	North Carolina;Alamance County;Precinct 02	ALAMANCE;02
ReportingUnit	North Carolina;Alamance County;Precinct 035	ALAMANCE;035
ReportingUnit	North Carolina;Alamance County;Precinct 03C	ALAMANCE;03C
ReportingUnit	North Carolina;Alamance County;Precinct 03N	ALAMANCE;03N
ReportingUnit	North Carolina;Alamance County;Precinct 03N2	ALAMANCE;03N2
ReportingUnit	North Carolina;Alamance County;Precinct 03S	ALAMANCE;03S
ReportingUnit	North Carolina;Alamance County;Precinct 03W	ALAMANCE;03W
ReportingUnit	North Carolina;Alamance County;Precinct 04	ALAMANCE;04
ReportingUnit	North Carolina;Alamance County;Precinct 05	ALAMANCE;05
ReportingUnit	North Carolina;Alamance County;Precinct 063	ALAMANCE;063
ReportingUnit	North Carolina;Alamance County;Precinct 064	ALAMANCE;064
ReportingUnit	North Carolina;Alamance County;Precinct 06E	ALAMANCE;06E
ReportingUnit	North Carolina;Alamance County;Precinct 06N	ALAMANCE;06N
ReportingUnit	North Carolina;Alamance County;Precinct 06S	ALAMANCE;06S
ReportingUnit	North Carolina;Alamance County;Precinct 06W	ALAMANCE;06W
ReportingUnit	North Carolina;Alamance County;Precinct 07	ALAMANCE;07
ReportingUnit	North Carolina;Alamance County;Precinct 08N	ALAMANCE;08N
ReportingUnit	North Carolina;Alamance County;Precinct 08S	ALAMANCE;08S
ReportingUnit	North Carolina;Alamance County;Precinct 09N	ALAMANCE;09N
ReportingUnit	North Carolina;Alamance County;Precinct 09S	ALAMANCE;09S
ReportingUnit	North Carolina;Alamance County;Precinct 103	ALAMANCE;103
ReportingUnit	North Carolina;Alamance County;Precinct 10N	ALAMANCE;10N
ReportingUnit	North Carolina;Alamance County;Precinct 10S	ALAMANCE;10S
ReportingUnit	North Carolina;Alamance County;Precinct 11	ALAMANCE;11
ReportingUnit	North Carolina;Alamance County;Precinct 1210	ALAMANCE;1210
ReportingUnit	North Carolina;Alamance County;Precinct 124	ALAMANCE;124
ReportingUnit	North Carolina;Alamance County;Precinct 125	ALAMANCE;125
ReportingUnit	North Carolina;Alamance County;Precinct 126	ALAMANCE;126
ReportingUnit	North Carolina;Alamance County;Precinct 127	ALAMANCE;127
ReportingUnit	North Carolina;Alamance County;Precinct 128	ALAMANCE;128
ReportingUnit	North Carolina;Alamance County;Precinct 129	ALAMANCE;129
ReportingUnit	North Carolina;Alamance County;Precinct 12E	ALAMANCE;12E
ReportingUnit	North Carolina;Alamance County;Precinct 12N	ALAMANCE;12N
ReportingUnit	North Carolina;Alamance County;Precinct 12S	ALAMANCE;12S
ReportingUnit	North Carolina;Alamance County;Precinct 12W	ALAMANCE;12W
ReportingUnit	North Carolina;Alamance County;Precinct 13	ALAMANCE;13
ReportingUnit	North Carolina;Alexander County	ALEXANDER
ReportingUnit	North Carolina;Alexander County;Precinct B1	ALEXANDER;B1
ReportingUnit	North Carolina;Alexander County;Precinct B2	ALEXANDER;B2
ReportingUnit	North Carolina;Alexander County;Precinct E	ALEXANDER;E
ReportingUnit	North Carolina;Alexander County;Precinct G1G2	ALEXANDER;G1G2
ReportingUnit	North Carolina;Alexander County;Precinct LRSL	ALEXANDER;LRSL
ReportingUnit	North Carolina;Alexander County;Precinct M	ALEXANDER;M
ReportingUnit	North Carolina;Alexander County;Precinct S1S2	ALEXANDER;S1S2
ReportingUnit	North Carolina;Alexander County;Precinct T1T4T5	ALEXANDER;T1T4T5
ReportingUnit	North Carolina;Alexander County;Precinct T2T3	ALEXANDER;T2T3
ReportingUnit	North Carolina;Alexander County;Precinct W	ALEXANDER;W
ReportingUnit	North Carolina;Alleghany County	ALLEGHANY
ReportingUnit	North Carolina;Alleghany County;Precinct 01	ALLEGHANY;01
ReportingUnit	North Carolina;Alleghany County;Precinct 03A	ALLEGHANY;03A
ReportingUnit	North Carolina;Alleghany County;Precinct 04	ALLEGHANY;04
ReportingUnit	North Carolina;Alleghany County;Precinct 06A	ALLEGHANY;06A
ReportingUnit	North Carolina;Anson County	ANSON
ReportingUnit	North Carolina;Anson County;Precinct ANS	ANSON;ANS
ReportingUnit	North Carolina;Anson County;Precinct BURN	ANSON;BURN
ReportingUnit	North Carolina;Anson County;Precinct GULL	ANSON;GULL
ReportingUnit	North Carolina;Anson County;Precinct LILE	ANSON;LILE
ReportingUnit	North Carolina;Anson County;Precinct MM	ANSON;MM
ReportingUnit	North Carolina;Anson County;Precinct PEAC	ANSON;PEAC
ReportingUnit	North Carolina;Anson County;Precinct POLK	ANSON;POLK
ReportingUnit	North Carolina;Anson County;Precinct W1	ANSON;W1
ReportingUnit	North Carolina;Anson County;Precinct W2	ANSON;W2
ReportingUnit	North Carolina;Anson County;Precinct W3	ANSON;W3
ReportingUnit	North Carolina;Anson County;Precinct WS	ANSON;WS
ReportingUnit	North Carolina;Ashe County	ASHE
ReportingUnit	North Carolina;Ashe County;ABSENTEE MAIL	ASHE;ABSENTEE MAIL
ReportingUnit	North Carolina;Ashe County;ONE STOP	ASHE;ONE STOP
ReportingUnit	North Carolina;Ashe County;Precinct 02	ASHE;02
ReportingUnit	North Carolina;Ashe County;Precinct 03	ASHE;03
ReportingUnit	North Carolina;Ashe County;Precinct 04	ASHE;04
ReportingUnit	North Carolina;Ashe County;Precinct 06	ASHE;06
ReportingUnit	North Carolina;Ashe County;Precinct 07	ASHE;07
ReportingUnit	North Carolina;Ashe County;Precinct 08	ASHE;08
ReportingUnit	North Carolina;Ashe County;Precinct 09	ASHE;09
ReportingUnit	North Carolina;Ashe County;Precinct 10	ASHE;10
ReportingUnit	North Carolina;Ashe County;Precinct 11	ASHE;11
ReportingUnit	North Carolina;Ashe County;Precinct 12	ASHE;12
ReportingUnit	North Carolina;Ashe County;Precinct 13	ASHE;13
ReportingUnit	North Carolina;Ashe County;Precinct 14	ASHE;14
ReportingUnit	North Carolina;Ashe County;Precinct 15	ASHE;15
ReportingUnit	North Carolina;Ashe County;Precinct 16	ASHE;16
ReportingUnit	North Carolina;Ashe County;Precinct 17	ASHE;17
ReportingUnit	North Carolina;Ashe County;Precinct 18	ASHE;18
ReportingUnit	North Carolina;Ashe County;Precinct 20	ASHE;20
ReportingUnit	North Carolina;Ashe County;PROVISIONAL	ASHE;PROVISIONAL
ReportingUnit	North Carolina;Avery County	AVERY
ReportingUnit	North Carolina;Avery County;ABSENTEE MAIL	AVERY;ABSENTEE MAIL
ReportingUnit	North Carolina;Avery County;ONE STOP	AVERY;ONE STOP
ReportingUnit	North Carolina;Avery County;Precinct 01	AVERY;01
ReportingUnit	North Carolina;Avery County;Precinct 02	AVERY;02
ReportingUnit	North Carolina;Avery County;Precinct 03	AVERY;03
ReportingUnit	North Carolina;Avery County;Precinct 04	AVERY;04
ReportingUnit	North Carolina;Avery County;Precinct 05	AVERY;05
