contest_type	Contest	contest_district_type	Selection	ReportingUnit	CountItemType	Count
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Alamance County	absentee-mail	525
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Alamance County	early	12789
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Alamance County	election-day	8390
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Alamance County	provisional	83
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Alexander County	absentee-mail	72
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Alexander County	early	2038
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Alexander County	election-day	1063
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Alexander County	provisional	7
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Alleghany County	absentee-mail	32
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Alleghany County	early	789
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Alleghany County	election-day	339
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Alleghany County	provisional	0
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Anson County	absentee-mail	99
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Anson County	early	2137
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Anson County	election-day	1683
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Anson County	provisional	19
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Ashe County	absentee-mail	128
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Ashe County	early	1908
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Ashe County	election-day	1649
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Ashe County	provisional	6
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Avery County	absentee-mail	40
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Avery County	early	573
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Avery County	election-day	991
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Avery County	provisional	5
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Beaufort County	absentee-mail	126
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Beaufort County	early	3738
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Beaufort County	election-day	2380
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Beaufort County	provisional	0
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Bertie County	absentee-mail	46
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Bertie County	early	1586
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Bertie County	election-day	1964
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Bertie County	provisional	22
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Bladen County	absentee-mail	351
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Bladen County	early	2672
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Bladen County	election-day	2039
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Bladen County	provisional	4
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Brunswick County	absentee-mail	378
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Brunswick County	early	12803
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Brunswick County	election-day	5381
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Brunswick County	provisional	111
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Buncombe County	absentee-mail	1935
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Buncombe County	early	49582
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Buncombe County	election-day	18651
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Buncombe County	provisional	215
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Burke County	absentee-mail	197
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Burke County	early	5600
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Burke County	election-day	2756
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Burke County	provisional	4
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cabarrus County	absentee-mail	1115
