Name	NumberElected	Office	PrimaryParty
NE Senate District 1	1	NE Senate District 1	
NE Senate District 2	1	NE Senate District 2	
NE Senate District 3	1	NE Senate District 3	
NE Senate District 4	1	NE Senate District 4	
NE Senate District 5	1	NE Senate District 5	
NE Senate District 6	1	NE Senate District 6	
NE Senate District 7	1	NE Senate District 7	
NE Senate District 8	1	NE Senate District 8	
NE Senate District 9	1	NE Senate District 9	
NE Senate District 10	1	NE Senate District 10	
NE Senate District 11	1	NE Senate District 11	
NE Senate District 12	1	NE Senate District 12	
NE Senate District 13	1	NE Senate District 13	
NE Senate District 14	1	NE Senate District 14	
NE Senate District 15	1	NE Senate District 15	
NE Senate District 16	1	NE Senate District 16	
NE Senate District 17	1	NE Senate District 17	
NE Senate District 18	1	NE Senate District 18	
NE Senate District 19	1	NE Senate District 19	
NE Senate District 20	1	NE Senate District 20	
NE Senate District 21	1	NE Senate District 21	
NE Senate District 22	1	NE Senate District 22	
NE Senate District 23	1	NE Senate District 23	
NE Senate District 24	1	NE Senate District 24	
NE Senate District 25	1	NE Senate District 25	
NE Senate District 26	1	NE Senate District 26	
NE Senate District 27	1	NE Senate District 27	
NE Senate District 28	1	NE Senate District 28	
NE Senate District 29	1	NE Senate District 29	
NE Senate District 30	1	NE Senate District 30	
NE Senate District 31	1	NE Senate District 31	
NE Senate District 32	1	NE Senate District 32	
NE Senate District 33	1	NE Senate District 33	
NE Senate District 34	1	NE Senate District 34	
NE Senate District 35	1	NE Senate District 35	
NE Senate District 36	1	NE Senate District 36	
NE Senate District 37	1	NE Senate District 37	
NE Senate District 38	1	NE Senate District 38	
NE Senate District 39	1	NE Senate District 39	
NE Senate District 40	1	NE Senate District 40	
NE Senate District 41	1	NE Senate District 41	
NE Senate District 42	1	NE Senate District 42	
NE Senate District 43	1	NE Senate District 43	
NE Senate District 44	1	NE Senate District 44	
NE Senate District 45	1	NE Senate District 45	
NE Senate District 46	1	NE Senate District 46	
NE Senate District 47	1	NE Senate District 47	
NE Senate District 48	1	NE Senate District 48	
NE Senate District 49	1	NE Senate District 49	
US House NE District 1	1	US House NE District 1	
US House NE District 2	1	US House NE District 2	
US House NE District 3	1	US House NE District 3	
US President (NE)	1	US President (NE)	
NE Governor	1	NE Governor	
US Senate NE	1	US Senate NE	
NE Attorney General	1	NE Attorney General	
NE Lieutenant Governor	1	NE Lieutenant Governor	
NE Treasurer	1	NE Treasurer	
NE Secretary of State	1	NE Secretary of State	
