Name	ElectionDistrict
NE House District 1	Nebraska;NE House District 1
NE House District 2	Nebraska;NE House District 2
NE House District 3	Nebraska;NE House District 3
NE House District 4	Nebraska;NE House District 4
NE House District 5	Nebraska;NE House District 5
NE House District 6	Nebraska;NE House District 6
NE House District 7	Nebraska;NE House District 7
NE House District 8	Nebraska;NE House District 8
NE House District 9	Nebraska;NE House District 9
NE House District 10	Nebraska;NE House District 10
NE House District 11	Nebraska;NE House District 11
NE House District 12	Nebraska;NE House District 12
NE House District 13	Nebraska;NE House District 13
NE House District 14	Nebraska;NE House District 14
NE House District 15	Nebraska;NE House District 15
NE House District 16	Nebraska;NE House District 16
NE House District 17	Nebraska;NE House District 17
NE House District 18	Nebraska;NE House District 18
NE House District 19	Nebraska;NE House District 19
NE House District 20	Nebraska;NE House District 20
NE House District 21	Nebraska;NE House District 21
NE House District 22	Nebraska;NE House District 22
NE House District 23	Nebraska;NE House District 23
NE House District 24	Nebraska;NE House District 24
NE House District 25	Nebraska;NE House District 25
NE House District 26	Nebraska;NE House District 26
NE House District 27	Nebraska;NE House District 27
NE House District 28	Nebraska;NE House District 28
NE House District 29	Nebraska;NE House District 29
NE House District 30	Nebraska;NE House District 30
NE House District 31	Nebraska;NE House District 31
NE House District 32	Nebraska;NE House District 32
NE House District 33	Nebraska;NE House District 33
NE House District 34	Nebraska;NE House District 34
NE House District 35	Nebraska;NE House District 35
NE House District 36	Nebraska;NE House District 36
NE House District 37	Nebraska;NE House District 37
NE House District 38	Nebraska;NE House District 38
NE House District 39	Nebraska;NE House District 39
NE House District 40	Nebraska;NE House District 40
NE House District 41	Nebraska;NE House District 41
NE House District 42	Nebraska;NE House District 42
NE House District 43	Nebraska;NE House District 43
NE House District 44	Nebraska;NE House District 44
NE House District 45	Nebraska;NE House District 45
NE House District 46	Nebraska;NE House District 46
NE House District 47	Nebraska;NE House District 47
NE House District 48	Nebraska;NE House District 48
NE House District 49	Nebraska;NE House District 49
US House NE District 1	Nebraska;US House NE District 1
US House NE District 2	Nebraska;US House NE District 2
US House NE District 3	Nebraska;US House NE District 3
US President (NE)	Nebraska
NE Governor	Nebraska
US Senate NE	Nebraska
NE Attorney General	Nebraska
NE Lieutenant Governor	Nebraska
NE Treasurer	Nebraska
NE Secretary of State	Nebraska
