Name	ReportingUnitType
Nevada;NV House District 1	state-house
Nevada;NV House District 2	state-house
Nevada;NV House District 3	state-house
Nevada;NV House District 4	state-house
Nevada;NV House District 5	state-house
Nevada;NV House District 6	state-house
Nevada;NV House District 7	state-house
Nevada;NV House District 8	state-house
Nevada;NV House District 9	state-house
Nevada;NV House District 10	state-house
Nevada;NV House District 11	state-house
Nevada;NV House District 12	state-house
Nevada;NV House District 13	state-house
Nevada;NV House District 14	state-house
Nevada;NV House District 15	state-house
Nevada;NV House District 16	state-house
Nevada;NV House District 17	state-house
Nevada;NV House District 18	state-house
Nevada;NV House District 19	state-house
Nevada;NV House District 20	state-house
Nevada;NV House District 21	state-house
Nevada;NV House District 22	state-house
Nevada;NV House District 23	state-house
Nevada;NV House District 24	state-house
Nevada;NV House District 25	state-house
Nevada;NV House District 26	state-house
Nevada;NV House District 27	state-house
Nevada;NV House District 28	state-house
Nevada;NV House District 29	state-house
Nevada;NV House District 30	state-house
Nevada;NV House District 31	state-house
Nevada;NV House District 32	state-house
Nevada;NV House District 33	state-house
Nevada;NV House District 34	state-house
Nevada;NV House District 35	state-house
Nevada;NV House District 36	state-house
Nevada;NV House District 37	state-house
Nevada;NV House District 38	state-house
Nevada;NV House District 39	state-house
Nevada;NV House District 40	state-house
Nevada;NV House District 41	state-house
Nevada;NV House District 42	state-house
Nevada;NV Senate District 1	state-senate
Nevada;NV Senate District 2	state-senate
Nevada;NV Senate District 3	state-senate
Nevada;NV Senate District 4	state-senate
Nevada;NV Senate District 5	state-senate
Nevada;NV Senate District 6	state-senate
Nevada;NV Senate District 7	state-senate
Nevada;NV Senate District 8	state-senate
Nevada;NV Senate District 9	state-senate
Nevada;NV Senate District 10	state-senate
Nevada;NV Senate District 11	state-senate
Nevada;NV Senate District 12	state-senate
Nevada;NV Senate District 13	state-senate
Nevada;NV Senate District 14	state-senate
Nevada;NV Senate District 15	state-senate
Nevada;NV Senate District 16	state-senate
Nevada;NV Senate District 17	state-senate
Nevada;NV Senate District 18	state-senate
Nevada;NV Senate District 19	state-senate
Nevada;NV Senate District 20	state-senate
Nevada;NV Senate District 21	state-senate
Nevada;US House NV District 1	congressional
Nevada;US House NV District 2	congressional
Nevada;US House NV District 3	congressional
Nevada;US House NV District 4	congressional
Nevada	state
Nevada;Carson City;101	precinct
Nevada;Carson City;103	precinct
Nevada;Carson City;105	precinct
Nevada;Carson City;107	precinct
Nevada;Carson City;109	precinct
Nevada;Carson City;111	precinct
Nevada;Carson City;113	precinct
Nevada;Carson City;201	precinct
Nevada;Carson City;203	precinct
Nevada;Carson City;205	precinct
Nevada;Carson City;207	precinct
Nevada;Carson City;209	precinct
Nevada;Carson City;211	precinct
Nevada;Carson City;301	precinct
Nevada;Carson City;303	precinct
Nevada;Carson City;305	precinct
Nevada;Carson City;307	precinct
Nevada;Carson City;309	precinct
Nevada;Carson City;401	precinct
Nevada;Carson City;403	precinct
Nevada;Carson City;405	precinct
Nevada;Carson City;407	precinct
Nevada;Carson City;409	precinct
Nevada;Carson City;411	precinct
Nevada;Carson City;997	precinct
Nevada;Churchill;Precinct 01	precinct
Nevada;Churchill;Precinct 02	precinct
Nevada;Churchill;Precinct 03	precinct
Nevada;Churchill;Precinct 04	precinct
Nevada;Churchill;Precinct 05	precinct
Nevada;Churchill;Precinct 06	precinct
Nevada;Churchill;Precinct 07	precinct
Nevada;Churchill;Precinct 08	precinct
Nevada;Churchill;Precinct 09	precinct
Nevada;Churchill;Precinct 10	precinct
Nevada;Churchill;Precinct 11	precinct
Nevada;Churchill;Precinct 12	precinct
Nevada;Churchill;Precinct 13	precinct
Nevada;Churchill;Precinct 14	precinct
Nevada;Churchill;Precinct 15	precinct
Nevada;Churchill;Precinct 16	precinct
Nevada;Churchill;Precinct 17	precinct
Nevada;Churchill;Precinct 18	precinct
Nevada;Churchill;Precinct 19	precinct
Nevada;Churchill;Precinct 99	precinct
