Name	NumberElected	Office	PrimaryParty
NH House District 1	1	NH House District 1	
NH House District 2	1	NH House District 2	
NH House District 3	1	NH House District 3	
NH House District 4	1	NH House District 4	
NH House District 5	1	NH House District 5	
NH House District 6	1	NH House District 6	
NH House District 7	1	NH House District 7	
NH House District 8	1	NH House District 8	
NH House District 9	1	NH House District 9	
NH House District 10	1	NH House District 10	
NH House District 11	1	NH House District 11	
NH House District 12	1	NH House District 12	
NH House District 13	1	NH House District 13	
NH House District 14	1	NH House District 14	
NH House District 15	1	NH House District 15	
NH House District 16	1	NH House District 16	
NH House District 17	1	NH House District 17	
NH House District 18	1	NH House District 18	
NH House District 19	1	NH House District 19	
NH House District 20	1	NH House District 20	
NH House District 21	1	NH House District 21	
NH House District 22	1	NH House District 22	
NH House District 23	1	NH House District 23	
NH House District 24	1	NH House District 24	
NH House District 25	1	NH House District 25	
NH House District 26	1	NH House District 26	
NH House District 27	1	NH House District 27	
NH House District 28	1	NH House District 28	
NH House District 29	1	NH House District 29	
NH House District 30	1	NH House District 30	
NH House District 31	1	NH House District 31	
NH House District 32	1	NH House District 32	
NH House District 33	1	NH House District 33	
NH House District 34	1	NH House District 34	
NH House District 35	1	NH House District 35	
NH House District 36	1	NH House District 36	
NH House District 37	1	NH House District 37	
NH House District 38	1	NH House District 38	
NH House District 39	1	NH House District 39	
NH House District 40	1	NH House District 40	
NH House District 41	1	NH House District 41	
NH House District 42	1	NH House District 42	
NH House District 43	1	NH House District 43	
NH House District 44	1	NH House District 44	
NH House District 45	1	NH House District 45	
NH House District 46	1	NH House District 46	
NH House District 47	1	NH House District 47	
NH House District 48	1	NH House District 48	
NH House District 49	1	NH House District 49	
NH House District 50	1	NH House District 50	
NH House District 51	1	NH House District 51	
NH House District 52	1	NH House District 52	
NH House District 53	1	NH House District 53	
NH House District 54	1	NH House District 54	
NH House District 55	1	NH House District 55	
NH House District 56	1	NH House District 56	
NH House District 57	1	NH House District 57	
NH House District 58	1	NH House District 58	
NH House District 59	1	NH House District 59	
NH House District 60	1	NH House District 60	
NH House District 61	1	NH House District 61	
NH House District 62	1	NH House District 62	
NH House District 63	1	NH House District 63	
NH House District 64	1	NH House District 64	
NH House District 65	1	NH House District 65	
NH House District 66	1	NH House District 66	
NH House District 67	1	NH House District 67	
NH House District 68	1	NH House District 68	
NH House District 69	1	NH House District 69	
NH House District 70	1	NH House District 70	
NH House District 71	1	NH House District 71	
NH House District 72	1	NH House District 72	
NH House District 73	1	NH House District 73	
NH House District 74	1	NH House District 74	
NH House District 75	1	NH House District 75	
NH House District 76	1	NH House District 76	
NH House District 77	1	NH House District 77	
NH House District 78	1	NH House District 78	
NH House District 79	1	NH House District 79	
NH House District 80	1	NH House District 80	
NH House District 81	1	NH House District 81	
NH House District 82	1	NH House District 82	
NH House District 83	1	NH House District 83	
NH House District 84	1	NH House District 84	
NH House District 85	1	NH House District 85	
NH House District 86	1	NH House District 86	
NH House District 87	1	NH House District 87	
NH House District 88	1	NH House District 88	
NH House District 89	1	NH House District 89	
NH House District 90	1	NH House District 90	
NH House District 91	1	NH House District 91	
NH House District 92	1	NH House District 92	
NH House District 93	1	NH House District 93	
NH House District 94	1	NH House District 94	
NH House District 95	1	NH House District 95	
NH House District 96	1	NH House District 96	
NH House District 97	1	NH House District 97	
NH House District 98	1	NH House District 98	
NH House District 99	1	NH House District 99	
NH House District 100	1	NH House District 100	
NH House District 101	1	NH House District 101	
NH House District 102	1	NH House District 102	
NH House District 103	1	NH House District 103	
NH House District 104	1	NH House District 104	
NH House District 105	1	NH House District 105	
NH House District 106	1	NH House District 106	
NH House District 107	1	NH House District 107	
NH House District 108	1	NH House District 108	
NH House District 109	1	NH House District 109	
NH House District 110	1	NH House District 110	
NH House District 111	1	NH House District 111	
NH House District 112	1	NH House District 112	
NH House District 113	1	NH House District 113	
NH House District 114	1	NH House District 114	
NH House District 115	1	NH House District 115	
NH House District 116	1	NH House District 116	
NH House District 117	1	NH House District 117	
NH House District 118	1	NH House District 118	
NH House District 119	1	NH House District 119	
NH House District 120	1	NH House District 120	
NH House District 121	1	NH House District 121	
NH House District 122	1	NH House District 122	
NH House District 123	1	NH House District 123	
NH House District 124	1	NH House District 124	
NH House District 125	1	NH House District 125	
NH House District 126	1	NH House District 126	
NH House District 127	1	NH House District 127	
NH House District 128	1	NH House District 128	
NH House District 129	1	NH House District 129	
NH House District 130	1	NH House District 130	
NH House District 131	1	NH House District 131	
NH House District 132	1	NH House District 132	
NH House District 133	1	NH House District 133	
NH House District 134	1	NH House District 134	
NH House District 135	1	NH House District 135	
NH House District 136	1	NH House District 136	
NH House District 137	1	NH House District 137	
NH House District 138	1	NH House District 138	
NH House District 139	1	NH House District 139	
NH House District 140	1	NH House District 140	
NH House District 141	1	NH House District 141	
NH House District 142	1	NH House District 142	
NH House District 143	1	NH House District 143	
NH House District 144	1	NH House District 144	
NH House District 145	1	NH House District 145	
NH House District 146	1	NH House District 146	
NH House District 147	1	NH House District 147	
NH House District 148	1	NH House District 148	
NH House District 149	1	NH House District 149	
NH House District 150	1	NH House District 150	
NH House District 151	1	NH House District 151	
NH House District 152	1	NH House District 152	
NH House District 153	1	NH House District 153	
NH House District 154	1	NH House District 154	
NH House District 155	1	NH House District 155	
NH House District 156	1	NH House District 156	
NH House District 157	1	NH House District 157	
NH House District 158	1	NH House District 158	
NH House District 159	1	NH House District 159	
NH House District 160	1	NH House District 160	
NH House District 161	1	NH House District 161	
NH House District 162	1	NH House District 162	
NH House District 163	1	NH House District 163	
NH House District 164	1	NH House District 164	
NH House District 165	1	NH House District 165	
NH House District 166	1	NH House District 166	
NH House District 167	1	NH House District 167	
NH House District 168	1	NH House District 168	
NH House District 169	1	NH House District 169	
NH House District 170	1	NH House District 170	
NH House District 171	1	NH House District 171	
NH House District 172	1	NH House District 172	
NH House District 173	1	NH House District 173	
NH House District 174	1	NH House District 174	
NH House District 175	1	NH House District 175	
