Name	ReportingUnitType
New Hampshire;NH House District 1	state-house
New Hampshire;NH House District 2	state-house
New Hampshire;NH House District 3	state-house
New Hampshire;NH House District 4	state-house
New Hampshire;NH House District 5	state-house
New Hampshire;NH House District 6	state-house
New Hampshire;NH House District 7	state-house
New Hampshire;NH House District 8	state-house
New Hampshire;NH House District 9	state-house
New Hampshire;NH House District 10	state-house
New Hampshire;NH House District 11	state-house
New Hampshire;NH House District 12	state-house
New Hampshire;NH House District 13	state-house
New Hampshire;NH House District 14	state-house
New Hampshire;NH House District 15	state-house
New Hampshire;NH House District 16	state-house
New Hampshire;NH House District 17	state-house
New Hampshire;NH House District 18	state-house
New Hampshire;NH House District 19	state-house
New Hampshire;NH House District 20	state-house
New Hampshire;NH House District 21	state-house
New Hampshire;NH House District 22	state-house
New Hampshire;NH House District 23	state-house
New Hampshire;NH House District 24	state-house
New Hampshire;NH House District 25	state-house
New Hampshire;NH House District 26	state-house
New Hampshire;NH House District 27	state-house
New Hampshire;NH House District 28	state-house
New Hampshire;NH House District 29	state-house
New Hampshire;NH House District 30	state-house
New Hampshire;NH House District 31	state-house
New Hampshire;NH House District 32	state-house
New Hampshire;NH House District 33	state-house
New Hampshire;NH House District 34	state-house
New Hampshire;NH House District 35	state-house
New Hampshire;NH House District 36	state-house
New Hampshire;NH House District 37	state-house
New Hampshire;NH House District 38	state-house
New Hampshire;NH House District 39	state-house
New Hampshire;NH House District 40	state-house
New Hampshire;NH House District 41	state-house
New Hampshire;NH House District 42	state-house
New Hampshire;NH House District 43	state-house
New Hampshire;NH House District 44	state-house
New Hampshire;NH House District 45	state-house
New Hampshire;NH House District 46	state-house
New Hampshire;NH House District 47	state-house
New Hampshire;NH House District 48	state-house
New Hampshire;NH House District 49	state-house
New Hampshire;NH House District 50	state-house
New Hampshire;NH House District 51	state-house
New Hampshire;NH House District 52	state-house
New Hampshire;NH House District 53	state-house
New Hampshire;NH House District 54	state-house
New Hampshire;NH House District 55	state-house
New Hampshire;NH House District 56	state-house
New Hampshire;NH House District 57	state-house
New Hampshire;NH House District 58	state-house
New Hampshire;NH House District 59	state-house
New Hampshire;NH House District 60	state-house
New Hampshire;NH House District 61	state-house
New Hampshire;NH House District 62	state-house
New Hampshire;NH House District 63	state-house
New Hampshire;NH House District 64	state-house
New Hampshire;NH House District 65	state-house
New Hampshire;NH House District 66	state-house
New Hampshire;NH House District 67	state-house
New Hampshire;NH House District 68	state-house
New Hampshire;NH House District 69	state-house
New Hampshire;NH House District 70	state-house
New Hampshire;NH House District 71	state-house
New Hampshire;NH House District 72	state-house
New Hampshire;NH House District 73	state-house
New Hampshire;NH House District 74	state-house
New Hampshire;NH House District 75	state-house
New Hampshire;NH House District 76	state-house
New Hampshire;NH House District 77	state-house
New Hampshire;NH House District 78	state-house
New Hampshire;NH House District 79	state-house
New Hampshire;NH House District 80	state-house
New Hampshire;NH House District 81	state-house
New Hampshire;NH House District 82	state-house
New Hampshire;NH House District 83	state-house
New Hampshire;NH House District 84	state-house
New Hampshire;NH House District 85	state-house
New Hampshire;NH House District 86	state-house
New Hampshire;NH House District 87	state-house
New Hampshire;NH House District 88	state-house
New Hampshire;NH House District 89	state-house
New Hampshire;NH House District 90	state-house
New Hampshire;NH House District 91	state-house
New Hampshire;NH House District 92	state-house
New Hampshire;NH House District 93	state-house
New Hampshire;NH House District 94	state-house
New Hampshire;NH House District 95	state-house
New Hampshire;NH House District 96	state-house
New Hampshire;NH House District 97	state-house
New Hampshire;NH House District 98	state-house
New Hampshire;NH House District 99	state-house
New Hampshire;NH House District 100	state-house
New Hampshire;NH House District 101	state-house
New Hampshire;NH House District 102	state-house
New Hampshire;NH House District 103	state-house
New Hampshire;NH House District 104	state-house
New Hampshire;NH House District 105	state-house
New Hampshire;NH House District 106	state-house
New Hampshire;NH House District 107	state-house
New Hampshire;NH House District 108	state-house
New Hampshire;NH House District 109	state-house
New Hampshire;NH House District 110	state-house
New Hampshire;NH House District 111	state-house
New Hampshire;NH House District 112	state-house
New Hampshire;NH House District 113	state-house
New Hampshire;NH House District 114	state-house
New Hampshire;NH House District 115	state-house
New Hampshire;NH House District 116	state-house
New Hampshire;NH House District 117	state-house
New Hampshire;NH House District 118	state-house
New Hampshire;NH House District 119	state-house
New Hampshire;NH House District 120	state-house
New Hampshire;NH House District 121	state-house
New Hampshire;NH House District 122	state-house
New Hampshire;NH House District 123	state-house
New Hampshire;NH House District 124	state-house
New Hampshire;NH House District 125	state-house
New Hampshire;NH House District 126	state-house
New Hampshire;NH House District 127	state-house
New Hampshire;NH House District 128	state-house
New Hampshire;NH House District 129	state-house
New Hampshire;NH House District 130	state-house
New Hampshire;NH House District 131	state-house
New Hampshire;NH House District 132	state-house
New Hampshire;NH House District 133	state-house
New Hampshire;NH House District 134	state-house
New Hampshire;NH House District 135	state-house
New Hampshire;NH House District 136	state-house
New Hampshire;NH House District 137	state-house
New Hampshire;NH House District 138	state-house
New Hampshire;NH House District 139	state-house
New Hampshire;NH House District 140	state-house
New Hampshire;NH House District 141	state-house
New Hampshire;NH House District 142	state-house
New Hampshire;NH House District 143	state-house
New Hampshire;NH House District 144	state-house
New Hampshire;NH House District 145	state-house
New Hampshire;NH House District 146	state-house
New Hampshire;NH House District 147	state-house
New Hampshire;NH House District 148	state-house
New Hampshire;NH House District 149	state-house
New Hampshire;NH House District 150	state-house
New Hampshire;NH House District 151	state-house
New Hampshire;NH House District 152	state-house
New Hampshire;NH House District 153	state-house
New Hampshire;NH House District 154	state-house
New Hampshire;NH House District 155	state-house
New Hampshire;NH House District 156	state-house
New Hampshire;NH House District 157	state-house
New Hampshire;NH House District 158	state-house
New Hampshire;NH House District 159	state-house
New Hampshire;NH House District 160	state-house
New Hampshire;NH House District 161	state-house
New Hampshire;NH House District 162	state-house
New Hampshire;NH House District 163	state-house
New Hampshire;NH House District 164	state-house
New Hampshire;NH House District 165	state-house
New Hampshire;NH House District 166	state-house
New Hampshire;NH House District 167	state-house
New Hampshire;NH House District 168	state-house
New Hampshire;NH House District 169	state-house
New Hampshire;NH House District 170	state-house
New Hampshire;NH House District 171	state-house
New Hampshire;NH House District 172	state-house
New Hampshire;NH House District 173	state-house
New Hampshire;NH House District 174	state-house
New Hampshire;NH House District 175	state-house
New Hampshire;NH House District 176	state-house
New Hampshire;NH House District 177	state-house
New Hampshire;NH House District 178	state-house
New Hampshire;NH House District 179	state-house
New Hampshire;NH House District 180	state-house
New Hampshire;NH House District 181	state-house
New Hampshire;NH House District 182	state-house
New Hampshire;NH House District 183	state-house
New Hampshire;NH House District 184	state-house
New Hampshire;NH House District 185	state-house
New Hampshire;NH House District 186	state-house
New Hampshire;NH House District 187	state-house
New Hampshire;NH House District 188	state-house
New Hampshire;NH House District 189	state-house
New Hampshire;NH House District 190	state-house
New Hampshire;NH House District 191	state-house
New Hampshire;NH House District 192	state-house
New Hampshire;NH House District 193	state-house
New Hampshire;NH House District 194	state-house
New Hampshire;NH House District 195	state-house
New Hampshire;NH House District 196	state-house
New Hampshire;NH House District 197	state-house
New Hampshire;NH House District 198	state-house
New Hampshire;NH House District 199	state-house
New Hampshire;NH House District 200	state-house
New Hampshire;NH House District 201	state-house
New Hampshire;NH House District 202	state-house
New Hampshire;NH House District 203	state-house
New Hampshire;NH House District 204	state-house
New Hampshire;NH House District 205	state-house
New Hampshire;NH House District 206	state-house
