cdf_element	cdf_internal_name	raw_identifier_value
Candidate	A. John Peters	A. John Peters
Candidate	A. Michael Bross	A. Michael Bross
Candidate	A.J. Anglin	A.J. Anglin
Candidate	ABDELAAL, RAYA	ABDELAAL, RAYA
Candidate	ABDULLAH, FAREED	ABDULLAH, FAREED
Candidate	ABEL, DEBORAH	ABEL, DEBORAH
Candidate	ABNEY, AERION ANDREW	ABNEY, AERION ANDREW
Candidate	ACOSTA, LESLIE	ACOSTA, LESLIE
Candidate	ADCOCK, CHARLES S.	ADCOCK, CHARLES S.
Candidate	AHMAD, NILOFER NINA	AHMAD, NILOFER NINA
Candidate	ALEXANDER, NAN	ALEXANDER, NAN
Candidate	ALLOWAY, RICHARD L II	ALLOWAY, RICHARD L II
Candidate	ALTIERI, LESLIE M	ALTIERI, LESLIE M
Candidate	AMCHIN, RON S	AMCHIN, RON S
Candidate	AMSDELL, MARK	AMSDELL, MARK
Candidate	ANASTASIO, MARY ALEXANDRA	ANASTASIO, MARY ALEXANDRA
Candidate	ANDERSON, ALLEN ARTHUR	ANDERSON, ALLEN ARTHUR
Candidate	ANDREW, ANTON N	ANDREW, ANTON N
Candidate	ANGELICHIO, LEON	ANGELICHIO, LEON
Candidate	ARANGO, OBED	ARANGO, OBED
Candidate	ARCHETTO, GREGORY	ARCHETTO, GREGORY
Candidate	ARGALL, DAVID G	ARGALL, DAVID G
Candidate	ARMANINI, MICHAEL J. MR.	ARMANINI, MICHAEL J. MR.
Candidate	ARMSTRONG, PHILLIPS M SR	ARMSTRONG, PHILLIPS M SR
Candidate	ARNOTT, ALLAN MILES	ARNOTT, ALLAN MILES
Candidate	ASHMAR, MAKALA A.	ASHMAR, MAKALA A.
Candidate	ASTORINO KULIK, ANITA	ASTORINO KULIK, ANITA
Candidate	ATKINSON, LEO ANDREW	ATKINSON, LEO ANDREW
Candidate	ATTISANO, MARCO SANTINO	ATTISANO, MARCO SANTINO
Candidate	ATWOOD, STEVEN J	ATWOOD, STEVEN J
Candidate	AVOLIO, SCOTT	AVOLIO, SCOTT
Candidate	AZAN, ANDREW III	AZAN, ANDREW III
Candidate	Aarica L. Coleman	Aarica L. Coleman
Candidate	Aaron Scanlan	Aaron Scanlan
Candidate	Abbe Sheila Rifkin Logan	Abbe Sheila Rifkin Logan
Candidate	Adam Botana	Adam Botana
Candidate	Adam Christensen	Adam Christensen
Candidate	Adam Hattersley	Adam Hattersley
Candidate	Adam Myron	Adam Myron
Candidate	Addie Miller	Addie Miller
Candidate	Adrienne Woods	Adrienne Woods
Candidate	Ahmad R. Hassan	Ahmad R. Hassan
