cdf_element	cdf_internal_name	raw_identifier_value
Candidate	ALBIO SIRES (w)	ALBIO SIRES (w) *
Candidate	ANDY KIM (w)	ANDY KIM (w) *
Candidate	Akil Khalfani	Akil Khalfani
Candidate	Al Gore	AL GORE
Candidate	Amy Kennedy	Amy Kennedy
Candidate	Andrew Pachuta	Andrew Pachuta
Candidate	BILL PASCRELL JR. (w)	BILL PASCRELL JR. (w) *
Candidate	BONNIE WATSON COLEMAN	BONNIE WATSON COLEMAN (w)
Candidate	Barack Obama	BARACK OBAMA
Candidate	Bill Hammons	Bill Hammons ( Vice President Eric Bodenstab)
Candidate	Billy Prempeh	Billy Prempeh
Candidate	CHRISTOPHER H. SMITH (w)	CHRISTOPHER H. SMITH (w) *
Candidate	CORY BOOKER (w)	CORY BOOKER (w) *
Candidate	Chris Auriemma	Chris Auriemma
Candidate	Christian Onuoha	Christian Onuoha
Candidate	Claire H. Gustafson	Claire H. Gustafson
Candidate	DONALD M. PAYNE JR. (w)	DONALD M. PAYNE JR. (w) *
Candidate	DONALD W. NORCROSS (w)	DONALD W. NORCROSS (w) *
Candidate	Dan Delaney	Dan Delaney
Candidate	Daniel Burke	Daniel Burke
Candidate	David Richt	David Richt
Candidate	Don Blankenship	Don Blankenship ( Vice President William Mohr)
Candidate	Donald J. Trump	DONALD TRUMP
Candidate	Donald J. Trump	Donald J. Trump * ( Vice President Michael R. Pence)
Candidate	Edward 'Nj Weedman' Forchion	Edward 'Nj Weedman' Forchion
Candidate	FRANK PALLONE JR. (w)	FRANK PALLONE JR. (w) *
Candidate	Frank T. Pallotta	Frank T. Pallotta
Candidate	George W. Bush	GEORGE W. BUSH
Candidate	Gloria Estela La Riva	Gloria Estela La Riva ( Vice President Sunil Freeman)
Candidate	Hank Schroeder	Hank Schroeder
Candidate	Hillary Clinton	HILLARY CLINTON
Candidate	Howie Hawkins	Howie Hawkins ( Vice President Angela Walker)
Candidate	JEFF VAN DREW (w)	JEFF VAN DREW (w) *
Candidate	JOSH GOTTHEIMER (w)	JOSH GOTTHEIMER (w) *
Candidate	Jason Todd Mushnick	Jason Todd Mushnick
Candidate	Jenna Harvey	Jenna Harvey
Candidate	Jennifer Zinone	Jennifer Zinone
Candidate	Jesse Ehrnstrom	Jesse Ehrnstrom
Candidate	Jo Jorgensen	Jo Jorgensen ( Vice President Spike Cohen)
Candidate	John Kerry	JOHN KERRY
Candidate	John McCain	JOHN MCCAIN
Candidate	John Mirrione	John Mirrione
Candidate	Joseph R. Biden	JOSEPH R. BIDEN (w) (VICE PRESIDENT KAMALA HARRIS)
Candidate	Kenneth J. Cody	Kenneth J. Cody
Candidate	Khaliah Fitchette	Khaliah Fitchette
Candidate	Louis A. Vellucci	Louis A. Vellucci
Candidate	MIKIE SHERRILL (w)	MIKIE SHERRILL (w) *
Candidate	Madelyn R. Hoffman	Madelyn R. Hoffman
Candidate	Mark Razzoli	Mark Razzoli
Candidate	Martin Weber	Martin Weber
Candidate	Michael J. Rufo	Michael J. Rufo
Candidate	Mitt Romney	MITT ROMNEY
Candidate	Other	OTHER
Candidate	Ralph Nader	RALPH NADER
