Name	NumberElected	Office	PrimaryParty
NM House District 1	1	NM House District 1	
NM House District 2	1	NM House District 2	
NM House District 3	1	NM House District 3	
NM House District 4	1	NM House District 4	
NM House District 5	1	NM House District 5	
NM House District 6	1	NM House District 6	
NM House District 7	1	NM House District 7	
NM House District 8	1	NM House District 8	
NM House District 9	1	NM House District 9	
NM House District 10	1	NM House District 10	
NM House District 11	1	NM House District 11	
NM House District 12	1	NM House District 12	
NM House District 13	1	NM House District 13	
NM House District 14	1	NM House District 14	
NM House District 15	1	NM House District 15	
NM House District 16	1	NM House District 16	
NM House District 17	1	NM House District 17	
NM House District 18	1	NM House District 18	
NM House District 19	1	NM House District 19	
NM House District 20	1	NM House District 20	
NM House District 21	1	NM House District 21	
NM House District 22	1	NM House District 22	
NM House District 23	1	NM House District 23	
NM House District 24	1	NM House District 24	
NM House District 25	1	NM House District 25	
NM House District 26	1	NM House District 26	
NM House District 27	1	NM House District 27	
NM House District 28	1	NM House District 28	
NM House District 29	1	NM House District 29	
NM House District 30	1	NM House District 30	
NM House District 31	1	NM House District 31	
NM House District 32	1	NM House District 32	
NM House District 33	1	NM House District 33	
NM House District 34	1	NM House District 34	
NM House District 35	1	NM House District 35	
NM House District 36	1	NM House District 36	
NM House District 37	1	NM House District 37	
NM House District 38	1	NM House District 38	
NM House District 39	1	NM House District 39	
NM House District 40	1	NM House District 40	
NM House District 41	1	NM House District 41	
NM House District 42	1	NM House District 42	
NM House District 43	1	NM House District 43	
NM House District 44	1	NM House District 44	
NM House District 45	1	NM House District 45	
NM House District 46	1	NM House District 46	
NM House District 47	1	NM House District 47	
NM House District 48	1	NM House District 48	
NM House District 49	1	NM House District 49	
NM House District 50	1	NM House District 50	
NM House District 51	1	NM House District 51	
NM House District 52	1	NM House District 52	
NM House District 53	1	NM House District 53	
NM House District 54	1	NM House District 54	
NM House District 55	1	NM House District 55	
NM House District 56	1	NM House District 56	
NM House District 57	1	NM House District 57	
NM House District 58	1	NM House District 58	
NM House District 59	1	NM House District 59	
NM House District 60	1	NM House District 60	
NM House District 61	1	NM House District 61	
NM House District 62	1	NM House District 62	
NM House District 63	1	NM House District 63	
NM House District 64	1	NM House District 64	
NM House District 65	1	NM House District 65	
NM House District 66	1	NM House District 66	
NM House District 67	1	NM House District 67	
NM House District 68	1	NM House District 68	
NM House District 69	1	NM House District 69	
NM House District 70	1	NM House District 70	
NM Senate District 1	1	NM Senate District 1	
NM Senate District 2	1	NM Senate District 2	
NM Senate District 3	1	NM Senate District 3	
NM Senate District 4	1	NM Senate District 4	
NM Senate District 5	1	NM Senate District 5	
NM Senate District 6	1	NM Senate District 6	
NM Senate District 7	1	NM Senate District 7	
NM Senate District 8	1	NM Senate District 8	
NM Senate District 9	1	NM Senate District 9	
NM Senate District 10	1	NM Senate District 10	
NM Senate District 11	1	NM Senate District 11	
NM Senate District 12	1	NM Senate District 12	
NM Senate District 13	1	NM Senate District 13	
NM Senate District 14	1	NM Senate District 14	
NM Senate District 15	1	NM Senate District 15	
NM Senate District 16	1	NM Senate District 16	
NM Senate District 17	1	NM Senate District 17	
NM Senate District 18	1	NM Senate District 18	
NM Senate District 19	1	NM Senate District 19	
NM Senate District 20	1	NM Senate District 20	
NM Senate District 21	1	NM Senate District 21	
NM Senate District 22	1	NM Senate District 22	
NM Senate District 23	1	NM Senate District 23	
NM Senate District 24	1	NM Senate District 24	
NM Senate District 25	1	NM Senate District 25	
NM Senate District 26	1	NM Senate District 26	
NM Senate District 27	1	NM Senate District 27	
NM Senate District 28	1	NM Senate District 28	
NM Senate District 29	1	NM Senate District 29	
NM Senate District 30	1	NM Senate District 30	
NM Senate District 31	1	NM Senate District 31	
NM Senate District 32	1	NM Senate District 32	
NM Senate District 33	1	NM Senate District 33	
NM Senate District 34	1	NM Senate District 34	
NM Senate District 35	1	NM Senate District 35	
NM Senate District 36	1	NM Senate District 36	
NM Senate District 37	1	NM Senate District 37	
NM Senate District 38	1	NM Senate District 38	
NM Senate District 39	1	NM Senate District 39	
NM Senate District 40	1	NM Senate District 40	
NM Senate District 41	1	NM Senate District 41	
NM Senate District 42	1	NM Senate District 42	
US House NM District 1	1	US House NM District 1	
US House NM District 2	1	US House NM District 2	
US House NM District 3	1	US House NM District 3	
US President (NM)	1	US President (NM)	
NM Governor	1	NM Governor	
US Senate NM	1	US Senate NM	
NM Attorney General	1	NM Attorney General	
NM Lieutenant Governor	1	NM Lieutenant Governor	
NM Treasurer	1	NM Treasurer	
NM Secretary of State	1	NM Secretary of State	
