Name	ReportingUnitType
New Mexico;NM House District 1	state-house
New Mexico;NM House District 2	state-house
New Mexico;NM House District 3	state-house
New Mexico;NM House District 4	state-house
New Mexico;NM House District 5	state-house
New Mexico;NM House District 6	state-house
New Mexico;NM House District 7	state-house
New Mexico;NM House District 8	state-house
New Mexico;NM House District 9	state-house
New Mexico;NM House District 10	state-house
New Mexico;NM House District 11	state-house
New Mexico;NM House District 12	state-house
New Mexico;NM House District 13	state-house
New Mexico;NM House District 14	state-house
New Mexico;NM House District 15	state-house
New Mexico;NM House District 16	state-house
New Mexico;NM House District 17	state-house
New Mexico;NM House District 18	state-house
New Mexico;NM House District 19	state-house
New Mexico;NM House District 20	state-house
New Mexico;NM House District 21	state-house
New Mexico;NM House District 22	state-house
New Mexico;NM House District 23	state-house
New Mexico;NM House District 24	state-house
New Mexico;NM House District 25	state-house
New Mexico;NM House District 26	state-house
New Mexico;NM House District 27	state-house
New Mexico;NM House District 28	state-house
New Mexico;NM House District 29	state-house
New Mexico;NM House District 30	state-house
New Mexico;NM House District 31	state-house
New Mexico;NM House District 32	state-house
New Mexico;NM House District 33	state-house
New Mexico;NM House District 34	state-house
New Mexico;NM House District 35	state-house
New Mexico;NM House District 36	state-house
New Mexico;NM House District 37	state-house
New Mexico;NM House District 38	state-house
New Mexico;NM House District 39	state-house
New Mexico;NM House District 40	state-house
New Mexico;NM House District 41	state-house
New Mexico;NM House District 42	state-house
New Mexico;NM House District 43	state-house
New Mexico;NM House District 44	state-house
New Mexico;NM House District 45	state-house
New Mexico;NM House District 46	state-house
New Mexico;NM House District 47	state-house
New Mexico;NM House District 48	state-house
New Mexico;NM House District 49	state-house
New Mexico;NM House District 50	state-house
New Mexico;NM House District 51	state-house
New Mexico;NM House District 52	state-house
New Mexico;NM House District 53	state-house
New Mexico;NM House District 54	state-house
New Mexico;NM House District 55	state-house
New Mexico;NM House District 56	state-house
New Mexico;NM House District 57	state-house
New Mexico;NM House District 58	state-house
New Mexico;NM House District 59	state-house
New Mexico;NM House District 60	state-house
New Mexico;NM House District 61	state-house
New Mexico;NM House District 62	state-house
New Mexico;NM House District 63	state-house
New Mexico;NM House District 64	state-house
New Mexico;NM House District 65	state-house
New Mexico;NM House District 66	state-house
New Mexico;NM House District 67	state-house
New Mexico;NM House District 68	state-house
New Mexico;NM House District 69	state-house
New Mexico;NM House District 70	state-house
New Mexico;NM Senate District 1	state-senate
New Mexico;NM Senate District 2	state-senate
New Mexico;NM Senate District 3	state-senate
New Mexico;NM Senate District 4	state-senate
New Mexico;NM Senate District 5	state-senate
New Mexico;NM Senate District 6	state-senate
New Mexico;NM Senate District 7	state-senate
New Mexico;NM Senate District 8	state-senate
New Mexico;NM Senate District 9	state-senate
New Mexico;NM Senate District 10	state-senate
New Mexico;NM Senate District 11	state-senate
New Mexico;NM Senate District 12	state-senate
New Mexico;NM Senate District 13	state-senate
New Mexico;NM Senate District 14	state-senate
New Mexico;NM Senate District 15	state-senate
New Mexico;NM Senate District 16	state-senate
New Mexico;NM Senate District 17	state-senate
New Mexico;NM Senate District 18	state-senate
New Mexico;NM Senate District 19	state-senate
New Mexico;NM Senate District 20	state-senate
New Mexico;NM Senate District 21	state-senate
New Mexico;NM Senate District 22	state-senate
New Mexico;NM Senate District 23	state-senate
New Mexico;NM Senate District 24	state-senate
New Mexico;NM Senate District 25	state-senate
New Mexico;NM Senate District 26	state-senate
New Mexico;NM Senate District 27	state-senate
New Mexico;NM Senate District 28	state-senate
New Mexico;NM Senate District 29	state-senate
New Mexico;NM Senate District 30	state-senate
New Mexico;NM Senate District 31	state-senate
New Mexico;NM Senate District 32	state-senate
New Mexico;NM Senate District 33	state-senate
New Mexico;NM Senate District 34	state-senate
New Mexico;NM Senate District 35	state-senate
New Mexico;NM Senate District 36	state-senate
New Mexico;NM Senate District 37	state-senate
New Mexico;NM Senate District 38	state-senate
New Mexico;NM Senate District 39	state-senate
New Mexico;NM Senate District 40	state-senate
New Mexico;NM Senate District 41	state-senate
New Mexico;NM Senate District 42	state-senate
New Mexico;US House NM District 1	congressional
New Mexico;US House NM District 2	congressional
New Mexico;US House NM District 3	congressional
New Mexico	state
New Mexico;Bernalillo County	county
New Mexico;Catron County	county
New Mexico;Chaves County	county
New Mexico;Cibola County	county
New Mexico;Colfax County	county
New Mexico;Curry County	county
New Mexico;De Baca County	county
New Mexico;Dona Ana County	county
New Mexico;Eddy County	county
New Mexico;Grant County	county
New Mexico;Guadalupe County	county
New Mexico;Harding County	county
New Mexico;Hidalgo County	county
New Mexico;Lea County	county
New Mexico;Lincoln County	county
New Mexico;Los Alamos County	county
New Mexico;Luna County	county
New Mexico;McKinley County	county
New Mexico;Mora County	county
New Mexico;Otero County	county
New Mexico;Quay County	county
New Mexico;Rio Arriba County	county
New Mexico;Roosevelt County	county
New Mexico;San Juan County	county
New Mexico;San Miguel County	county
New Mexico;Sandoval County	county
New Mexico;Santa Fe County	county
New Mexico;Sierra County	county
New Mexico;Socorro County	county
New Mexico;Taos County	county
New Mexico;Torrance County	county
New Mexico;Union County	county
New Mexico;Valencia County	county
