cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest	NM House District 1	NM House District 1
CandidateContest	NM House District 2	NM House District 2
CandidateContest	NM House District 3	NM House District 3
CandidateContest	NM House District 4	NM House District 4
CandidateContest	NM House District 5	NM House District 5
CandidateContest	NM House District 6	NM House District 6
CandidateContest	NM House District 7	NM House District 7
CandidateContest	NM House District 8	NM House District 8
CandidateContest	NM House District 9	NM House District 9
CandidateContest	NM House District 10	NM House District 10
CandidateContest	NM House District 11	NM House District 11
CandidateContest	NM House District 12	NM House District 12
CandidateContest	NM House District 13	NM House District 13
CandidateContest	NM House District 14	NM House District 14
CandidateContest	NM House District 15	NM House District 15
CandidateContest	NM House District 16	NM House District 16
CandidateContest	NM House District 17	NM House District 17
CandidateContest	NM House District 18	NM House District 18
CandidateContest	NM House District 19	NM House District 19
CandidateContest	NM House District 20	NM House District 20
CandidateContest	NM House District 21	NM House District 21
CandidateContest	NM House District 22	NM House District 22
CandidateContest	NM House District 23	NM House District 23
CandidateContest	NM House District 24	NM House District 24
CandidateContest	NM House District 25	NM House District 25
CandidateContest	NM House District 26	NM House District 26
CandidateContest	NM House District 27	NM House District 27
CandidateContest	NM House District 28	NM House District 28
CandidateContest	NM House District 29	NM House District 29
CandidateContest	NM House District 30	NM House District 30
CandidateContest	NM House District 31	NM House District 31
CandidateContest	NM House District 32	NM House District 32
CandidateContest	NM House District 33	NM House District 33
CandidateContest	NM House District 34	NM House District 34
CandidateContest	NM House District 35	NM House District 35
CandidateContest	NM House District 36	NM House District 36
CandidateContest	NM House District 37	NM House District 37
CandidateContest	NM House District 38	NM House District 38
CandidateContest	NM House District 39	NM House District 39
CandidateContest	NM House District 40	NM House District 40
CandidateContest	NM House District 41	NM House District 41
CandidateContest	NM House District 42	NM House District 42
CandidateContest	NM House District 43	NM House District 43
CandidateContest	NM House District 44	NM House District 44
CandidateContest	NM House District 45	NM House District 45
CandidateContest	NM House District 46	NM House District 46
CandidateContest	NM House District 47	NM House District 47
CandidateContest	NM House District 48	NM House District 48
CandidateContest	NM House District 49	NM House District 49
CandidateContest	NM House District 50	NM House District 50
CandidateContest	NM House District 51	NM House District 51
CandidateContest	NM House District 52	NM House District 52
CandidateContest	NM House District 53	NM House District 53
CandidateContest	NM House District 54	NM House District 54
CandidateContest	NM House District 55	NM House District 55
CandidateContest	NM House District 56	NM House District 56
CandidateContest	NM House District 57	NM House District 57
CandidateContest	NM House District 58	NM House District 58
CandidateContest	NM House District 59	NM House District 59
CandidateContest	NM House District 60	NM House District 60
CandidateContest	NM House District 61	NM House District 61
CandidateContest	NM House District 62	NM House District 62
CandidateContest	NM House District 63	NM House District 63
CandidateContest	NM House District 64	NM House District 64
CandidateContest	NM House District 65	NM House District 65
CandidateContest	NM House District 66	NM House District 66
CandidateContest	NM House District 67	NM House District 67
CandidateContest	NM House District 68	NM House District 68
CandidateContest	NM House District 69	NM House District 69
CandidateContest	NM House District 70	NM House District 70
CandidateContest	NM Senate District 1	NM Senate District 1
CandidateContest	NM Senate District 2	NM Senate District 2
CandidateContest	NM Senate District 3	NM Senate District 3
CandidateContest	NM Senate District 4	NM Senate District 4
CandidateContest	NM Senate District 5	NM Senate District 5
CandidateContest	NM Senate District 6	NM Senate District 6
CandidateContest	NM Senate District 7	NM Senate District 7
CandidateContest	NM Senate District 8	NM Senate District 8
CandidateContest	NM Senate District 9	NM Senate District 9
CandidateContest	NM Senate District 10	NM Senate District 10
CandidateContest	NM Senate District 11	NM Senate District 11
CandidateContest	NM Senate District 12	NM Senate District 12
CandidateContest	NM Senate District 13	NM Senate District 13
