Name	ElectionDistrict
NY Senate District 1	New York;NY Senate District 1
NY Senate District 2	New York;NY Senate District 2
NY Senate District 3	New York;NY Senate District 3
NY Senate District 4	New York;NY Senate District 4
NY Senate District 5	New York;NY Senate District 5
NY Senate District 6	New York;NY Senate District 6
NY Senate District 7	New York;NY Senate District 7
NY Senate District 8	New York;NY Senate District 8
NY Senate District 9	New York;NY Senate District 9
NY Senate District 10	New York;NY Senate District 10
NY Senate District 11	New York;NY Senate District 11
NY Senate District 12	New York;NY Senate District 12
NY Senate District 13	New York;NY Senate District 13
NY Senate District 14	New York;NY Senate District 14
NY Senate District 15	New York;NY Senate District 15
NY Senate District 16	New York;NY Senate District 16
NY Senate District 17	New York;NY Senate District 17
NY Senate District 18	New York;NY Senate District 18
NY Senate District 19	New York;NY Senate District 19
NY Senate District 20	New York;NY Senate District 20
NY Senate District 21	New York;NY Senate District 21
NY Senate District 22	New York;NY Senate District 22
NY Senate District 23	New York;NY Senate District 23
NY Senate District 24	New York;NY Senate District 24
NY Senate District 25	New York;NY Senate District 25
NY Senate District 26	New York;NY Senate District 26
NY Senate District 27	New York;NY Senate District 27
NY Senate District 28	New York;NY Senate District 28
NY Senate District 29	New York;NY Senate District 29
NY Senate District 30	New York;NY Senate District 30
NY Senate District 31	New York;NY Senate District 31
NY Senate District 32	New York;NY Senate District 32
NY Senate District 33	New York;NY Senate District 33
NY Senate District 34	New York;NY Senate District 34
NY Senate District 35	New York;NY Senate District 35
NY Senate District 36	New York;NY Senate District 36
NY Senate District 37	New York;NY Senate District 37
NY Senate District 38	New York;NY Senate District 38
NY Senate District 39	New York;NY Senate District 39
NY Senate District 40	New York;NY Senate District 40
NY Senate District 41	New York;NY Senate District 41
NY Senate District 42	New York;NY Senate District 42
NY Senate District 43	New York;NY Senate District 43
NY Senate District 44	New York;NY Senate District 44
NY Senate District 45	New York;NY Senate District 45
NY Senate District 46	New York;NY Senate District 46
NY Senate District 47	New York;NY Senate District 47
NY Senate District 48	New York;NY Senate District 48
NY Senate District 49	New York;NY Senate District 49
NY Senate District 50	New York;NY Senate District 50
NY Senate District 51	New York;NY Senate District 51
NY Senate District 52	New York;NY Senate District 52
NY Senate District 53	New York;NY Senate District 53
NY Senate District 54	New York;NY Senate District 54
NY Senate District 55	New York;NY Senate District 55
NY Senate District 56	New York;NY Senate District 56
NY Senate District 57	New York;NY Senate District 57
NY Senate District 58	New York;NY Senate District 58
NY Senate District 59	New York;NY Senate District 59
NY Senate District 60	New York;NY Senate District 60
NY Senate District 61	New York;NY Senate District 61
NY Senate District 62	New York;NY Senate District 62
NY Senate District 63	New York;NY Senate District 63
NY House District 1	New York;NY House District 1
NY House District 2	New York;NY House District 2
NY House District 3	New York;NY House District 3
NY House District 4	New York;NY House District 4
NY House District 5	New York;NY House District 5
NY House District 6	New York;NY House District 6
NY House District 7	New York;NY House District 7
NY House District 8	New York;NY House District 8
NY House District 9	New York;NY House District 9
NY House District 10	New York;NY House District 10
NY House District 11	New York;NY House District 11
NY House District 12	New York;NY House District 12
NY House District 13	New York;NY House District 13
NY House District 14	New York;NY House District 14
NY House District 15	New York;NY House District 15
NY House District 16	New York;NY House District 16
NY House District 17	New York;NY House District 17
NY House District 18	New York;NY House District 18
NY House District 19	New York;NY House District 19
NY House District 20	New York;NY House District 20
NY House District 21	New York;NY House District 21
NY House District 22	New York;NY House District 22
NY House District 23	New York;NY House District 23
NY House District 24	New York;NY House District 24
NY House District 25	New York;NY House District 25
NY House District 26	New York;NY House District 26
NY House District 27	New York;NY House District 27
NY House District 28	New York;NY House District 28
NY House District 29	New York;NY House District 29
NY House District 30	New York;NY House District 30
NY House District 31	New York;NY House District 31
NY House District 32	New York;NY House District 32
NY House District 33	New York;NY House District 33
NY House District 34	New York;NY House District 34
NY House District 35	New York;NY House District 35
NY House District 36	New York;NY House District 36
NY House District 37	New York;NY House District 37
NY House District 38	New York;NY House District 38
NY House District 39	New York;NY House District 39
NY House District 40	New York;NY House District 40
NY House District 41	New York;NY House District 41
NY House District 42	New York;NY House District 42
NY House District 43	New York;NY House District 43
NY House District 44	New York;NY House District 44
NY House District 45	New York;NY House District 45
NY House District 46	New York;NY House District 46
NY House District 47	New York;NY House District 47
NY House District 48	New York;NY House District 48
NY House District 49	New York;NY House District 49
NY House District 50	New York;NY House District 50
NY House District 51	New York;NY House District 51
NY House District 52	New York;NY House District 52
NY House District 53	New York;NY House District 53
NY House District 54	New York;NY House District 54
NY House District 55	New York;NY House District 55
NY House District 56	New York;NY House District 56
NY House District 57	New York;NY House District 57
NY House District 58	New York;NY House District 58
NY House District 59	New York;NY House District 59
NY House District 60	New York;NY House District 60
NY House District 61	New York;NY House District 61
NY House District 62	New York;NY House District 62
NY House District 63	New York;NY House District 63
NY House District 64	New York;NY House District 64
NY House District 65	New York;NY House District 65
NY House District 66	New York;NY House District 66
NY House District 67	New York;NY House District 67
NY House District 68	New York;NY House District 68
NY House District 69	New York;NY House District 69
NY House District 70	New York;NY House District 70
NY House District 71	New York;NY House District 71
NY House District 72	New York;NY House District 72
NY House District 73	New York;NY House District 73
NY House District 74	New York;NY House District 74
NY House District 75	New York;NY House District 75
NY House District 76	New York;NY House District 76
NY House District 77	New York;NY House District 77
NY House District 78	New York;NY House District 78
NY House District 79	New York;NY House District 79
NY House District 80	New York;NY House District 80
NY House District 81	New York;NY House District 81
NY House District 82	New York;NY House District 82
NY House District 83	New York;NY House District 83
NY House District 84	New York;NY House District 84
NY House District 85	New York;NY House District 85
NY House District 86	New York;NY House District 86
NY House District 87	New York;NY House District 87
NY House District 88	New York;NY House District 88
NY House District 89	New York;NY House District 89
NY House District 90	New York;NY House District 90
NY House District 91	New York;NY House District 91
NY House District 92	New York;NY House District 92
NY House District 93	New York;NY House District 93
NY House District 94	New York;NY House District 94
NY House District 95	New York;NY House District 95
NY House District 96	New York;NY House District 96
NY House District 97	New York;NY House District 97
NY House District 98	New York;NY House District 98
NY House District 99	New York;NY House District 99
NY House District 100	New York;NY House District 100
NY House District 101	New York;NY House District 101
NY House District 102	New York;NY House District 102
NY House District 103	New York;NY House District 103
NY House District 104	New York;NY House District 104
NY House District 105	New York;NY House District 105
NY House District 106	New York;NY House District 106
NY House District 107	New York;NY House District 107
NY House District 108	New York;NY House District 108
NY House District 109	New York;NY House District 109
NY House District 110	New York;NY House District 110
NY House District 111	New York;NY House District 111
NY House District 112	New York;NY House District 112
NY House District 113	New York;NY House District 113
NY House District 114	New York;NY House District 114
NY House District 115	New York;NY House District 115
NY House District 116	New York;NY House District 116
NY House District 117	New York;NY House District 117
NY House District 118	New York;NY House District 118
NY House District 119	New York;NY House District 119
NY House District 120	New York;NY House District 120
NY House District 121	New York;NY House District 121
NY House District 122	New York;NY House District 122
NY House District 123	New York;NY House District 123
NY House District 124	New York;NY House District 124
NY House District 125	New York;NY House District 125
NY House District 126	New York;NY House District 126
NY House District 127	New York;NY House District 127
NY House District 128	New York;NY House District 128
NY House District 129	New York;NY House District 129
NY House District 130	New York;NY House District 130
NY House District 131	New York;NY House District 131
NY House District 132	New York;NY House District 132
NY House District 133	New York;NY House District 133
NY House District 134	New York;NY House District 134
NY House District 135	New York;NY House District 135
NY House District 136	New York;NY House District 136
NY House District 137	New York;NY House District 137
NY House District 138	New York;NY House District 138
NY House District 139	New York;NY House District 139
NY House District 140	New York;NY House District 140
NY House District 141	New York;NY House District 141
NY House District 142	New York;NY House District 142
NY House District 143	New York;NY House District 143
NY House District 144	New York;NY House District 144
NY House District 145	New York;NY House District 145
NY House District 146	New York;NY House District 146
NY House District 147	New York;NY House District 147
NY House District 148	New York;NY House District 148
