cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest	NY Senate District 1	1st SD
CandidateContest	NY Senate District 2	2nd SD
CandidateContest	NY Senate District 3	3rd SD
CandidateContest	NY Senate District 4	4th SD
CandidateContest	NY Senate District 5	5th SD
CandidateContest	NY Senate District 6	6th SD
CandidateContest	NY Senate District 7	7th SD
CandidateContest	NY Senate District 8	8th SD
CandidateContest	NY Senate District 9	9th SD
CandidateContest	NY Senate District 10	10th SD
CandidateContest	NY Senate District 11	11th SD
CandidateContest	NY Senate District 12	12th SD
CandidateContest	NY Senate District 13	13th SD
CandidateContest	NY Senate District 14	14th SD
CandidateContest	NY Senate District 15	15th SD
CandidateContest	NY Senate District 16	16th SD
CandidateContest	NY Senate District 17	17th SD
CandidateContest	NY Senate District 18	18th SD
CandidateContest	NY Senate District 19	19th SD
CandidateContest	NY Senate District 20	20th SD
CandidateContest	NY Senate District 21	21st SD
CandidateContest	NY Senate District 22	22nd SD
CandidateContest	NY Senate District 23	23rd SD
CandidateContest	NY Senate District 24	24th SD
CandidateContest	NY Senate District 25	25th SD
CandidateContest	NY Senate District 26	26th SD
CandidateContest	NY Senate District 27	27th SD
CandidateContest	NY Senate District 28	28th SD
CandidateContest	NY Senate District 29	29th SD
CandidateContest	NY Senate District 30	30th SD
CandidateContest	NY Senate District 31	31st SD
CandidateContest	NY Senate District 32	32nd SD
CandidateContest	NY Senate District 33	33rd SD
CandidateContest	NY Senate District 34	34th SD
CandidateContest	NY Senate District 35	35th SD
CandidateContest	NY Senate District 36	36th SD
CandidateContest	NY Senate District 37	37th SD
CandidateContest	NY Senate District 38	38th SD
CandidateContest	NY Senate District 39	39th SD
CandidateContest	NY Senate District 40	40th SD
CandidateContest	NY Senate District 41	41st SD
CandidateContest	NY Senate District 42	42nd SD
CandidateContest	NY Senate District 43	43rd SD
CandidateContest	NY Senate District 44	44th SD
CandidateContest	NY Senate District 45	45th SD
CandidateContest	NY Senate District 46	46th SD
CandidateContest	NY Senate District 47	47th SD
CandidateContest	NY Senate District 48	48th SD
CandidateContest	NY Senate District 49	49th SD
CandidateContest	NY Senate District 50	50th SD
CandidateContest	NY Senate District 51	51st SD
CandidateContest	NY Senate District 52	52nd SD
CandidateContest	NY Senate District 53	53rd SD
CandidateContest	NY Senate District 54	54th SD
CandidateContest	NY Senate District 55	55th SD
CandidateContest	NY Senate District 56	56th SD
CandidateContest	NY Senate District 57	57th SD
CandidateContest	NY Senate District 58	58th SD
CandidateContest	NY Senate District 59	59th SD
CandidateContest	NY Senate District 60	60th SD
CandidateContest	NY Senate District 61	61st SD
CandidateContest	NY Senate District 62	62nd SD
CandidateContest	NY Senate District 63	63rd SD
CandidateContest	NY House District 1	1st AD
CandidateContest	NY House District 2	2nd AD
CandidateContest	NY House District 3	3rd AD
CandidateContest	NY House District 4	4th AD
CandidateContest	NY House District 5	5th AD
CandidateContest	NY House District 6	6th AD
CandidateContest	NY House District 7	7th AD
CandidateContest	NY House District 8	8th AD
CandidateContest	NY House District 9	9th AD
CandidateContest	NY House District 10	10th AD
CandidateContest	NY House District 11	11th AD
CandidateContest	NY House District 12	12th AD
CandidateContest	NY House District 13	13th AD
CandidateContest	NY House District 14	14th AD
CandidateContest	NY House District 15	15th AD
CandidateContest	NY House District 16	16th AD
CandidateContest	NY House District 17	17th AD
CandidateContest	NY House District 18	18th AD
CandidateContest	NY House District 19	19th AD
CandidateContest	NY House District 20	20th AD
CandidateContest	NY House District 21	21st AD
CandidateContest	NY House District 22	22nd AD
CandidateContest	NY House District 23	23rd AD
CandidateContest	NY House District 24	24th AD
CandidateContest	NY House District 25	25th AD
CandidateContest	NY House District 26	26th AD
CandidateContest	NY House District 27	27th AD
CandidateContest	NY House District 28	28th AD
CandidateContest	NY House District 29	29th AD
CandidateContest	NY House District 30	30th AD
CandidateContest	NY House District 31	31st AD
CandidateContest	NY House District 32	32nd AD
CandidateContest	NY House District 33	33rd AD
CandidateContest	NY House District 34	34th AD
CandidateContest	NY House District 35	35th AD
CandidateContest	NY House District 36	36th AD
CandidateContest	NY House District 37	37th AD
CandidateContest	NY House District 38	38th AD
CandidateContest	NY House District 39	39th AD
CandidateContest	NY House District 40	40th AD
CandidateContest	NY House District 41	41st AD
CandidateContest	NY House District 42	42nd AD
CandidateContest	NY House District 43	43rd AD
CandidateContest	NY House District 44	44th AD
CandidateContest	NY House District 45	45th AD
CandidateContest	NY House District 46	46th AD
CandidateContest	NY House District 47	47th AD
CandidateContest	NY House District 48	48th AD
CandidateContest	NY House District 49	49th AD
CandidateContest	NY House District 50	50th AD
CandidateContest	NY House District 51	51st AD
CandidateContest	NY House District 52	52nd AD
CandidateContest	NY House District 53	53rd AD
CandidateContest	NY House District 54	54th AD
CandidateContest	NY House District 55	55th AD
CandidateContest	NY House District 56	56th AD
CandidateContest	NY House District 57	57th AD
CandidateContest	NY House District 58	58th AD
CandidateContest	NY House District 59	59th AD
CandidateContest	NY House District 60	60th AD
CandidateContest	NY House District 61	61st AD
CandidateContest	NY House District 62	62nd AD
CandidateContest	NY House District 63	63rd AD
CandidateContest	NY House District 64	64th AD
CandidateContest	NY House District 65	65th AD
CandidateContest	NY House District 66	66th AD
CandidateContest	NY House District 67	67th AD
CandidateContest	NY House District 68	68th AD
CandidateContest	NY House District 69	69th AD
CandidateContest	NY House District 70	70th AD
CandidateContest	NY House District 71	71st AD
CandidateContest	NY House District 72	72nd AD
CandidateContest	NY House District 73	73rd AD
CandidateContest	NY House District 74	74th AD
CandidateContest	NY House District 75	75th AD
CandidateContest	NY House District 76	76th AD
CandidateContest	NY House District 77	77th AD
CandidateContest	NY House District 78	78th AD
CandidateContest	NY House District 79	79th AD
CandidateContest	NY House District 80	80th AD
CandidateContest	NY House District 81	81st AD
CandidateContest	NY House District 82	82nd AD
CandidateContest	NY House District 83	83rd AD
CandidateContest	NY House District 84	84th AD
CandidateContest	NY House District 85	85th AD
CandidateContest	NY House District 86	86th AD
CandidateContest	NY House District 87	87th AD
CandidateContest	NY House District 88	88th AD
CandidateContest	NY House District 89	89th AD
CandidateContest	NY House District 90	90th AD
CandidateContest	NY House District 91	91st AD
CandidateContest	NY House District 92	92nd AD
CandidateContest	NY House District 93	93rd AD
CandidateContest	NY House District 94	94th AD
CandidateContest	NY House District 95	95th AD
CandidateContest	NY House District 96	96th AD
CandidateContest	NY House District 97	97th AD
CandidateContest	NY House District 98	98th AD
CandidateContest	NY House District 99	99th AD
CandidateContest	NY House District 100	100th AD
CandidateContest	NY House District 101	101st AD
CandidateContest	NY House District 102	102nd AD
CandidateContest	NY House District 103	103rd AD
CandidateContest	NY House District 104	104th AD
CandidateContest	NY House District 105	105th AD
CandidateContest	NY House District 106	106th AD
CandidateContest	NY House District 107	107th AD
CandidateContest	NY House District 108	108th AD
CandidateContest	NY House District 109	109th AD
CandidateContest	NY House District 110	110th AD
CandidateContest	NY House District 111	111th AD
