	Name	ReportingUnitType
0	North Carolina;NC House District 1	state-house
1	North Carolina;NC House District 2	state-house
2	North Carolina;NC House District 3	state-house
3	North Carolina;NC House District 4	state-house
4	North Carolina;NC House District 5	state-house
5	North Carolina;NC House District 6	state-house
6	North Carolina;NC House District 7	state-house
7	North Carolina;NC House District 8	state-house
8	North Carolina;NC House District 9	state-house
9	North Carolina;NC House District 10	state-house
10	North Carolina;NC House District 11	state-house
11	North Carolina;NC House District 12	state-house
12	North Carolina;NC House District 13	state-house
13	North Carolina;NC House District 14	state-house
14	North Carolina;NC House District 15	state-house
15	North Carolina;NC House District 16	state-house
16	North Carolina;NC House District 17	state-house
17	North Carolina;NC House District 18	state-house
18	North Carolina;NC House District 19	state-house
19	North Carolina;NC House District 20	state-house
20	North Carolina;NC House District 21	state-house
21	North Carolina;NC House District 22	state-house
22	North Carolina;NC House District 23	state-house
23	North Carolina;NC House District 24	state-house
24	North Carolina;NC House District 25	state-house
25	North Carolina;NC House District 26	state-house
26	North Carolina;NC House District 27	state-house
27	North Carolina;NC House District 28	state-house
28	North Carolina;NC House District 29	state-house
29	North Carolina;NC House District 30	state-house
30	North Carolina;NC House District 31	state-house
31	North Carolina;NC House District 32	state-house
32	North Carolina;NC House District 33	state-house
33	North Carolina;NC House District 34	state-house
34	North Carolina;NC House District 35	state-house
35	North Carolina;NC House District 36	state-house
36	North Carolina;NC House District 37	state-house
37	North Carolina;NC House District 38	state-house
38	North Carolina;NC House District 39	state-house
39	North Carolina;NC House District 40	state-house
40	North Carolina;NC House District 41	state-house
41	North Carolina;NC House District 42	state-house
42	North Carolina;NC House District 43	state-house
43	North Carolina;NC House District 44	state-house
44	North Carolina;NC House District 45	state-house
45	North Carolina;NC House District 46	state-house
46	North Carolina;NC House District 47	state-house
47	North Carolina;NC House District 48	state-house
48	North Carolina;NC House District 49	state-house
49	North Carolina;NC House District 50	state-house
50	North Carolina;NC House District 51	state-house
51	North Carolina;NC House District 52	state-house
52	North Carolina;NC House District 53	state-house
53	North Carolina;NC House District 54	state-house
54	North Carolina;NC House District 55	state-house
55	North Carolina;NC House District 56	state-house
56	North Carolina;NC House District 57	state-house
57	North Carolina;NC House District 58	state-house
58	North Carolina;NC House District 59	state-house
59	North Carolina;NC House District 60	state-house
60	North Carolina;NC House District 61	state-house
61	North Carolina;NC House District 62	state-house
62	North Carolina;NC House District 63	state-house
63	North Carolina;NC House District 64	state-house
64	North Carolina;NC House District 65	state-house
65	North Carolina;NC House District 66	state-house
66	North Carolina;NC House District 67	state-house
67	North Carolina;NC House District 68	state-house
68	North Carolina;NC House District 69	state-house
69	North Carolina;NC House District 70	state-house
70	North Carolina;NC House District 71	state-house
71	North Carolina;NC House District 72	state-house
72	North Carolina;NC House District 73	state-house
73	North Carolina;NC House District 74	state-house
74	North Carolina;NC House District 75	state-house
75	North Carolina;NC House District 76	state-house
76	North Carolina;NC House District 77	state-house
77	North Carolina;NC House District 78	state-house
78	North Carolina;NC House District 79	state-house
79	North Carolina;NC House District 80	state-house
80	North Carolina;NC House District 81	state-house
81	North Carolina;NC House District 82	state-house
82	North Carolina;NC House District 83	state-house
83	North Carolina;NC House District 84	state-house
84	North Carolina;NC House District 85	state-house
85	North Carolina;NC House District 86	state-house
86	North Carolina;NC House District 87	state-house
87	North Carolina;NC House District 88	state-house
88	North Carolina;NC House District 89	state-house
89	North Carolina;NC House District 90	state-house
90	North Carolina;NC House District 91	state-house
91	North Carolina;NC House District 92	state-house
92	North Carolina;NC House District 93	state-house
93	North Carolina;NC House District 94	state-house
94	North Carolina;NC House District 95	state-house
95	North Carolina;NC House District 96	state-house
96	North Carolina;NC House District 97	state-house
97	North Carolina;NC House District 98	state-house
98	North Carolina;NC House District 99	state-house
99	North Carolina;NC House District 100	state-house
100	North Carolina;NC House District 101	state-house
101	North Carolina;NC House District 102	state-house
102	North Carolina;NC House District 103	state-house
103	North Carolina;NC House District 104	state-house
104	North Carolina;NC House District 105	state-house
105	North Carolina;NC House District 106	state-house
106	North Carolina;NC House District 107	state-house
107	North Carolina;NC House District 108	state-house
108	North Carolina;NC House District 109	state-house
109	North Carolina;NC House District 110	state-house
110	North Carolina;NC House District 111	state-house
111	North Carolina;NC House District 112	state-house
112	North Carolina;NC House District 113	state-house
113	North Carolina;NC House District 114	state-house
114	North Carolina;NC House District 115	state-house
115	North Carolina;NC House District 116	state-house
116	North Carolina;NC House District 117	state-house
117	North Carolina;NC House District 118	state-house
118	North Carolina;NC House District 119	state-house
119	North Carolina;NC House District 120	state-house
120	North Carolina;NC Senate District 1	state-senate
121	North Carolina;NC Senate District 2	state-senate
122	North Carolina;NC Senate District 3	state-senate
123	North Carolina;NC Senate District 4	state-senate
124	North Carolina;NC Senate District 5	state-senate
125	North Carolina;NC Senate District 6	state-senate
