cdf_element	cdf_internal_name	raw_identifier_value
BallotMeasureSelection	No	No
BallotMeasureSelection	No	Against
BallotMeasureSelection	Yes	Yes
BallotMeasureSelection	Yes	For
Candidate	A. Carroll Coleman	A. Carroll Coleman
Candidate	A. Graham Shirley	A. Graham Shirley
Candidate	A. L. (Buddy) Collins	A. L. (Buddy) Collins
Candidate	AGAINST	AGAINST
Candidate	ALEXANDER DUEHRING (Write-In)	ALEXANDER DUEHRING (Write-In)
Candidate	Aaron (A) O'Neal	Aaron (A) O'Neal
Candidate	Aaron (Paul) Russell	Aaron (Paul) Russell
Candidate	Aaron Burleson	Aaron Burleson
Candidate	Aaron Foster Buchanan	Aaron Foster Buchanan
Candidate	Aaron J. Berlin	Aaron J. Berlin
Candidate	Aaron Martin	Aaron Martin
Candidate	Aaron S. Hoilman	Aaron S. Hoilman
Candidate	Aaron Sarver	Aaron Sarver
Candidate	Abbie (Bud) Lane	Abbie (Bud) Lane
Candidate	Abe Elmore	Abe Elmore
Candidate	Abe Jones	Abe Jones
Candidate	Abner Wayne Staples	Abner Wayne Staples
Candidate	Adam Bensley (Write-In)	Adam Bensley (Write-In)
Candidate	Adam Bradford (Write-In)	Adam Bradford (Write-In)
Candidate	Adam C. Hilton	Adam C. Hilton
Candidate	Adam Edwards	Adam Edwards
Candidate	Adam Ericson	Adam Ericson
Candidate	Adam Keith	Adam Keith
Candidate	Adam Kinninger (Write-In)	Adam Kinninger (Write-In)
Candidate	Adam Kokesh	Adam Kokesh
Candidate	Adam Philipps	Adam Philipps
Candidate	Adam Prah (Write-In)	Adam Prah (Write-In)
Candidate	Addie Rawls	Addie Rawls
Candidate	Adrian Lee Travers	Adrian Lee Travers
Candidate	Adrian Ramsey	Adrian Ramsey
Candidate	Aiden Williams (Write-In)	Aiden Williams (Write-In)
Candidate	Aimy Steele	Aimy Steele
Candidate	Al Cooper, Jr.	Al Cooper, Jr.
Candidate	Al Gore	AL GORE
Candidate	Al Heggins	Al Heggins
Candidate	Al J. Whitney	Al J. Whitney
Candidate	Al Pisano	Al Pisano
Candidate	Al Slawuta	Al Slawuta
Candidate	Al Whitesides	Al Whitesides
Candidate	Alan Beck	Alan Beck
Candidate	Alan C. Jones	Alan C. Jones
Candidate	Alan Cloninger	Alan Cloninger
Candidate	Alan Cutler	Alan Cutler
Candidate	Alan D. Swain	Alan D. Swain
Candidate	Alan David Michael	Alan David Michael
Candidate	Alan Ditmore	Alan Ditmore
Candidate	Alan Duncan	Alan Duncan
Candidate	Alan H. Hoyle	Alan H. Hoyle
Candidate	Alan Hawkes	Alan Hawkes
Candidate	Alan Johnson (Write-In)	Alan Johnson (Write-In)
Candidate	Alan Jones	Alan Jones
Candidate	Alan Kaeckmeister	Alan Kaeckmeister
Candidate	Alan Lennon	Alan Lennon
Candidate	Alan Norman	Alan Norman
Candidate	Alan T. West	Alan T. West
Candidate	Alan Thornburg	Alan Thornburg
Candidate	Alan Toney	Alan Toney
Candidate	Alan W. Perdue	Alan W. Perdue
Candidate	Albeiro (Al) Florez	Albeiro (Al) Florez
Candidate	Albert Barron	Albert Barron
Candidate	Albert D. Kirby, Jr.	Albert D. Kirby, Jr.
Candidate	Albert Pacer	Albert Pacer
Candidate	Albert R. Pacer	Albert R. Pacer
Candidate	Albert Wiley, Jr.	Albert Wiley, Jr.
Candidate	Alberta B. Greene	Alberta B. Greene
Candidate	Aleta Cox	Aleta Cox
Candidate	Alex Albright	Alex Albright
Candidate	Alex F. Nelson	Alex F. Nelson
Candidate	Alex Moore	Alex Moore
Candidate	Alexandra Valladares	Alexandra Valladares
Candidate	Ali Paksoy, Jr.	Ali Paksoy, Jr.
Candidate	Alice Clemens	Alice Clemens
Candidate	Alice Tromba (Write-In)	Alice Tromba (Write-In)
Candidate	Alice Wellborn	Alice Wellborn
Candidate	Alicia Chisolm	Alicia Chisolm
Candidate	Alicia D. Brooks	Alicia D. Brooks
Candidate	Alisha Byrd	Alisha Byrd
Candidate	Alissa Batts	Alissa Batts
Candidate	Allan Adams	Allan Adams
Candidate	Allegra Katherine Collins	Allegra Katherine Collins
Candidate	Allen (Mike) Brown, Jr.	Allen (Mike) Brown, Jr.
Candidate	Allen Brown	Allen Brown
Candidate	Allen Chappell	Allen Chappell
Candidate	Allen Fraley (Write-In)	Allen Fraley (Write-In)
Candidate	Allen Joines	Allen Joines
Candidate	Allen Jones	Allen Jones
Candidate	Allen M. Guy	Allen M. Guy
Candidate	Allen McNeill	Allen McNeill
Candidate	Allen Poindexter	Allen Poindexter
Candidate	Allen R. Edwards	Allen R. Edwards
Candidate	Allen R. Fraley	Allen R. Fraley
Candidate	Allen Ray McNeill	Allen Ray McNeill
Candidate	Allen Simmons	Allen Simmons
Candidate	Allen Thomas	Allen Thomas
Candidate	Allen Thomas, Jr.	Allen Thomas, Jr.
Candidate	Allen Tolbert	Allen Tolbert
Candidate	Allen Wellons	Allen Wellons
Candidate	Allison Dahle	Allison Dahle
Candidate	Allison Gant	Allison Gant
Candidate	Allison Gant (Write-In)	Allison Gant (Write-In)
Candidate	Alma Adams	Alma Adams
Candidate	Alma Peters	Alma Peters
Candidate	Althea Richardson-Tucker	Althea Richardson-Tucker
Candidate	Alton H. Parker	Alton H. Parker
Candidate	Alton R. Skinner	Alton R. Skinner
Candidate	Altriese Price	Altriese Price
Candidate	Alvin Privette II (Write-In)	Alvin Privette II (Write-In)
Candidate	Amanda Bregel	Amanda Bregel
Candidate	Amanda Brown Kotis	Amanda Brown Kotis
Candidate	Amanda Edwards	Amanda Edwards
Candidate	Amanda J. LaBrecque	Amanda J. LaBrecque
Candidate	Amanda J. Pacitto	Amanda J. Pacitto
Candidate	Amanda Joann Bell	Amanda Joann Bell
Candidate	Amanda L. (Amy) Wilson	Amanda L. (Amy) Wilson
Candidate	Amanda Maris	Amanda Maris
Candidate	Amanda Stevenson	Amanda Stevenson
Candidate	Amanda Taylor Edwards	Amanda Taylor Edwards
Candidate	Amber Davis Malarney	Amber Davis Malarney
Candidate	Amber M. Baker	Amber M. Baker
