Name	NumberElected	Office	PrimaryParty
ND House District 1	1	ND House District 1	
ND House District 2	1	ND House District 2	
ND House District 3	1	ND House District 3	
ND House District 4	1	ND House District 4	
ND House District 5	1	ND House District 5	
ND House District 6	1	ND House District 6	
ND House District 7	1	ND House District 7	
ND House District 8	1	ND House District 8	
ND House District 9	1	ND House District 9	
ND House District 10	1	ND House District 10	
ND House District 11	1	ND House District 11	
ND House District 12	1	ND House District 12	
ND House District 13	1	ND House District 13	
ND House District 14	1	ND House District 14	
ND House District 15	1	ND House District 15	
ND House District 16	1	ND House District 16	
ND House District 17	1	ND House District 17	
ND House District 18	1	ND House District 18	
ND House District 19	1	ND House District 19	
ND House District 20	1	ND House District 20	
ND House District 21	1	ND House District 21	
ND House District 22	1	ND House District 22	
ND House District 23	1	ND House District 23	
ND House District 24	1	ND House District 24	
ND House District 25	1	ND House District 25	
ND House District 26	1	ND House District 26	
ND House District 27	1	ND House District 27	
ND House District 28	1	ND House District 28	
ND House District 29	1	ND House District 29	
ND House District 30	1	ND House District 30	
ND House District 31	1	ND House District 31	
ND House District 32	1	ND House District 32	
ND House District 33	1	ND House District 33	
ND House District 34	1	ND House District 34	
ND House District 35	1	ND House District 35	
ND House District 36	1	ND House District 36	
ND House District 37	1	ND House District 37	
ND House District 38	1	ND House District 38	
ND House District 39	1	ND House District 39	
ND House District 40	1	ND House District 40	
ND House District 41	1	ND House District 41	
ND House District 42	1	ND House District 42	
ND House District 43	1	ND House District 43	
ND House District 44	1	ND House District 44	
ND House District 45	1	ND House District 45	
ND House District 46	1	ND House District 46	
ND House District 47	1	ND House District 47	
ND House District 48	1	ND House District 48	
ND House District 49	1	ND House District 49	
ND House District 50	1	ND House District 50	
ND House District 51	1	ND House District 51	
ND House District 52	1	ND House District 52	
ND House District 53	1	ND House District 53	
ND House District 54	1	ND House District 54	
ND House District 55	1	ND House District 55	
ND House District 56	1	ND House District 56	
ND House District 57	1	ND House District 57	
ND House District 58	1	ND House District 58	
ND House District 59	1	ND House District 59	
ND House District 60	1	ND House District 60	
ND House District 61	1	ND House District 61	
ND House District 62	1	ND House District 62	
ND House District 63	1	ND House District 63	
ND House District 64	1	ND House District 64	
ND House District 65	1	ND House District 65	
ND House District 66	1	ND House District 66	
ND House District 67	1	ND House District 67	
ND House District 68	1	ND House District 68	
ND House District 69	1	ND House District 69	
ND House District 70	1	ND House District 70	
ND House District 71	1	ND House District 71	
ND House District 72	1	ND House District 72	
ND House District 73	1	ND House District 73	
ND House District 74	1	ND House District 74	
ND House District 75	1	ND House District 75	
ND House District 76	1	ND House District 76	
ND House District 77	1	ND House District 77	
ND House District 78	1	ND House District 78	
ND House District 79	1	ND House District 79	
ND House District 80	1	ND House District 80	
ND House District 81	1	ND House District 81	
ND House District 82	1	ND House District 82	
ND House District 83	1	ND House District 83	
ND House District 84	1	ND House District 84	
ND House District 85	1	ND House District 85	
ND House District 86	1	ND House District 86	
