Name	ReportingUnitType
North Dakota;ND House District 1	state-house
North Dakota;ND House District 2	state-house
North Dakota;ND House District 3	state-house
North Dakota;ND House District 4	state-house
North Dakota;ND House District 5	state-house
North Dakota;ND House District 6	state-house
North Dakota;ND House District 7	state-house
North Dakota;ND House District 8	state-house
North Dakota;ND House District 9	state-house
North Dakota;ND House District 10	state-house
North Dakota;ND House District 11	state-house
North Dakota;ND House District 12	state-house
North Dakota;ND House District 13	state-house
North Dakota;ND House District 14	state-house
North Dakota;ND House District 15	state-house
North Dakota;ND House District 16	state-house
North Dakota;ND House District 17	state-house
North Dakota;ND House District 18	state-house
North Dakota;ND House District 19	state-house
North Dakota;ND House District 20	state-house
North Dakota;ND House District 21	state-house
North Dakota;ND House District 22	state-house
North Dakota;ND House District 23	state-house
North Dakota;ND House District 24	state-house
North Dakota;ND House District 25	state-house
North Dakota;ND House District 26	state-house
North Dakota;ND House District 27	state-house
North Dakota;ND House District 28	state-house
North Dakota;ND House District 29	state-house
North Dakota;ND House District 30	state-house
North Dakota;ND House District 31	state-house
North Dakota;ND House District 32	state-house
North Dakota;ND House District 33	state-house
North Dakota;ND House District 34	state-house
North Dakota;ND House District 35	state-house
North Dakota;ND House District 36	state-house
North Dakota;ND House District 37	state-house
North Dakota;ND House District 38	state-house
North Dakota;ND House District 39	state-house
North Dakota;ND House District 40	state-house
North Dakota;ND House District 41	state-house
North Dakota;ND House District 42	state-house
North Dakota;ND House District 43	state-house
North Dakota;ND House District 44	state-house
North Dakota;ND House District 45	state-house
North Dakota;ND House District 46	state-house
North Dakota;ND House District 47	state-house
North Dakota;ND House District 48	state-house
North Dakota;ND House District 49	state-house
North Dakota;ND House District 50	state-house
North Dakota;ND House District 51	state-house
North Dakota;ND House District 52	state-house
North Dakota;ND House District 53	state-house
North Dakota;ND House District 54	state-house
North Dakota;ND House District 55	state-house
North Dakota;ND House District 56	state-house
North Dakota;ND House District 57	state-house
North Dakota;ND House District 58	state-house
North Dakota;ND House District 59	state-house
North Dakota;ND House District 60	state-house
North Dakota;ND House District 61	state-house
North Dakota;ND House District 62	state-house
North Dakota;ND House District 63	state-house
North Dakota;ND House District 64	state-house
North Dakota;ND House District 65	state-house
North Dakota;ND House District 66	state-house
North Dakota;ND House District 67	state-house
North Dakota;ND House District 68	state-house
North Dakota;ND House District 69	state-house
North Dakota;ND House District 70	state-house
North Dakota;ND House District 71	state-house
North Dakota;ND House District 72	state-house
