cdf_element	cdf_internal_name	raw_identifier_value
ReportingUnit	North Dakota;Adams County	Adams
ReportingUnit	North Dakota;Barnes County	Barnes
ReportingUnit	North Dakota;Benson County	Benson
ReportingUnit	North Dakota;Billings County	Billings
ReportingUnit	North Dakota;Bottineau County	Bottineau
ReportingUnit	North Dakota;Bowman County	Bowman
ReportingUnit	North Dakota;Burke County	Burke
ReportingUnit	North Dakota;Burleigh County	Burleigh
ReportingUnit	North Dakota;Cass County	Cass
ReportingUnit	North Dakota;Cavalier County	Cavalier
ReportingUnit	North Dakota;Dickey County	Dickey
ReportingUnit	North Dakota;Divide County	Divide
ReportingUnit	North Dakota;Dunn County	Dunn
ReportingUnit	North Dakota;Eddy County	Eddy
ReportingUnit	North Dakota;Emmons County	Emmons
ReportingUnit	North Dakota;Foster County	Foster
ReportingUnit	North Dakota;Golden Valley County	Golden Valley
ReportingUnit	North Dakota;Grand Forks County	Grand Forks
ReportingUnit	North Dakota;Grant County	Grant
ReportingUnit	North Dakota;Griggs County	Griggs
ReportingUnit	North Dakota;Hettinger County	Hettinger
ReportingUnit	North Dakota;Kidder County	Kidder
ReportingUnit	North Dakota;LaMoure County	LaMoure
ReportingUnit	North Dakota;Logan County	Logan
ReportingUnit	North Dakota;McHenry County	McHenry
ReportingUnit	North Dakota;McIntosh County	McIntosh
ReportingUnit	North Dakota;McKenzie County	McKenzie
ReportingUnit	North Dakota;McLean County	McLean
ReportingUnit	North Dakota;Mercer County	Mercer
ReportingUnit	North Dakota;Morton County	Morton
ReportingUnit	North Dakota;Mountrail County	Mountrail
ReportingUnit	North Dakota;Nelson County	Nelson
ReportingUnit	North Dakota;Oliver County	Oliver
ReportingUnit	North Dakota;Pembina County	Pembina
ReportingUnit	North Dakota;Pierce County	Pierce
ReportingUnit	North Dakota;Ramsey County	Ramsey
ReportingUnit	North Dakota;Ransom County	Ransom
ReportingUnit	North Dakota;Renville County	Renville
ReportingUnit	North Dakota;Richland County	Richland
ReportingUnit	North Dakota;Rolette County	Rolette
ReportingUnit	North Dakota;Sargent County	Sargent
ReportingUnit	North Dakota;Sheridan County	Sheridan
ReportingUnit	North Dakota;Sioux County	Sioux
ReportingUnit	North Dakota;Slope County	Slope
ReportingUnit	North Dakota;Stark County	Stark
ReportingUnit	North Dakota;Steele County	Steele
ReportingUnit	North Dakota;Stutsman County	Stutsman
ReportingUnit	North Dakota;Towner County	Towner
ReportingUnit	North Dakota;Traill County	Traill
ReportingUnit	North Dakota;Walsh County	Walsh
ReportingUnit	North Dakota;Ward County	Ward
ReportingUnit	North Dakota;Wells County	Wells
ReportingUnit	North Dakota;Williams County	Williams
Party	Democratic Party	Democratic-NPL
Party	Republican Party	Republican
Party	Libertarian Party	Libertarian
CandidateContest	ND House District 1	State Representative District 1
CandidateContest	ND House District 2	State Representative District 2
CandidateContest	ND House District 3	State Representative District 3
CandidateContest	ND House District 4	State Representative District 4
CandidateContest	ND House District 5	State Representative District 5
CandidateContest	ND House District 6	State Representative District 6
CandidateContest	ND House District 7	State Representative District 7
CandidateContest	ND House District 8	State Representative District 8
CandidateContest	ND House District 9	State Representative District 9
CandidateContest	ND House District 10	State Representative District 10
CandidateContest	ND House District 11	State Representative District 11
CandidateContest	ND House District 12	State Representative District 12
CandidateContest	ND House District 13	State Representative District 13
CandidateContest	ND House District 14	State Representative District 14
CandidateContest	ND House District 15	State Representative District 15
CandidateContest	ND House District 16	State Representative District 16
CandidateContest	ND House District 17	State Representative District 17
CandidateContest	ND House District 18	State Representative District 18
CandidateContest	ND House District 19	State Representative District 19
CandidateContest	ND House District 20	State Representative District 20
CandidateContest	ND House District 21	State Representative District 21
CandidateContest	ND House District 22	State Representative District 22
CandidateContest	ND House District 23	State Representative District 23
CandidateContest	ND House District 24	State Representative District 24
CandidateContest	ND House District 25	State Representative District 25
CandidateContest	ND House District 26	State Representative District 26
CandidateContest	ND House District 27	State Representative District 27
CandidateContest	ND House District 28	State Representative District 28
CandidateContest	ND House District 29	State Representative District 29
CandidateContest	ND House District 30	State Representative District 30
CandidateContest	ND House District 31	State Representative District 31
CandidateContest	ND House District 32	State Representative District 32
CandidateContest	ND House District 33	State Representative District 33
CandidateContest	ND House District 34	State Representative District 34
CandidateContest	ND House District 35	State Representative District 35
CandidateContest	ND House District 36	State Representative District 36
CandidateContest	ND House District 37	State Representative District 37
CandidateContest	ND House District 38	State Representative District 38
CandidateContest	ND House District 39	State Representative District 39
CandidateContest	ND House District 40	State Representative District 40
CandidateContest	ND House District 41	State Representative District 41
CandidateContest	ND House District 42	State Representative District 42
CandidateContest	ND House District 43	State Representative District 43
CandidateContest	ND House District 44	State Representative District 44
CandidateContest	ND House District 45	State Representative District 45
CandidateContest	ND House District 46	State Representative District 46
CandidateContest	ND House District 47	State Representative District 47
CandidateContest	ND House District 48	State Representative District 48
CandidateContest	ND House District 49	State Representative District 49
CandidateContest	ND House District 50	State Representative District 50
CandidateContest	ND House District 51	State Representative District 51
CandidateContest	ND House District 52	State Representative District 52
CandidateContest	ND House District 53	State Representative District 53
CandidateContest	ND House District 54	State Representative District 54
