Name	NumberElected	Office	PrimaryParty
OH House District 1	1	OH House District 1	
OH House District 2	1	OH House District 2	
OH House District 3	1	OH House District 3	
OH House District 4	1	OH House District 4	
OH House District 5	1	OH House District 5	
OH House District 6	1	OH House District 6	
OH House District 7	1	OH House District 7	
OH House District 8	1	OH House District 8	
OH House District 9	1	OH House District 9	
OH House District 10	1	OH House District 10	
OH House District 11	1	OH House District 11	
OH House District 12	1	OH House District 12	
OH House District 13	1	OH House District 13	
OH House District 14	1	OH House District 14	
OH House District 15	1	OH House District 15	
OH House District 16	1	OH House District 16	
OH House District 17	1	OH House District 17	
OH House District 18	1	OH House District 18	
OH House District 19	1	OH House District 19	
OH House District 20	1	OH House District 20	
OH House District 21	1	OH House District 21	
OH House District 22	1	OH House District 22	
OH House District 23	1	OH House District 23	
OH House District 24	1	OH House District 24	
OH House District 25	1	OH House District 25	
OH House District 26	1	OH House District 26	
OH House District 27	1	OH House District 27	
OH House District 28	1	OH House District 28	
OH House District 29	1	OH House District 29	
OH House District 30	1	OH House District 30	
OH House District 31	1	OH House District 31	
OH House District 32	1	OH House District 32	
OH House District 33	1	OH House District 33	
OH House District 34	1	OH House District 34	
OH House District 35	1	OH House District 35	
OH House District 36	1	OH House District 36	
OH House District 37	1	OH House District 37	
OH House District 38	1	OH House District 38	
OH House District 39	1	OH House District 39	
OH House District 40	1	OH House District 40	
OH House District 41	1	OH House District 41	
OH House District 42	1	OH House District 42	
OH House District 43	1	OH House District 43	
OH House District 44	1	OH House District 44	
OH House District 45	1	OH House District 45	
OH House District 46	1	OH House District 46	
OH House District 47	1	OH House District 47	
OH House District 48	1	OH House District 48	
OH House District 49	1	OH House District 49	
OH House District 50	1	OH House District 50	
OH House District 51	1	OH House District 51	
OH House District 52	1	OH House District 52	
OH House District 53	1	OH House District 53	
OH House District 54	1	OH House District 54	
OH House District 55	1	OH House District 55	
OH House District 56	1	OH House District 56	
OH House District 57	1	OH House District 57	
OH House District 58	1	OH House District 58	
OH House District 59	1	OH House District 59	
OH House District 60	1	OH House District 60	
OH House District 61	1	OH House District 61	
OH House District 62	1	OH House District 62	
OH House District 63	1	OH House District 63	
OH House District 64	1	OH House District 64	
OH House District 65	1	OH House District 65	
OH House District 66	1	OH House District 66	
OH House District 67	1	OH House District 67	
OH House District 68	1	OH House District 68	
OH House District 69	1	OH House District 69	
OH House District 70	1	OH House District 70	
OH House District 71	1	OH House District 71	
OH House District 72	1	OH House District 72	
OH House District 73	1	OH House District 73	
OH House District 74	1	OH House District 74	
OH House District 75	1	OH House District 75	
OH House District 76	1	OH House District 76	
OH House District 77	1	OH House District 77	
OH House District 78	1	OH House District 78	
OH House District 79	1	OH House District 79	
OH House District 80	1	OH House District 80	
OH House District 81	1	OH House District 81	
OH House District 82	1	OH House District 82	
OH House District 83	1	OH House District 83	
OH House District 84	1	OH House District 84	
OH House District 85	1	OH House District 85	
OH House District 86	1	OH House District 86	
OH House District 87	1	OH House District 87	
OH House District 88	1	OH House District 88	
OH House District 89	1	OH House District 89	
OH House District 90	1	OH House District 90	
OH House District 91	1	OH House District 91	
OH House District 92	1	OH House District 92	
OH House District 93	1	OH House District 93	
OH House District 94	1	OH House District 94	
OH House District 95	1	OH House District 95	
OH House District 96	1	OH House District 96	
OH House District 97	1	OH House District 97	
OH House District 98	1	OH House District 98	
OH House District 99	1	OH House District 99	
OH Senate District 1	1	OH Senate District 1	
OH Senate District 2	1	OH Senate District 2	
OH Senate District 3	1	OH Senate District 3	
OH Senate District 4	1	OH Senate District 4	
OH Senate District 5	1	OH Senate District 5	
OH Senate District 6	1	OH Senate District 6	
OH Senate District 7	1	OH Senate District 7	
OH Senate District 8	1	OH Senate District 8	
OH Senate District 9	1	OH Senate District 9	
OH Senate District 10	1	OH Senate District 10	
OH Senate District 11	1	OH Senate District 11	
OH Senate District 12	1	OH Senate District 12	
OH Senate District 13	1	OH Senate District 13	
OH Senate District 14	1	OH Senate District 14	
OH Senate District 15	1	OH Senate District 15	
OH Senate District 16	1	OH Senate District 16	
OH Senate District 17	1	OH Senate District 17	
OH Senate District 18	1	OH Senate District 18	
OH Senate District 19	1	OH Senate District 19	
OH Senate District 20	1	OH Senate District 20	
OH Senate District 21	1	OH Senate District 21	
OH Senate District 22	1	OH Senate District 22	
OH Senate District 23	1	OH Senate District 23	
OH Senate District 24	1	OH Senate District 24	
OH Senate District 25	1	OH Senate District 25	
OH Senate District 26	1	OH Senate District 26	
OH Senate District 27	1	OH Senate District 27	
OH Senate District 28	1	OH Senate District 28	
OH Senate District 29	1	OH Senate District 29	
OH Senate District 30	1	OH Senate District 30	
OH Senate District 31	1	OH Senate District 31	
OH Senate District 32	1	OH Senate District 32	
OH Senate District 33	1	OH Senate District 33	
US House OH District 1	1	US House OH District 1	
US House OH District 2	1	US House OH District 2	
US House OH District 3	1	US House OH District 3	
US House OH District 4	1	US House OH District 4	
US House OH District 5	1	US House OH District 5	
US House OH District 6	1	US House OH District 6	
US House OH District 7	1	US House OH District 7	
US House OH District 8	1	US House OH District 8	
US House OH District 9	1	US House OH District 9	
US House OH District 10	1	US House OH District 10	
US House OH District 11	1	US House OH District 11	
US House OH District 12	1	US House OH District 12	
US House OH District 13	1	US House OH District 13	
US House OH District 14	1	US House OH District 14	
US House OH District 15	1	US House OH District 15	
US House OH District 16	1	US House OH District 16	
US President (OH)	1	US President (OH)	
OH Governor	1	OH Governor	
