Name	ReportingUnitType
Ohio;OH House District 1	state-house
Ohio;OH House District 2	state-house
Ohio;OH House District 3	state-house
Ohio;OH House District 4	state-house
Ohio;OH House District 5	state-house
Ohio;OH House District 6	state-house
Ohio;OH House District 7	state-house
Ohio;OH House District 8	state-house
Ohio;OH House District 9	state-house
Ohio;OH House District 10	state-house
Ohio;OH House District 11	state-house
Ohio;OH House District 12	state-house
Ohio;OH House District 13	state-house
Ohio;OH House District 14	state-house
Ohio;OH House District 15	state-house
Ohio;OH House District 16	state-house
Ohio;OH House District 17	state-house
Ohio;OH House District 18	state-house
Ohio;OH House District 19	state-house
Ohio;OH House District 20	state-house
Ohio;OH House District 21	state-house
Ohio;OH House District 22	state-house
Ohio;OH House District 23	state-house
Ohio;OH House District 24	state-house
Ohio;OH House District 25	state-house
Ohio;OH House District 26	state-house
Ohio;OH House District 27	state-house
Ohio;OH House District 28	state-house
Ohio;OH House District 29	state-house
Ohio;OH House District 30	state-house
Ohio;OH House District 31	state-house
Ohio;OH House District 32	state-house
Ohio;OH House District 33	state-house
Ohio;OH House District 34	state-house
Ohio;OH House District 35	state-house
Ohio;OH House District 36	state-house
Ohio;OH House District 37	state-house
Ohio;OH House District 38	state-house
Ohio;OH House District 39	state-house
Ohio;OH House District 40	state-house
Ohio;OH House District 41	state-house
Ohio;OH House District 42	state-house
Ohio;OH House District 43	state-house
Ohio;OH House District 44	state-house
Ohio;OH House District 45	state-house
Ohio;OH House District 46	state-house
Ohio;OH House District 47	state-house
Ohio;OH House District 48	state-house
Ohio;OH House District 49	state-house
Ohio;OH House District 50	state-house
Ohio;OH House District 51	state-house
Ohio;OH House District 52	state-house
Ohio;OH House District 53	state-house
Ohio;OH House District 54	state-house
Ohio;OH House District 55	state-house
Ohio;OH House District 56	state-house
Ohio;OH House District 57	state-house
Ohio;OH House District 58	state-house
Ohio;OH House District 59	state-house
Ohio;OH House District 60	state-house
Ohio;OH House District 61	state-house
Ohio;OH House District 62	state-house
Ohio;OH House District 63	state-house
Ohio;OH House District 64	state-house
Ohio;OH House District 65	state-house
Ohio;OH House District 66	state-house
Ohio;OH House District 67	state-house
Ohio;OH House District 68	state-house
Ohio;OH House District 69	state-house
Ohio;OH House District 70	state-house
Ohio;OH House District 71	state-house
Ohio;OH House District 72	state-house
Ohio;OH House District 73	state-house
Ohio;OH House District 74	state-house
Ohio;OH House District 75	state-house
Ohio;OH House District 76	state-house
Ohio;OH House District 77	state-house
