cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest	OH House District 1 (Democratic Party)	State Representative - District 01 (D)
CandidateContest	OH House District 2 (Democratic Party)	State Representative - District 02 (D)
CandidateContest	OH House District 3 (Democratic Party)	State Representative - District 03 (D)
CandidateContest	OH House District 4 (Democratic Party)	State Representative - District 04 (D)
CandidateContest	OH House District 5 (Democratic Party)	State Representative - District 05 (D)
CandidateContest	OH House District 6 (Democratic Party)	State Representative - District 06 (D)
CandidateContest	OH House District 7 (Democratic Party)	State Representative - District 07 (D)
CandidateContest	OH House District 8 (Democratic Party)	State Representative - District 08 (D)
CandidateContest	OH House District 9 (Democratic Party)	State Representative - District 09 (D)
CandidateContest	OH House District 10 (Democratic Party)	State Representative - District 10 (D)
CandidateContest	OH House District 11 (Democratic Party)	State Representative - District 11 (D)
CandidateContest	OH House District 12 (Democratic Party)	State Representative - District 12 (D)
CandidateContest	OH House District 13 (Democratic Party)	State Representative - District 13 (D)
CandidateContest	OH House District 14 (Democratic Party)	State Representative - District 14 (D)
CandidateContest	OH House District 15 (Democratic Party)	State Representative - District 15 (D)
CandidateContest	OH House District 16 (Democratic Party)	State Representative - District 16 (D)
CandidateContest	OH House District 17 (Democratic Party)	State Representative - District 17 (D)
CandidateContest	OH House District 18 (Democratic Party)	State Representative - District 18 (D)
CandidateContest	OH House District 19 (Democratic Party)	State Representative - District 19 (D)
CandidateContest	OH House District 20 (Democratic Party)	State Representative - District 20 (D)
CandidateContest	OH House District 21 (Democratic Party)	State Representative - District 21 (D)
CandidateContest	OH House District 22 (Democratic Party)	State Representative - District 22 (D)
CandidateContest	OH House District 23 (Democratic Party)	State Representative - District 23 (D)
CandidateContest	OH House District 24 (Democratic Party)	State Representative - District 24 (D)
CandidateContest	OH House District 25 (Democratic Party)	State Representative - District 25 (D)
CandidateContest	OH House District 26 (Democratic Party)	State Representative - District 26 (D)
CandidateContest	OH House District 27 (Democratic Party)	State Representative - District 27 (D)
CandidateContest	OH House District 28 (Democratic Party)	State Representative - District 28 (D)
CandidateContest	OH House District 29 (Democratic Party)	State Representative - District 29 (D)
CandidateContest	OH House District 30 (Democratic Party)	State Representative - District 30 (D)
CandidateContest	OH House District 31 (Democratic Party)	State Representative - District 31 (D)
CandidateContest	OH House District 32 (Democratic Party)	State Representative - District 32 (D)
CandidateContest	OH House District 33 (Democratic Party)	State Representative - District 33 (D)
CandidateContest	OH House District 34 (Democratic Party)	State Representative - District 34 (D)
CandidateContest	OH House District 35 (Democratic Party)	State Representative - District 35 (D)
CandidateContest	OH House District 36 (Democratic Party)	State Representative - District 36 (D)
CandidateContest	OH House District 37 (Democratic Party)	State Representative - District 37 (D)
CandidateContest	OH House District 38 (Democratic Party)	State Representative - District 38 (D)
CandidateContest	OH House District 39 (Democratic Party)	State Representative - District 39 (D)
CandidateContest	OH House District 40 (Democratic Party)	State Representative - District 40 (D)
CandidateContest	OH House District 41 (Democratic Party)	State Representative - District 41 (D)
CandidateContest	OH House District 42 (Democratic Party)	State Representative - District 42 (D)
CandidateContest	OH House District 43 (Democratic Party)	State Representative - District 43 (D)
CandidateContest	OH House District 44 (Democratic Party)	State Representative - District 44 (D)
CandidateContest	OH House District 45 (Democratic Party)	State Representative - District 45 (D)
CandidateContest	OH House District 46 (Democratic Party)	State Representative - District 46 (D)
CandidateContest	OH House District 47 (Democratic Party)	State Representative - District 47 (D)
CandidateContest	OH House District 48 (Democratic Party)	State Representative - District 48 (D)
CandidateContest	OH House District 49 (Democratic Party)	State Representative - District 49 (D)
CandidateContest	OH House District 50 (Democratic Party)	State Representative - District 50 (D)
CandidateContest	OH House District 51 (Democratic Party)	State Representative - District 51 (D)
CandidateContest	OH House District 52 (Democratic Party)	State Representative - District 52 (D)
CandidateContest	OH House District 53 (Democratic Party)	State Representative - District 53 (D)
CandidateContest	OH House District 54 (Democratic Party)	State Representative - District 54 (D)
CandidateContest	OH House District 55 (Democratic Party)	State Representative - District 55 (D)
CandidateContest	OH House District 56 (Democratic Party)	State Representative - District 56 (D)
CandidateContest	OH House District 57 (Democratic Party)	State Representative - District 57 (D)
CandidateContest	OH House District 58 (Democratic Party)	State Representative - District 58 (D)
CandidateContest	OH House District 59 (Democratic Party)	State Representative - District 59 (D)
CandidateContest	OH House District 60 (Democratic Party)	State Representative - District 60 (D)
CandidateContest	OH House District 61 (Democratic Party)	State Representative - District 61 (D)
CandidateContest	OH House District 62 (Democratic Party)	State Representative - District 62 (D)
CandidateContest	OH House District 63 (Democratic Party)	State Representative - District 63 (D)
CandidateContest	OH House District 64 (Democratic Party)	State Representative - District 64 (D)
CandidateContest	OH House District 65 (Democratic Party)	State Representative - District 65 (D)
CandidateContest	OH House District 66 (Democratic Party)	State Representative - District 66 (D)
