cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest	OH House District 1	OH House District 1
CandidateContest	OH House District 2	OH House District 2
CandidateContest	OH House District 3	OH House District 3
CandidateContest	OH House District 4	OH House District 4
CandidateContest	OH House District 5	OH House District 5
CandidateContest	OH House District 6	OH House District 6
CandidateContest	OH House District 7	OH House District 7
CandidateContest	OH House District 8	OH House District 8
CandidateContest	OH House District 9	OH House District 9
CandidateContest	OH House District 10	OH House District 10
CandidateContest	OH House District 11	OH House District 11
CandidateContest	OH House District 12	OH House District 12
CandidateContest	OH House District 13	OH House District 13
CandidateContest	OH House District 14	OH House District 14
CandidateContest	OH House District 15	OH House District 15
CandidateContest	OH House District 16	OH House District 16
CandidateContest	OH House District 17	OH House District 17
CandidateContest	OH House District 18	OH House District 18
CandidateContest	OH House District 19	OH House District 19
CandidateContest	OH House District 20	OH House District 20
CandidateContest	OH House District 21	OH House District 21
CandidateContest	OH House District 22	OH House District 22
CandidateContest	OH House District 23	OH House District 23
CandidateContest	OH House District 24	OH House District 24
CandidateContest	OH House District 25	OH House District 25
CandidateContest	OH House District 26	OH House District 26
CandidateContest	OH House District 27	OH House District 27
CandidateContest	OH House District 28	OH House District 28
CandidateContest	OH House District 29	OH House District 29
CandidateContest	OH House District 30	OH House District 30
CandidateContest	OH House District 31	OH House District 31
CandidateContest	OH House District 32	OH House District 32
CandidateContest	OH House District 33	OH House District 33
CandidateContest	OH House District 34	OH House District 34
CandidateContest	OH House District 35	OH House District 35
CandidateContest	OH House District 36	OH House District 36
CandidateContest	OH House District 37	OH House District 37
CandidateContest	OH House District 38	OH House District 38
CandidateContest	OH House District 39	OH House District 39
CandidateContest	OH House District 40	OH House District 40
CandidateContest	OH House District 41	OH House District 41
CandidateContest	OH House District 42	OH House District 42
CandidateContest	OH House District 43	OH House District 43
CandidateContest	OH House District 44	OH House District 44
CandidateContest	OH House District 45	OH House District 45
CandidateContest	OH House District 46	OH House District 46
CandidateContest	OH House District 47	OH House District 47
CandidateContest	OH House District 48	OH House District 48
CandidateContest	OH House District 49	OH House District 49
CandidateContest	OH House District 50	OH House District 50
CandidateContest	OH House District 51	OH House District 51
CandidateContest	OH House District 52	OH House District 52
CandidateContest	OH House District 53	OH House District 53
CandidateContest	OH House District 54	OH House District 54
CandidateContest	OH House District 55	OH House District 55
CandidateContest	OH House District 56	OH House District 56
