Name	ReportingUnitType
Oklahoma;OK House District 1	state-house
Oklahoma;OK House District 2	state-house
Oklahoma;OK House District 3	state-house
Oklahoma;OK House District 4	state-house
Oklahoma;OK House District 5	state-house
Oklahoma;OK House District 6	state-house
Oklahoma;OK House District 7	state-house
Oklahoma;OK House District 8	state-house
Oklahoma;OK House District 9	state-house
Oklahoma;OK House District 10	state-house
Oklahoma;OK House District 11	state-house
Oklahoma;OK House District 12	state-house
Oklahoma;OK House District 13	state-house
Oklahoma;OK House District 14	state-house
Oklahoma;OK House District 15	state-house
Oklahoma;OK House District 16	state-house
Oklahoma;OK House District 17	state-house
Oklahoma;OK House District 18	state-house
Oklahoma;OK House District 19	state-house
Oklahoma;OK House District 20	state-house
Oklahoma;OK House District 21	state-house
Oklahoma;OK House District 22	state-house
Oklahoma;OK House District 23	state-house
Oklahoma;OK House District 24	state-house
Oklahoma;OK House District 25	state-house
Oklahoma;OK House District 26	state-house
Oklahoma;OK House District 27	state-house
Oklahoma;OK House District 28	state-house
Oklahoma;OK House District 29	state-house
Oklahoma;OK House District 30	state-house
Oklahoma;OK House District 31	state-house
Oklahoma;OK House District 32	state-house
Oklahoma;OK House District 33	state-house
Oklahoma;OK House District 34	state-house
Oklahoma;OK House District 35	state-house
Oklahoma;OK House District 36	state-house
Oklahoma;OK House District 37	state-house
Oklahoma;OK House District 38	state-house
Oklahoma;OK House District 39	state-house
Oklahoma;OK House District 40	state-house
Oklahoma;OK House District 41	state-house
Oklahoma;OK House District 42	state-house
Oklahoma;OK House District 43	state-house
Oklahoma;OK House District 44	state-house
Oklahoma;OK House District 45	state-house
Oklahoma;OK House District 46	state-house
Oklahoma;OK House District 47	state-house
Oklahoma;OK House District 48	state-house
Oklahoma;OK House District 49	state-house
Oklahoma;OK House District 50	state-house
Oklahoma;OK House District 51	state-house
Oklahoma;OK House District 52	state-house
Oklahoma;OK House District 53	state-house
Oklahoma;OK House District 54	state-house
Oklahoma;OK House District 55	state-house
Oklahoma;OK House District 56	state-house
Oklahoma;OK House District 57	state-house
Oklahoma;OK House District 58	state-house
Oklahoma;OK House District 59	state-house
Oklahoma;OK House District 60	state-house
Oklahoma;OK House District 61	state-house
Oklahoma;OK House District 62	state-house
Oklahoma;OK House District 63	state-house
Oklahoma;OK House District 64	state-house
Oklahoma;OK House District 65	state-house
Oklahoma;OK House District 66	state-house
Oklahoma;OK House District 67	state-house
Oklahoma;OK House District 68	state-house
Oklahoma;OK House District 69	state-house
Oklahoma;OK House District 70	state-house
Oklahoma;OK House District 71	state-house
Oklahoma;OK House District 72	state-house
Oklahoma;OK House District 73	state-house
Oklahoma;OK House District 74	state-house
Oklahoma;OK House District 75	state-house
Oklahoma;OK House District 76	state-house
Oklahoma;OK House District 77	state-house
Oklahoma;OK House District 78	state-house
Oklahoma;OK House District 79	state-house
Oklahoma;OK House District 80	state-house
Oklahoma;OK House District 81	state-house
Oklahoma;OK House District 82	state-house
Oklahoma;OK House District 83	state-house
Oklahoma;OK House District 84	state-house
Oklahoma;OK House District 85	state-house
Oklahoma;OK House District 86	state-house
Oklahoma;OK House District 87	state-house
Oklahoma;OK House District 88	state-house
Oklahoma;OK House District 89	state-house
Oklahoma;OK House District 90	state-house
Oklahoma;OK House District 91	state-house
Oklahoma;OK House District 92	state-house
Oklahoma;OK House District 93	state-house
Oklahoma;OK House District 94	state-house
Oklahoma;OK House District 95	state-house
Oklahoma;OK House District 96	state-house
Oklahoma;OK House District 97	state-house
Oklahoma;OK House District 98	state-house
Oklahoma;OK House District 99	state-house
Oklahoma;OK House District 100	state-house
Oklahoma;OK House District 101	state-house
Oklahoma;OK Senate District 1	state-senate
Oklahoma;OK Senate District 2	state-senate
Oklahoma;OK Senate District 3	state-senate
Oklahoma;OK Senate District 4	state-senate
Oklahoma;OK Senate District 5	state-senate
Oklahoma;OK Senate District 6	state-senate
Oklahoma;OK Senate District 7	state-senate
Oklahoma;OK Senate District 8	state-senate
Oklahoma;OK Senate District 9	state-senate
Oklahoma;OK Senate District 10	state-senate
Oklahoma;OK Senate District 11	state-senate
Oklahoma;OK Senate District 12	state-senate
Oklahoma;OK Senate District 13	state-senate
Oklahoma;OK Senate District 14	state-senate
Oklahoma;OK Senate District 15	state-senate
Oklahoma;OK Senate District 16	state-senate
Oklahoma;OK Senate District 17	state-senate
Oklahoma;OK Senate District 18	state-senate
Oklahoma;OK Senate District 19	state-senate
Oklahoma;OK Senate District 20	state-senate
Oklahoma;OK Senate District 21	state-senate
Oklahoma;OK Senate District 22	state-senate
Oklahoma;OK Senate District 23	state-senate
Oklahoma;OK Senate District 24	state-senate
Oklahoma;OK Senate District 25	state-senate
Oklahoma;OK Senate District 26	state-senate
Oklahoma;OK Senate District 27	state-senate
Oklahoma;OK Senate District 28	state-senate
Oklahoma;OK Senate District 29	state-senate
Oklahoma;OK Senate District 30	state-senate
Oklahoma;OK Senate District 31	state-senate
Oklahoma;OK Senate District 32	state-senate
Oklahoma;OK Senate District 33	state-senate
Oklahoma;OK Senate District 34	state-senate
Oklahoma;OK Senate District 35	state-senate
Oklahoma;OK Senate District 36	state-senate
Oklahoma;OK Senate District 37	state-senate
Oklahoma;OK Senate District 38	state-senate
Oklahoma;OK Senate District 39	state-senate
Oklahoma;OK Senate District 40	state-senate
Oklahoma;OK Senate District 41	state-senate
Oklahoma;OK Senate District 42	state-senate
Oklahoma;OK Senate District 43	state-senate
Oklahoma;OK Senate District 44	state-senate
Oklahoma;OK Senate District 45	state-senate
Oklahoma;OK Senate District 46	state-senate
Oklahoma;OK Senate District 47	state-senate
Oklahoma;OK Senate District 48	state-senate
Oklahoma;OK Senate District 49	state-senate
Oklahoma;OK Senate District 50	state-senate
Oklahoma;OK Senate District 51	state-senate
Oklahoma;OK Senate District 52	state-senate
Oklahoma;OK Senate District 53	state-senate
Oklahoma;OK Senate District 54	state-senate
Oklahoma;OK Senate District 55	state-senate
Oklahoma;OK Senate District 56	state-senate
Oklahoma;OK Senate District 57	state-senate
Oklahoma;OK Senate District 58	state-senate
Oklahoma;OK Senate District 59	state-senate
Oklahoma;OK Senate District 60	state-senate
Oklahoma;OK Senate District 61	state-senate
Oklahoma;OK Senate District 62	state-senate
Oklahoma;OK Senate District 63	state-senate
Oklahoma;OK Senate District 64	state-senate
Oklahoma;OK Senate District 65	state-senate
Oklahoma;OK Senate District 66	state-senate
Oklahoma;OK Senate District 67	state-senate
Oklahoma;OK Senate District 68	state-senate
Oklahoma;OK Senate District 69	state-senate
Oklahoma;OK Senate District 70	state-senate
Oklahoma;OK Senate District 71	state-senate
Oklahoma;OK Senate District 72	state-senate
Oklahoma;OK Senate District 73	state-senate
Oklahoma;OK Senate District 74	state-senate
Oklahoma;OK Senate District 75	state-senate
Oklahoma;OK Senate District 76	state-senate
Oklahoma;OK Senate District 77	state-senate
Oklahoma;OK Senate District 78	state-senate
Oklahoma;OK Senate District 79	state-senate
Oklahoma;OK Senate District 80	state-senate
Oklahoma;OK Senate District 81	state-senate
Oklahoma;OK Senate District 82	state-senate
Oklahoma;OK Senate District 83	state-senate
Oklahoma;OK Senate District 84	state-senate
Oklahoma;OK Senate District 85	state-senate
