cdf_element	cdf_internal_name	raw_identifier_value
CountItemType	absentee-mail	cand_absmail_votes
CountItemType	early	cand_early_votes
CountItemType	election-day	cand_elecday_votes
CountItemType	total	cand_tot_votes
CandidateContest	OK House District 1	FOR STATE REPRESENTATIVE DISTRICT 1
CandidateContest	OK House District 2	FOR STATE REPRESENTATIVE DISTRICT 2
CandidateContest	OK House District 3	FOR STATE REPRESENTATIVE DISTRICT 3
CandidateContest	OK House District 4	FOR STATE REPRESENTATIVE DISTRICT 4
CandidateContest	OK House District 5	FOR STATE REPRESENTATIVE DISTRICT 5
CandidateContest	OK House District 6	FOR STATE REPRESENTATIVE DISTRICT 6
CandidateContest	OK House District 7	FOR STATE REPRESENTATIVE DISTRICT 7
CandidateContest	OK House District 8	FOR STATE REPRESENTATIVE DISTRICT 8
CandidateContest	OK House District 9	FOR STATE REPRESENTATIVE DISTRICT 9
CandidateContest	OK House District 10	FOR STATE REPRESENTATIVE DISTRICT 10
CandidateContest	OK House District 11	FOR STATE REPRESENTATIVE DISTRICT 11
CandidateContest	OK House District 12	FOR STATE REPRESENTATIVE DISTRICT 12
CandidateContest	OK House District 13	FOR STATE REPRESENTATIVE DISTRICT 13
CandidateContest	OK House District 14	FOR STATE REPRESENTATIVE DISTRICT 14
CandidateContest	OK House District 15	FOR STATE REPRESENTATIVE DISTRICT 15
CandidateContest	OK House District 16	FOR STATE REPRESENTATIVE DISTRICT 16
CandidateContest	OK House District 17	FOR STATE REPRESENTATIVE DISTRICT 17
CandidateContest	OK House District 18	FOR STATE REPRESENTATIVE DISTRICT 18
CandidateContest	OK House District 19	FOR STATE REPRESENTATIVE DISTRICT 19
CandidateContest	OK House District 20	FOR STATE REPRESENTATIVE DISTRICT 20
CandidateContest	OK House District 21	FOR STATE REPRESENTATIVE DISTRICT 21
CandidateContest	OK House District 22	FOR STATE REPRESENTATIVE DISTRICT 22
CandidateContest	OK House District 23	FOR STATE REPRESENTATIVE DISTRICT 23
CandidateContest	OK House District 24	FOR STATE REPRESENTATIVE DISTRICT 24
CandidateContest	OK House District 25	FOR STATE REPRESENTATIVE DISTRICT 25
CandidateContest	OK House District 26	FOR STATE REPRESENTATIVE DISTRICT 26
CandidateContest	OK House District 27	FOR STATE REPRESENTATIVE DISTRICT 27
CandidateContest	OK House District 28	FOR STATE REPRESENTATIVE DISTRICT 28
CandidateContest	OK House District 29	FOR STATE REPRESENTATIVE DISTRICT 29
CandidateContest	OK House District 30	FOR STATE REPRESENTATIVE DISTRICT 30
CandidateContest	OK House District 31	FOR STATE REPRESENTATIVE DISTRICT 31
CandidateContest	OK House District 32	FOR STATE REPRESENTATIVE DISTRICT 32
CandidateContest	OK House District 33	FOR STATE REPRESENTATIVE DISTRICT 33
CandidateContest	OK House District 34	FOR STATE REPRESENTATIVE DISTRICT 34
CandidateContest	OK House District 35	FOR STATE REPRESENTATIVE DISTRICT 35
CandidateContest	OK House District 36	FOR STATE REPRESENTATIVE DISTRICT 36
CandidateContest	OK House District 37	FOR STATE REPRESENTATIVE DISTRICT 37
CandidateContest	OK House District 38	FOR STATE REPRESENTATIVE DISTRICT 38
CandidateContest	OK House District 39	FOR STATE REPRESENTATIVE DISTRICT 39
CandidateContest	OK House District 40	FOR STATE REPRESENTATIVE DISTRICT 40
CandidateContest	OK House District 41	FOR STATE REPRESENTATIVE DISTRICT 41
CandidateContest	OK House District 42	FOR STATE REPRESENTATIVE DISTRICT 42
CandidateContest	OK House District 43	FOR STATE REPRESENTATIVE DISTRICT 43
CandidateContest	OK House District 44	FOR STATE REPRESENTATIVE DISTRICT 44
CandidateContest	OK House District 45	FOR STATE REPRESENTATIVE DISTRICT 45
CandidateContest	OK House District 46	FOR STATE REPRESENTATIVE DISTRICT 46
CandidateContest	OK House District 47	FOR STATE REPRESENTATIVE DISTRICT 47
CandidateContest	OK House District 48	FOR STATE REPRESENTATIVE DISTRICT 48
CandidateContest	OK House District 49	FOR STATE REPRESENTATIVE DISTRICT 49
CandidateContest	OK House District 50	FOR STATE REPRESENTATIVE DISTRICT 50
CandidateContest	OK House District 51	FOR STATE REPRESENTATIVE DISTRICT 51
CandidateContest	OK House District 52	FOR STATE REPRESENTATIVE DISTRICT 52
CandidateContest	OK House District 53	FOR STATE REPRESENTATIVE DISTRICT 53
CandidateContest	OK House District 54	FOR STATE REPRESENTATIVE DISTRICT 54
CandidateContest	OK House District 55	FOR STATE REPRESENTATIVE DISTRICT 55
CandidateContest	OK House District 56	FOR STATE REPRESENTATIVE DISTRICT 56
CandidateContest	OK House District 57	FOR STATE REPRESENTATIVE DISTRICT 57
CandidateContest	OK House District 58	FOR STATE REPRESENTATIVE DISTRICT 58
CandidateContest	OK House District 59	FOR STATE REPRESENTATIVE DISTRICT 59
CandidateContest	OK House District 60	FOR STATE REPRESENTATIVE DISTRICT 60
CandidateContest	OK House District 61	FOR STATE REPRESENTATIVE DISTRICT 61
CandidateContest	OK House District 62	FOR STATE REPRESENTATIVE DISTRICT 62
CandidateContest	OK House District 63	FOR STATE REPRESENTATIVE DISTRICT 63
CandidateContest	OK House District 64	FOR STATE REPRESENTATIVE DISTRICT 64
CandidateContest	OK House District 65	FOR STATE REPRESENTATIVE DISTRICT 65
CandidateContest	OK House District 66	FOR STATE REPRESENTATIVE DISTRICT 66
CandidateContest	OK House District 67	FOR STATE REPRESENTATIVE DISTRICT 67
CandidateContest	OK House District 68	FOR STATE REPRESENTATIVE DISTRICT 68
CandidateContest	OK House District 69	FOR STATE REPRESENTATIVE DISTRICT 69
CandidateContest	OK House District 70	FOR STATE REPRESENTATIVE DISTRICT 70
CandidateContest	OK House District 71	FOR STATE REPRESENTATIVE DISTRICT 71
CandidateContest	OK House District 72	FOR STATE REPRESENTATIVE DISTRICT 72
CandidateContest	OK House District 73	FOR STATE REPRESENTATIVE DISTRICT 73
CandidateContest	OK House District 74	FOR STATE REPRESENTATIVE DISTRICT 74
CandidateContest	OK House District 75	FOR STATE REPRESENTATIVE DISTRICT 75
CandidateContest	OK House District 76	FOR STATE REPRESENTATIVE DISTRICT 76
CandidateContest	OK House District 77	FOR STATE REPRESENTATIVE DISTRICT 77
CandidateContest	OK House District 78	FOR STATE REPRESENTATIVE DISTRICT 78
CandidateContest	OK House District 79	FOR STATE REPRESENTATIVE DISTRICT 79
CandidateContest	OK House District 80	FOR STATE REPRESENTATIVE DISTRICT 80
CandidateContest	OK House District 81	FOR STATE REPRESENTATIVE DISTRICT 81
CandidateContest	OK House District 82	FOR STATE REPRESENTATIVE DISTRICT 82
CandidateContest	OK House District 83	FOR STATE REPRESENTATIVE DISTRICT 83
CandidateContest	OK House District 84	FOR STATE REPRESENTATIVE DISTRICT 84
CandidateContest	OK House District 85	FOR STATE REPRESENTATIVE DISTRICT 85
CandidateContest	OK House District 86	FOR STATE REPRESENTATIVE DISTRICT 86
CandidateContest	OK House District 87	FOR STATE REPRESENTATIVE DISTRICT 87
CandidateContest	OK House District 88	FOR STATE REPRESENTATIVE DISTRICT 88
CandidateContest	OK House District 89	FOR STATE REPRESENTATIVE DISTRICT 89
CandidateContest	OK House District 90	FOR STATE REPRESENTATIVE DISTRICT 90
CandidateContest	OK House District 91	FOR STATE REPRESENTATIVE DISTRICT 91
CandidateContest	OK House District 92	FOR STATE REPRESENTATIVE DISTRICT 92
