cdf_element	cdf_internal_name	raw_identifier_value
Election	General Election 2018-11-06	11/6/2001
Party	Pennsylvania Democratic Party	Democratic
Party	Pennsylvania Republican Party	Republican
Party	Pennsylvania Green Party	Green
Party	Pennsylvania Libertarian Party	Libertarian
Party	Pennsylvania Democratic / Republican Party	Democratic / Republican
Party	Pennsylvania Independent Party	Independent
Party	Pennsylvania No Affiliation Party	No Affiliation
CandidateContest	Pennsylvania;Governor	Governor;Statewide
CandidateContest	Pennsylvania;US Congress House of Representatives District 10	Representative in Congress;10th Congressional District
CandidateContest	Representative in Congress;11th Congressional District	Pennsylvania;US Congress House of Representatives District 11
CandidateContest	Representative in Congress;12th Congressional District	Pennsylvania;US Congress House of Representatives District 12
CandidateContest	Representative in Congress;13th Congressional District	Pennsylvania;US Congress House of Representatives District 13
CandidateContest	Representative in Congress;14th Congressional District	Pennsylvania;US Congress House of Representatives District 14
CandidateContest	Representative in Congress;15th Congressional District	Pennsylvania;US Congress House of Representatives District 15
CandidateContest	Representative in Congress;16th Congressional District	Pennsylvania;US Congress House of Representatives District 16
CandidateContest	Representative in Congress;17th Congressional District	Pennsylvania;US Congress House of Representatives District 17
CandidateContest	Representative in Congress;18th Congressional District	Pennsylvania;US Congress House of Representatives District 18
CandidateContest	Representative in Congress;1st Congressional District	Pennsylvania;US Congress House of Representatives District 1
CandidateContest	Representative in Congress;2nd Congressional District	Pennsylvania;US Congress House of Representatives District 2
CandidateContest	Representative in Congress;3rd Congressional District	Pennsylvania;US Congress House of Representatives District 3
CandidateContest	Representative in Congress;4th Congressional District	Pennsylvania;US Congress House of Representatives District 4
CandidateContest	Representative in Congress;5th Congressional District	Pennsylvania;US Congress House of Representatives District 5
CandidateContest	Representative in Congress;6th Congressional District	Pennsylvania;US Congress House of Representatives District 6
CandidateContest	Representative in Congress;7th Congressional District	Pennsylvania;US Congress House of Representatives District 7
CandidateContest	Representative in Congress;8th Congressional District	Pennsylvania;US Congress House of Representatives District 8
CandidateContest	Representative in Congress;9th Congressional District	Pennsylvania;US Congress House of Representatives District 9
CandidateContest	Representative in the General Assembly;100th Legislative District	Pennsylvania;General Assembly House of Representatives District 100
CandidateContest	Representative in the General Assembly;101st Legislative District	Pennsylvania;General Assembly House of Representatives District 101
CandidateContest	Representative in the General Assembly;102nd Legislative District	Pennsylvania;General Assembly House of Representatives District 102
CandidateContest	Representative in the General Assembly;103rd Legislative District	Pennsylvania;General Assembly House of Representatives District 103
CandidateContest	Representative in the General Assembly;104th Legislative District	Pennsylvania;General Assembly House of Representatives District 104
CandidateContest	Representative in the General Assembly;105th Legislative District	Pennsylvania;General Assembly House of Representatives District 105
CandidateContest	Representative in the General Assembly;106th Legislative District	Pennsylvania;General Assembly House of Representatives District 106
CandidateContest	Representative in the General Assembly;107th Legislative District	Pennsylvania;General Assembly House of Representatives District 107
CandidateContest	Representative in the General Assembly;108th Legislative District	Pennsylvania;General Assembly House of Representatives District 108
CandidateContest	Representative in the General Assembly;109th Legislative District	Pennsylvania;General Assembly House of Representatives District 109
