Name	NumberElected	Office	PrimaryParty
PA House District 1	1	PA House District 1	
PA House District 2	1	PA House District 2	
PA House District 3	1	PA House District 3	
PA House District 4	1	PA House District 4	
PA House District 5	1	PA House District 5	
PA House District 6	1	PA House District 6	
PA House District 7	1	PA House District 7	
PA House District 8	1	PA House District 8	
PA House District 9	1	PA House District 9	
PA House District 10	1	PA House District 10	
PA House District 11	1	PA House District 11	
PA House District 12	1	PA House District 12	
PA House District 13	1	PA House District 13	
PA House District 14	1	PA House District 14	
PA House District 15	1	PA House District 15	
PA House District 16	1	PA House District 16	
PA House District 17	1	PA House District 17	
PA House District 18	1	PA House District 18	
PA House District 19	1	PA House District 19	
PA House District 20	1	PA House District 20	
PA House District 21	1	PA House District 21	
PA House District 22	1	PA House District 22	
PA House District 23	1	PA House District 23	
PA House District 24	1	PA House District 24	
PA House District 25	1	PA House District 25	
PA House District 26	1	PA House District 26	
PA House District 27	1	PA House District 27	
PA House District 28	1	PA House District 28	
PA House District 29	1	PA House District 29	
PA House District 30	1	PA House District 30	
PA House District 31	1	PA House District 31	
PA House District 32	1	PA House District 32	
PA House District 33	1	PA House District 33	
PA House District 34	1	PA House District 34	
PA House District 35	1	PA House District 35	
PA House District 36	1	PA House District 36	
PA House District 37	1	PA House District 37	
PA House District 38	1	PA House District 38	
PA House District 39	1	PA House District 39	
PA House District 40	1	PA House District 40	
PA House District 41	1	PA House District 41	
PA House District 42	1	PA House District 42	
PA House District 43	1	PA House District 43	
PA House District 44	1	PA House District 44	
PA House District 45	1	PA House District 45	
PA House District 46	1	PA House District 46	
PA House District 47	1	PA House District 47	
PA House District 48	1	PA House District 48	
PA House District 49	1	PA House District 49	
PA House District 50	1	PA House District 50	
PA House District 51	1	PA House District 51	
PA House District 52	1	PA House District 52	
PA House District 53	1	PA House District 53	
PA House District 54	1	PA House District 54	
PA House District 55	1	PA House District 55	
PA House District 56	1	PA House District 56	
PA House District 57	1	PA House District 57	
PA House District 58	1	PA House District 58	
PA House District 59	1	PA House District 59	
PA House District 60	1	PA House District 60	
PA House District 61	1	PA House District 61	
PA House District 62	1	PA House District 62	
PA House District 63	1	PA House District 63	
PA House District 64	1	PA House District 64	
PA House District 65	1	PA House District 65	
PA House District 66	1	PA House District 66	
PA House District 67	1	PA House District 67	
PA House District 68	1	PA House District 68	
PA House District 69	1	PA House District 69	
PA House District 70	1	PA House District 70	
PA House District 71	1	PA House District 71	
PA House District 72	1	PA House District 72	
PA House District 73	1	PA House District 73	
PA House District 74	1	PA House District 74	
PA House District 75	1	PA House District 75	
PA House District 76	1	PA House District 76	
PA House District 77	1	PA House District 77	
PA House District 78	1	PA House District 78	
PA House District 79	1	PA House District 79	
PA House District 80	1	PA House District 80	
PA House District 81	1	PA House District 81	
PA House District 82	1	PA House District 82	
PA House District 83	1	PA House District 83	
PA House District 84	1	PA House District 84	
PA House District 85	1	PA House District 85	
PA House District 86	1	PA House District 86	
PA House District 87	1	PA House District 87	
PA House District 88	1	PA House District 88	
PA House District 89	1	PA House District 89	
