Name	ReportingUnitType
Pennsylvania;Adams County	county
Pennsylvania;Allegheny County	county
Pennsylvania;Armstrong County	county
Pennsylvania;Beaver County	county
Pennsylvania;Bedford County	county
Pennsylvania;Berks County	county
Pennsylvania;Blair County	county
Pennsylvania;Bradford County	county
Pennsylvania;Bucks County	county
Pennsylvania;Butler County	county
Pennsylvania;Cambria County	county
Pennsylvania;Cameron County	county
Pennsylvania;Carbon County	county
Pennsylvania;Centre County	county
Pennsylvania;Chester County	county
Pennsylvania;Clarion County	county
Pennsylvania;Clearfield County	county
Pennsylvania;Clinton County	county
Pennsylvania;Columbia County	county
Pennsylvania;Crawford County	county
Pennsylvania;Cumberland County	county
Pennsylvania;Dauphin County	county
Pennsylvania;Delaware County	county
Pennsylvania;Elk County	county
Pennsylvania;Erie County	county
Pennsylvania;Fayette County	county
Pennsylvania;Forest County	county
Pennsylvania;Franklin County	county
Pennsylvania;Fulton County	county
Pennsylvania;Greene County	county
Pennsylvania;Huntingdon County	county
Pennsylvania;Indiana County	county
Pennsylvania;Jefferson County	county
Pennsylvania;Juniata County	county
Pennsylvania;Lackawanna County	county
Pennsylvania;Lancaster County	county
Pennsylvania;Lawrence County	county
Pennsylvania;Lebanon County	county
Pennsylvania;Lehigh County	county
Pennsylvania;Luzerne County	county
Pennsylvania;Lycoming County	county
Pennsylvania;Mckean County	county
Pennsylvania;Mercer County	county
Pennsylvania;Mifflin County	county
Pennsylvania;Monroe County	county
Pennsylvania;Montgomery County	county
Pennsylvania;Montour County	county
Pennsylvania;Northampton County	county
Pennsylvania;Northumberland County	county
Pennsylvania;Perry County	county
Pennsylvania;Philadelphia County	county
Pennsylvania;Pike County	county
Pennsylvania;Potter County	county
Pennsylvania;Schuylkill County	county
Pennsylvania;Snyder County	county
Pennsylvania;Somerset County	county
Pennsylvania;Sullivan County	county
Pennsylvania;Susquehanna County	county
Pennsylvania;Tioga County	county
Pennsylvania;Union County	county
Pennsylvania;Venango County	county
Pennsylvania;Warren County	county
Pennsylvania;Washington County	county
Pennsylvania;Wayne County	county
Pennsylvania;Westmoreland County	county
Pennsylvania;Wyoming County	county
Pennsylvania;York County	county
US House PA District 1	congressional
US House PA District 10	congressional
US House PA District 11	congressional
US House PA District 12	congressional
US House PA District 13	congressional
US House PA District 14	congressional
US House PA District 15	congressional
US House PA District 16	congressional
US House PA District 17	congressional
US House PA District 18	congressional
US House PA District 2	congressional
US House PA District 3	congressional
US House PA District 4	congressional
US House PA District 5	congressional
US House PA District 6	congressional
US House PA District 7	congressional
US House PA District 8	congressional
US House PA District 9	congressional
PA House District 1	state-house
PA House District 10	state-house
PA House District 100	state-house
PA House District 101	state-house
PA House District 102	state-house
PA House District 103	state-house
PA House District 104	state-house
PA House District 105	state-house
PA House District 106	state-house
PA House District 107	state-house
PA House District 108	state-house
PA House District 109	state-house
PA House District 11	state-house
PA House District 110	state-house
PA House District 111	state-house
PA House District 112	state-house
PA House District 113	state-house
PA House District 114	state-house
PA House District 115	state-house
PA House District 116	state-house
PA House District 117	state-house
PA House District 118	state-house
PA House District 119	state-house
PA House District 12	state-house
PA House District 120	state-house
PA House District 121	state-house
PA House District 122	state-house
PA House District 123	state-house
PA House District 124	state-house
PA House District 125	state-house
PA House District 126	state-house
PA House District 127	state-house
PA House District 128	state-house
PA House District 129	state-house
PA House District 13	state-house
PA House District 130	state-house
PA House District 131	state-house
PA House District 132	state-house
PA House District 133	state-house
PA House District 134	state-house
PA House District 135	state-house
PA House District 136	state-house
PA House District 137	state-house
PA House District 138	state-house
PA House District 139	state-house
PA House District 14	state-house
PA House District 140	state-house
PA House District 141	state-house
PA House District 142	state-house
PA House District 143	state-house
PA House District 144	state-house
PA House District 145	state-house
PA House District 146	state-house
PA House District 147	state-house
PA House District 148	state-house
PA House District 149	state-house
PA House District 15	state-house
PA House District 150	state-house
PA House District 151	state-house
PA House District 152	state-house
PA House District 153	state-house
PA House District 154	state-house
PA House District 155	state-house
PA House District 156	state-house
PA House District 157	state-house
PA House District 158	state-house
PA House District 159	state-house
PA House District 16	state-house
PA House District 160	state-house
PA House District 161	state-house
PA House District 162	state-house
PA House District 163	state-house
PA House District 164	state-house
PA House District 165	state-house
PA House District 166	state-house
PA House District 167	state-house
PA House District 168	state-house
PA House District 169	state-house
PA House District 17	state-house
PA House District 170	state-house
PA House District 171	state-house
PA House District 172	state-house
PA House District 173	state-house
PA House District 174	state-house
PA House District 175	state-house
PA House District 176	state-house
PA House District 177	state-house
PA House District 178	state-house
PA House District 179	state-house
PA House District 18	state-house
PA House District 180	state-house
PA House District 181	state-house
PA House District 182	state-house
PA House District 183	state-house
PA House District 184	state-house
PA House District 185	state-house
PA House District 186	state-house
PA House District 187	state-house
PA House District 188	state-house
PA House District 189	state-house
PA House District 19	state-house
PA House District 190	state-house
PA House District 191	state-house
PA House District 192	state-house
PA House District 193	state-house
PA House District 194	state-house
PA House District 195	state-house
PA House District 196	state-house
PA House District 197	state-house
PA House District 198	state-house
PA House District 199	state-house
PA House District 2	state-house
PA House District 20	state-house
PA House District 200	state-house
PA House District 201	state-house
PA House District 202	state-house
PA House District 203	state-house
PA House District 21	state-house
PA House District 22	state-house
PA House District 23	state-house
PA House District 24	state-house
PA House District 25	state-house
PA House District 26	state-house
PA House District 27	state-house
PA House District 28	state-house
PA House District 29	state-house
PA House District 3	state-house
PA House District 30	state-house
PA House District 31	state-house
PA House District 32	state-house
PA House District 33	state-house
PA House District 34	state-house
PA House District 35	state-house
PA House District 36	state-house
PA House District 37	state-house
PA House District 38	state-house
PA House District 39	state-house
PA House District 4	state-house
PA House District 40	state-house
PA House District 41	state-house
PA House District 42	state-house
PA House District 43	state-house
PA House District 44	state-house
PA House District 45	state-house
PA House District 46	state-house
PA House District 47	state-house
PA House District 48	state-house
PA House District 49	state-house
PA House District 5	state-house
PA House District 50	state-house
PA House District 51	state-house
PA House District 52	state-house
PA House District 53	state-house
PA House District 54	state-house
PA House District 55	state-house
PA House District 56	state-house
PA House District 57	state-house
PA House District 58	state-house
PA House District 59	state-house
PA House District 6	state-house
PA House District 60	state-house
PA House District 61	state-house
PA House District 62	state-house
PA House District 63	state-house
PA House District 64	state-house
PA House District 65	state-house
PA House District 66	state-house
PA House District 67	state-house
PA House District 68	state-house
PA House District 69	state-house
PA House District 7	state-house
PA House District 70	state-house
PA House District 71	state-house
PA House District 72	state-house
PA House District 73	state-house
PA House District 74	state-house
PA House District 75	state-house
PA House District 76	state-house
PA House District 77	state-house
PA House District 78	state-house
PA House District 79	state-house
PA House District 8	state-house
PA House District 80	state-house
PA House District 81	state-house
PA House District 82	state-house
PA House District 83	state-house
PA House District 84	state-house
PA House District 85	state-house
PA House District 86	state-house
PA House District 87	state-house
PA House District 88	state-house
PA House District 89	state-house
PA House District 9	state-house
PA House District 90	state-house
PA House District 91	state-house
PA House District 92	state-house
PA House District 93	state-house
PA House District 94	state-house
PA House District 95	state-house
PA House District 96	state-house
PA House District 97	state-house
PA House District 98	state-house
PA House District 99	state-house
PA Senate District 1	state-senate
PA Senate District 10	state-senate
PA Senate District 11	state-senate
PA Senate District 12	state-senate
PA Senate District 13	state-senate
PA Senate District 14	state-senate
PA Senate District 15	state-senate
PA Senate District 16	state-senate
PA Senate District 17	state-senate
PA Senate District 18	state-senate
PA Senate District 19	state-senate
PA Senate District 2	state-senate
PA Senate District 20	state-senate
PA Senate District 21	state-senate
PA Senate District 22	state-senate
PA Senate District 23	state-senate
PA Senate District 24	state-senate
PA Senate District 25	state-senate
PA Senate District 3	state-senate
PA Senate District 4	state-senate
PA Senate District 5	state-senate
PA Senate District 6	state-senate
PA Senate District 7	state-senate
PA Senate District 8	state-senate
PA Senate District 9	state-senate
Pennsylvania	state
Pennsylvania;PA House District 1	state-house
Pennsylvania;PA House District 2	state-house
Pennsylvania;PA House District 3	state-house
Pennsylvania;PA House District 4	state-house
Pennsylvania;PA House District 5	state-house
Pennsylvania;PA House District 6	state-house
Pennsylvania;PA House District 7	state-house
Pennsylvania;PA House District 8	state-house
Pennsylvania;PA House District 9	state-house
Pennsylvania;PA House District 10	state-house
Pennsylvania;PA House District 11	state-house
Pennsylvania;PA House District 12	state-house
Pennsylvania;PA House District 13	state-house
Pennsylvania;PA House District 14	state-house
Pennsylvania;PA House District 15	state-house
Pennsylvania;PA House District 16	state-house
Pennsylvania;PA House District 17	state-house
Pennsylvania;PA House District 18	state-house
Pennsylvania;PA House District 19	state-house
Pennsylvania;PA House District 20	state-house
Pennsylvania;PA House District 21	state-house
Pennsylvania;PA House District 22	state-house
Pennsylvania;PA House District 23	state-house
Pennsylvania;PA House District 24	state-house
Pennsylvania;PA House District 25	state-house
Pennsylvania;PA House District 26	state-house
Pennsylvania;PA House District 27	state-house
Pennsylvania;PA House District 28	state-house
Pennsylvania;PA House District 29	state-house
Pennsylvania;PA House District 30	state-house
Pennsylvania;PA House District 31	state-house
Pennsylvania;PA House District 32	state-house
Pennsylvania;PA House District 33	state-house
Pennsylvania;PA House District 34	state-house
Pennsylvania;PA House District 35	state-house
Pennsylvania;PA House District 36	state-house
Pennsylvania;PA House District 37	state-house
Pennsylvania;PA House District 38	state-house
Pennsylvania;PA House District 39	state-house
Pennsylvania;PA House District 40	state-house
Pennsylvania;PA House District 41	state-house
Pennsylvania;PA House District 42	state-house
Pennsylvania;PA House District 43	state-house
Pennsylvania;PA House District 44	state-house
Pennsylvania;PA House District 45	state-house
Pennsylvania;PA House District 46	state-house
Pennsylvania;PA House District 47	state-house
Pennsylvania;PA House District 48	state-house
Pennsylvania;PA House District 49	state-house
Pennsylvania;PA House District 50	state-house
Pennsylvania;PA House District 51	state-house
Pennsylvania;PA House District 52	state-house
Pennsylvania;PA House District 53	state-house
Pennsylvania;PA House District 54	state-house
Pennsylvania;PA House District 55	state-house
