cdf_element	cdf_internal_name	raw_identifier_value
BallotMeasureContest	PROPOSED CONSTITUTIONAL AMENDMENT AMENDING THE MANDATORY JUDICIAL RETIREMENT AGE	PROPOSED CONSTITUTIONAL AMENDMENT AMENDING THE MANDATORY JUDICIAL RETIREMENT AGE
BallotMeasureSelection	No	No Votes
BallotMeasureSelection	Yes	Yes Votes
Candidate	Aaron Cohen	Cohen, Aaron
Candidate	Aaron D Kaufer	Kaufer, Aaron D
Candidate	Aaron D. Kaufer	Kaufer, Aaron D.
Candidate	Aaron Joseph Bernstine	Bernstine, Aaron Joseph
Candidate	Abigail J Carr	Carr, Abigail J
Candidate	Adam A Rodriguez	Rodriguez, Adam A
Candidate	Adam Anthony Rodriguez	Rodriguez, Adam Anthony
Candidate	Adam D Stokes	Stokes, Adam D
Candidate	Adam J Ravenstahl	Ravenstahl, Adam J
Candidate	Adam Ravenstahl	Ravenstahl, Adam
Candidate	Adam Reinhardt	Reinhardt, Adam
Candidate	Adam William Tennant	Tennant, Adam William
Candidate	Adolph L Reed Jr	Reed, Adolph L Jr
Candidate	Adrian Matthew Doyle	Doyle, Adrian Matthew
Candidate	Adrienne D Redd	Redd, Adrienne D
Candidate	Aerion Andrew Abney	Abney, Aerion Andrew
Candidate	Aidan Maxwell Levinson	Levinson, Aidan Maxwell
Candidate	Airneezer J Page	Page, Airneezer J
Candidate	Airneezer J Page-Delahaye	Page-Delahaye, Airneezer J
Candidate	Al Gore	AL GORE
Candidate	Alan D Benyak	Benyak, Alan D
Candidate	Alan Kenneth Hart	Hart, Alan Kenneth
Candidate	Alan Martin Hall	Hall, Alan Martin
Candidate	Albert J Sr Dermovsesian	Dermovsesian, Albert J Sr
Candidate	Alexander Anlin Wang	Wang, Alexander Anlin
Candidate	Alexander John Lotorto	Lotorto, Alexander John
Candidate	Alexander T Charlton	Charlton, Alexander T
Candidate	Alexander Tesla Charlton	Charlton, Alexander Tesla
Candidate	Alexander V. Humanick	Humanick, Alexander V.
Candidate	Alexandra Charon Deitrich	Deitrich, Alexandra Charon
Candidate	Alexandria G Khalil	Khalil, Alexandria G
Candidate	Alicia Nicole Salvadeo	Salvadeo, Alicia Nicole
Candidate	Allan Miles Arnott	Arnott, Allan Miles
Candidate	Allen Arthur Anderson	Anderson, Allen Arthur
Candidate	Allison Blew	Blew, Allison
Candidate	Allison Petryk	Petryk, Allison
Candidate	Alvaro Quinones	Quinones, Alvaro
Candidate	Alvin Q Sr Taylor	Taylor, Alvin Q Sr
Candidate	Amanda Green-Hawkins	Green-Hawkins, Amanda
Candidate	Amanda L Mcillmurray	Mcillmurray, Amanda L
Candidate	Amanda Lynn Nichols	Nichols, Amanda Lynn
Candidate	Amanda M Cappelletti	Cappelletti, Amanda M
Candidate	Amanda R Waldman	Waldman, Amanda R
Candidate	Amber Little Turner	Turner, Amber Little
Candidate	Amen Brown	Brown, Amen
Candidate	Amy Cozze	Cozze, Amy
Candidate	Amy Czulada	Czulada, Amy
Candidate	Amy Fazio	Fazio, Amy
Candidate	Amy Nicole Roat	Roat, Amy Nicole
Candidate	Andre Del Valle	Del Valle, Andre
Candidate	Andre R Horton	Horton, Andre R
Candidate	Andrew E Dinniman	Dinniman, Andrew E
Candidate	Andrew Franklin Dixon	Dixon, Andrew Franklin
Candidate	Andrew I Murray	Murray, Andrew I
Candidate	Andrew Iii Azan	Azan, Andrew Iii
Candidate	Andrew J Bosh	Bosh, Andrew J
Candidate	Andrew J Zahalsky	Zahalsky, Andrew J
Candidate	Andrew Lewis	Lewis, Andrew
Candidate	Andrew Martin Meehan	Meehan, Andrew Martin
Candidate	Andrew Michael Holter	Holter, Andrew Michael
Candidate	Andrew Scott Lee	Lee, Andrew Scott
Candidate	Andrew Shecktor	Shecktor, Andrew
Candidate	Angel Cruz	Cruz, Angel
Candidate	Angel L Cruz	Cruz, Angel L
Candidate	Angela M Valvano	Valvano, Angela M
Candidate	Angela Renee Prattis	Prattis, Angela Renee
Candidate	Anita A Kulik	Kulik, Anita A
Candidate	Anita Astorino Kulik	Astorino Kulik, Anita
Candidate	Anita Astorino Kulik	Kulik, Anita Astorino
Candidate	Anita Prizio	Prizio, Anita
Candidate	Ann E. Coleman	Coleman, Ann E.
Candidate	Ann L Flood	Flood, Ann L
Candidate	Ann Marie Mitchell	Mitchell, Ann Marie
Candidate	Ann Marshall Pilgreen	Pilgreen, Ann Marshall
Candidate	Anna Marie Scannapieco	Scannapieco, Anna Marie
Candidate	Annette C Baker	Baker, Annette C
Candidate	Annmarie M Tyler	Tyler, Annmarie M
Candidate	Anthony A. Maalouf	Maalouf, Anthony A.
Candidate	Anthony Andrew Bellmon	Bellmon, Anthony Andrew
Candidate	Anthony Deluca	Deluca, Anthony
Candidate	Anthony H Williams	Williams, Anthony H
Candidate	Anthony J Deloreto	Deloreto, Anthony J
