Name	ReportingUnitType
Pennsylvania;Philadelphia;Ward 1;Division 1	precinct
Pennsylvania;Philadelphia;Ward 1;Division 10	precinct
Pennsylvania;Philadelphia;Ward 1;Division 11	precinct
Pennsylvania;Philadelphia;Ward 1;Division 12	precinct
Pennsylvania;Philadelphia;Ward 1;Division 13	precinct
Pennsylvania;Philadelphia;Ward 1;Division 14	precinct
Pennsylvania;Philadelphia;Ward 1;Division 15	precinct
Pennsylvania;Philadelphia;Ward 1;Division 16	precinct
Pennsylvania;Philadelphia;Ward 1;Division 17	precinct
Pennsylvania;Philadelphia;Ward 1;Division 18	precinct
Pennsylvania;Philadelphia;Ward 1;Division 19	precinct
Pennsylvania;Philadelphia;Ward 1;Division 2	precinct
Pennsylvania;Philadelphia;Ward 1;Division 20	precinct
Pennsylvania;Philadelphia;Ward 1;Division 21	precinct
Pennsylvania;Philadelphia;Ward 1;Division 3	precinct
Pennsylvania;Philadelphia;Ward 1;Division 4	precinct
Pennsylvania;Philadelphia;Ward 1;Division 5	precinct
Pennsylvania;Philadelphia;Ward 1;Division 6	precinct
Pennsylvania;Philadelphia;Ward 1;Division 7	precinct
Pennsylvania;Philadelphia;Ward 1;Division 8	precinct
Pennsylvania;Philadelphia;Ward 1;Division 9	precinct
Pennsylvania;Philadelphia;Ward 10;Division 1	precinct
Pennsylvania;Philadelphia;Ward 10;Division 10	precinct
Pennsylvania;Philadelphia;Ward 10;Division 11	precinct
Pennsylvania;Philadelphia;Ward 10;Division 12	precinct
Pennsylvania;Philadelphia;Ward 10;Division 13	precinct
Pennsylvania;Philadelphia;Ward 10;Division 14	precinct
Pennsylvania;Philadelphia;Ward 10;Division 15	precinct
Pennsylvania;Philadelphia;Ward 10;Division 16	precinct
Pennsylvania;Philadelphia;Ward 10;Division 17	precinct
Pennsylvania;Philadelphia;Ward 10;Division 18	precinct
Pennsylvania;Philadelphia;Ward 10;Division 19	precinct
Pennsylvania;Philadelphia;Ward 10;Division 2	precinct
Pennsylvania;Philadelphia;Ward 10;Division 20	precinct
Pennsylvania;Philadelphia;Ward 10;Division 21	precinct
Pennsylvania;Philadelphia;Ward 10;Division 22	precinct
Pennsylvania;Philadelphia;Ward 10;Division 23	precinct
Pennsylvania;Philadelphia;Ward 10;Division 24	precinct
Pennsylvania;Philadelphia;Ward 10;Division 25	precinct
Pennsylvania;Philadelphia;Ward 10;Division 26	precinct
Pennsylvania;Philadelphia;Ward 10;Division 27	precinct
Pennsylvania;Philadelphia;Ward 10;Division 28	precinct
Pennsylvania;Philadelphia;Ward 10;Division 29	precinct
Pennsylvania;Philadelphia;Ward 10;Division 3	precinct
Pennsylvania;Philadelphia;Ward 10;Division 4	precinct
Pennsylvania;Philadelphia;Ward 10;Division 5	precinct
Pennsylvania;Philadelphia;Ward 10;Division 6	precinct
Pennsylvania;Philadelphia;Ward 10;Division 7	precinct
Pennsylvania;Philadelphia;Ward 10;Division 8	precinct
Pennsylvania;Philadelphia;Ward 10;Division 9	precinct
Pennsylvania;Philadelphia;Ward 11;Division 1	precinct
Pennsylvania;Philadelphia;Ward 11;Division 10	precinct
Pennsylvania;Philadelphia;Ward 11;Division 11	precinct
Pennsylvania;Philadelphia;Ward 11;Division 12	precinct
Pennsylvania;Philadelphia;Ward 11;Division 13	precinct
Pennsylvania;Philadelphia;Ward 11;Division 14	precinct
Pennsylvania;Philadelphia;Ward 11;Division 15	precinct
Pennsylvania;Philadelphia;Ward 11;Division 16	precinct
Pennsylvania;Philadelphia;Ward 11;Division 17	precinct
Pennsylvania;Philadelphia;Ward 11;Division 18	precinct
Pennsylvania;Philadelphia;Ward 11;Division 19	precinct
Pennsylvania;Philadelphia;Ward 11;Division 2	precinct
Pennsylvania;Philadelphia;Ward 11;Division 20	precinct
Pennsylvania;Philadelphia;Ward 11;Division 3	precinct
Pennsylvania;Philadelphia;Ward 11;Division 4	precinct
Pennsylvania;Philadelphia;Ward 11;Division 5	precinct
Pennsylvania;Philadelphia;Ward 11;Division 6	precinct
Pennsylvania;Philadelphia;Ward 11;Division 7	precinct
Pennsylvania;Philadelphia;Ward 11;Division 8	precinct
Pennsylvania;Philadelphia;Ward 11;Division 9	precinct
Pennsylvania;Philadelphia;Ward 12;Division 1	precinct
Pennsylvania;Philadelphia;Ward 12;Division 10	precinct
Pennsylvania;Philadelphia;Ward 12;Division 11	precinct
Pennsylvania;Philadelphia;Ward 12;Division 12	precinct
Pennsylvania;Philadelphia;Ward 12;Division 13	precinct
Pennsylvania;Philadelphia;Ward 12;Division 14	precinct
Pennsylvania;Philadelphia;Ward 12;Division 15	precinct
Pennsylvania;Philadelphia;Ward 12;Division 16	precinct
Pennsylvania;Philadelphia;Ward 12;Division 17	precinct
Pennsylvania;Philadelphia;Ward 12;Division 18	precinct
Pennsylvania;Philadelphia;Ward 12;Division 19	precinct
Pennsylvania;Philadelphia;Ward 12;Division 2	precinct
Pennsylvania;Philadelphia;Ward 12;Division 20	precinct
Pennsylvania;Philadelphia;Ward 12;Division 21	precinct
Pennsylvania;Philadelphia;Ward 12;Division 22	precinct
Pennsylvania;Philadelphia;Ward 12;Division 23	precinct
Pennsylvania;Philadelphia;Ward 12;Division 24	precinct
Pennsylvania;Philadelphia;Ward 12;Division 3	precinct
Pennsylvania;Philadelphia;Ward 12;Division 4	precinct
Pennsylvania;Philadelphia;Ward 12;Division 5	precinct
Pennsylvania;Philadelphia;Ward 12;Division 6	precinct
Pennsylvania;Philadelphia;Ward 12;Division 7	precinct
Pennsylvania;Philadelphia;Ward 12;Division 8	precinct
Pennsylvania;Philadelphia;Ward 12;Division 9	precinct
Pennsylvania;Philadelphia;Ward 13;Division 1	precinct
Pennsylvania;Philadelphia;Ward 13;Division 10	precinct
Pennsylvania;Philadelphia;Ward 13;Division 11	precinct
Pennsylvania;Philadelphia;Ward 13;Division 12	precinct
Pennsylvania;Philadelphia;Ward 13;Division 13	precinct
Pennsylvania;Philadelphia;Ward 13;Division 14	precinct
Pennsylvania;Philadelphia;Ward 13;Division 15	precinct
Pennsylvania;Philadelphia;Ward 13;Division 16	precinct
Pennsylvania;Philadelphia;Ward 13;Division 17	precinct
Pennsylvania;Philadelphia;Ward 13;Division 18	precinct
Pennsylvania;Philadelphia;Ward 13;Division 19	precinct
Pennsylvania;Philadelphia;Ward 13;Division 2	precinct
Pennsylvania;Philadelphia;Ward 13;Division 20	precinct
Pennsylvania;Philadelphia;Ward 13;Division 21	precinct
Pennsylvania;Philadelphia;Ward 13;Division 22	precinct
Pennsylvania;Philadelphia;Ward 13;Division 23	precinct
Pennsylvania;Philadelphia;Ward 13;Division 24	precinct
Pennsylvania;Philadelphia;Ward 13;Division 25	precinct
Pennsylvania;Philadelphia;Ward 13;Division 3	precinct
Pennsylvania;Philadelphia;Ward 13;Division 4	precinct
Pennsylvania;Philadelphia;Ward 13;Division 5	precinct
Pennsylvania;Philadelphia;Ward 13;Division 6	precinct
Pennsylvania;Philadelphia;Ward 13;Division 7	precinct
Pennsylvania;Philadelphia;Ward 13;Division 8	precinct
Pennsylvania;Philadelphia;Ward 13;Division 9	precinct
Pennsylvania;Philadelphia;Ward 14;Division 1	precinct
Pennsylvania;Philadelphia;Ward 14;Division 10	precinct
Pennsylvania;Philadelphia;Ward 14;Division 11	precinct
Pennsylvania;Philadelphia;Ward 14;Division 2	precinct
Pennsylvania;Philadelphia;Ward 14;Division 3	precinct
Pennsylvania;Philadelphia;Ward 14;Division 4	precinct
Pennsylvania;Philadelphia;Ward 14;Division 5	precinct
Pennsylvania;Philadelphia;Ward 14;Division 6	precinct
Pennsylvania;Philadelphia;Ward 14;Division 7	precinct
Pennsylvania;Philadelphia;Ward 14;Division 8	precinct
Pennsylvania;Philadelphia;Ward 14;Division 9	precinct
Pennsylvania;Philadelphia;Ward 15;Division 1	precinct
Pennsylvania;Philadelphia;Ward 15;Division 10	precinct
Pennsylvania;Philadelphia;Ward 15;Division 11	precinct
Pennsylvania;Philadelphia;Ward 15;Division 12	precinct
Pennsylvania;Philadelphia;Ward 15;Division 13	precinct
Pennsylvania;Philadelphia;Ward 15;Division 14	precinct
Pennsylvania;Philadelphia;Ward 15;Division 15	precinct
Pennsylvania;Philadelphia;Ward 15;Division 16	precinct
Pennsylvania;Philadelphia;Ward 15;Division 17	precinct
Pennsylvania;Philadelphia;Ward 15;Division 18	precinct
Pennsylvania;Philadelphia;Ward 15;Division 19	precinct
Pennsylvania;Philadelphia;Ward 15;Division 2	precinct
Pennsylvania;Philadelphia;Ward 15;Division 3	precinct
Pennsylvania;Philadelphia;Ward 15;Division 4	precinct
Pennsylvania;Philadelphia;Ward 15;Division 5	precinct
Pennsylvania;Philadelphia;Ward 15;Division 6	precinct
Pennsylvania;Philadelphia;Ward 15;Division 7	precinct
Pennsylvania;Philadelphia;Ward 15;Division 8	precinct
Pennsylvania;Philadelphia;Ward 15;Division 9	precinct
Pennsylvania;Philadelphia;Ward 16;Division 1	precinct
Pennsylvania;Philadelphia;Ward 16;Division 10	precinct
Pennsylvania;Philadelphia;Ward 16;Division 11	precinct
Pennsylvania;Philadelphia;Ward 16;Division 12	precinct
Pennsylvania;Philadelphia;Ward 16;Division 13	precinct
Pennsylvania;Philadelphia;Ward 16;Division 14	precinct
Pennsylvania;Philadelphia;Ward 16;Division 15	precinct
Pennsylvania;Philadelphia;Ward 16;Division 16	precinct
Pennsylvania;Philadelphia;Ward 16;Division 17	precinct
Pennsylvania;Philadelphia;Ward 16;Division 18	precinct
Pennsylvania;Philadelphia;Ward 16;Division 2	precinct
Pennsylvania;Philadelphia;Ward 16;Division 3	precinct
Pennsylvania;Philadelphia;Ward 16;Division 4	precinct
Pennsylvania;Philadelphia;Ward 16;Division 5	precinct
Pennsylvania;Philadelphia;Ward 16;Division 6	precinct
Pennsylvania;Philadelphia;Ward 16;Division 7	precinct
Pennsylvania;Philadelphia;Ward 16;Division 8	precinct
Pennsylvania;Philadelphia;Ward 16;Division 9	precinct
Pennsylvania;Philadelphia;Ward 17;Division 1	precinct
Pennsylvania;Philadelphia;Ward 17;Division 10	precinct
Pennsylvania;Philadelphia;Ward 17;Division 11	precinct
Pennsylvania;Philadelphia;Ward 17;Division 12	precinct
Pennsylvania;Philadelphia;Ward 17;Division 13	precinct
Pennsylvania;Philadelphia;Ward 17;Division 14	precinct
Pennsylvania;Philadelphia;Ward 17;Division 15	precinct
Pennsylvania;Philadelphia;Ward 17;Division 16	precinct
Pennsylvania;Philadelphia;Ward 17;Division 17	precinct
Pennsylvania;Philadelphia;Ward 17;Division 18	precinct
Pennsylvania;Philadelphia;Ward 17;Division 19	precinct
Pennsylvania;Philadelphia;Ward 17;Division 2	precinct
Pennsylvania;Philadelphia;Ward 17;Division 20	precinct
Pennsylvania;Philadelphia;Ward 17;Division 21	precinct
Pennsylvania;Philadelphia;Ward 17;Division 22	precinct
Pennsylvania;Philadelphia;Ward 17;Division 23	precinct
Pennsylvania;Philadelphia;Ward 17;Division 24	precinct
Pennsylvania;Philadelphia;Ward 17;Division 25	precinct
Pennsylvania;Philadelphia;Ward 17;Division 26	precinct
Pennsylvania;Philadelphia;Ward 17;Division 27	precinct
Pennsylvania;Philadelphia;Ward 17;Division 28	precinct
Pennsylvania;Philadelphia;Ward 17;Division 29	precinct
Pennsylvania;Philadelphia;Ward 17;Division 3	precinct
Pennsylvania;Philadelphia;Ward 17;Division 4	precinct
Pennsylvania;Philadelphia;Ward 17;Division 5	precinct
Pennsylvania;Philadelphia;Ward 17;Division 6	precinct
Pennsylvania;Philadelphia;Ward 17;Division 7	precinct
Pennsylvania;Philadelphia;Ward 17;Division 8	precinct
Pennsylvania;Philadelphia;Ward 17;Division 9	precinct
Pennsylvania;Philadelphia;Ward 18;Division 1	precinct
Pennsylvania;Philadelphia;Ward 18;Division 10	precinct
Pennsylvania;Philadelphia;Ward 18;Division 11	precinct
Pennsylvania;Philadelphia;Ward 18;Division 12	precinct
Pennsylvania;Philadelphia;Ward 18;Division 13	precinct
Pennsylvania;Philadelphia;Ward 18;Division 14	precinct
Pennsylvania;Philadelphia;Ward 18;Division 15	precinct
Pennsylvania;Philadelphia;Ward 18;Division 16	precinct
Pennsylvania;Philadelphia;Ward 18;Division 17	precinct
Pennsylvania;Philadelphia;Ward 18;Division 18	precinct
Pennsylvania;Philadelphia;Ward 18;Division 2	precinct
Pennsylvania;Philadelphia;Ward 18;Division 3	precinct
Pennsylvania;Philadelphia;Ward 18;Division 4	precinct
Pennsylvania;Philadelphia;Ward 18;Division 5	precinct
Pennsylvania;Philadelphia;Ward 18;Division 6	precinct
Pennsylvania;Philadelphia;Ward 18;Division 7	precinct
Pennsylvania;Philadelphia;Ward 18;Division 8	precinct
Pennsylvania;Philadelphia;Ward 18;Division 9	precinct
Pennsylvania;Philadelphia;Ward 19;Division 1	precinct
Pennsylvania;Philadelphia;Ward 19;Division 10	precinct
Pennsylvania;Philadelphia;Ward 19;Division 11	precinct
Pennsylvania;Philadelphia;Ward 19;Division 12	precinct
Pennsylvania;Philadelphia;Ward 19;Division 13	precinct
Pennsylvania;Philadelphia;Ward 19;Division 14	precinct
Pennsylvania;Philadelphia;Ward 19;Division 15	precinct
Pennsylvania;Philadelphia;Ward 19;Division 16	precinct
Pennsylvania;Philadelphia;Ward 19;Division 17	precinct
Pennsylvania;Philadelphia;Ward 19;Division 18	precinct
Pennsylvania;Philadelphia;Ward 19;Division 19	precinct
Pennsylvania;Philadelphia;Ward 19;Division 2	precinct
Pennsylvania;Philadelphia;Ward 19;Division 3	precinct
Pennsylvania;Philadelphia;Ward 19;Division 4	precinct
Pennsylvania;Philadelphia;Ward 19;Division 5	precinct
Pennsylvania;Philadelphia;Ward 19;Division 6	precinct
Pennsylvania;Philadelphia;Ward 19;Division 7	precinct
Pennsylvania;Philadelphia;Ward 19;Division 8	precinct
Pennsylvania;Philadelphia;Ward 19;Division 9	precinct
Pennsylvania;Philadelphia;Ward 2;Division 1	precinct
Pennsylvania;Philadelphia;Ward 2;Division 10	precinct
Pennsylvania;Philadelphia;Ward 2;Division 11	precinct
Pennsylvania;Philadelphia;Ward 2;Division 12	precinct
Pennsylvania;Philadelphia;Ward 2;Division 13	precinct
Pennsylvania;Philadelphia;Ward 2;Division 14	precinct
Pennsylvania;Philadelphia;Ward 2;Division 15	precinct
Pennsylvania;Philadelphia;Ward 2;Division 16	precinct
Pennsylvania;Philadelphia;Ward 2;Division 17	precinct
Pennsylvania;Philadelphia;Ward 2;Division 18	precinct
Pennsylvania;Philadelphia;Ward 2;Division 19	precinct
Pennsylvania;Philadelphia;Ward 2;Division 2	precinct
Pennsylvania;Philadelphia;Ward 2;Division 20	precinct
Pennsylvania;Philadelphia;Ward 2;Division 21	precinct
Pennsylvania;Philadelphia;Ward 2;Division 22	precinct
Pennsylvania;Philadelphia;Ward 2;Division 23	precinct
Pennsylvania;Philadelphia;Ward 2;Division 24	precinct
Pennsylvania;Philadelphia;Ward 2;Division 25	precinct
Pennsylvania;Philadelphia;Ward 2;Division 26	precinct
Pennsylvania;Philadelphia;Ward 2;Division 27	precinct
Pennsylvania;Philadelphia;Ward 2;Division 3	precinct
