cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest	US President (PA) (Phila) (Democratic Party)	PRESIDENT OF THE UNITED STATES-DEM
CandidateContest	US Senate PA (Phila) (Democratic Party)	UNITED STATES SENATOR-DEM
CandidateContest	PA Attorney General (Phila) (Democratic Party)	ATTORNEY GENERAL-DEM
CandidateContest	PA Auditor General (Phila) (Democratic Party)	AUDITOR GENERAL-DEM
CandidateContest	PA Treasurer (Phila) (Democratic Party)	STATE TREASURER-DEM
CandidateContest	PA Senate District 1 (Phila) (Democratic Party)	SENATOR IN THE GENERAL ASSEMBLY-1ST-DEM
CandidateContest	PA Senate District 2 (Phila) (Democratic Party)	SENATOR IN THE GENERAL ASSEMBLY-2ND-DEM
CandidateContest	PA Senate District 3 (Phila) (Democratic Party)	SENATOR IN THE GENERAL ASSEMBLY-3RD-DEM
CandidateContest	PA Senate District 4 (Phila) (Democratic Party)	SENATOR IN THE GENERAL ASSEMBLY-4TH-DEM
CandidateContest	PA Senate District 5 (Phila) (Democratic Party)	SENATOR IN THE GENERAL ASSEMBLY-5TH-DEM
CandidateContest	PA Senate District 6 (Phila) (Democratic Party)	SENATOR IN THE GENERAL ASSEMBLY-6TH-DEM
CandidateContest	PA Senate District 7 (Phila) (Democratic Party)	SENATOR IN THE GENERAL ASSEMBLY-7TH-DEM
CandidateContest	PA Senate District 8 (Phila) (Democratic Party)	SENATOR IN THE GENERAL ASSEMBLY-8TH-DEM
CandidateContest	PA House District 152 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-152ND-DEM
CandidateContest	PA House District 170 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-170TH-DEM
CandidateContest	PA House District 172 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-172ND-DEM
CandidateContest	PA House District 173 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-173RD-DEM
CandidateContest	PA House District 174 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-174TH-DEM
CandidateContest	PA House District 175 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-175TH-DEM
CandidateContest	PA House District 177 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-177TH-DEM
CandidateContest	PA House District 179 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-179TH-DEM
CandidateContest	PA House District 180 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-180TH-DEM
CandidateContest	PA House District 181 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-181ST-DEM
CandidateContest	PA House District 182 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-182ND-DEM
CandidateContest	PA House District 184 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-184TH-DEM
CandidateContest	PA House District 185 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-185TH-DEM
CandidateContest	PA House District 186 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-186TH-DEM
CandidateContest	PA House District 188 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-188TH-DEM
CandidateContest	PA House District 190 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-190TH-DEM
CandidateContest	PA House District 191 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-191ST-DEM
CandidateContest	PA House District 192 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-192ND-DEM
CandidateContest	PA House District 194 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-194TH-DEM
CandidateContest	PA House District 195 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-195TH-DEM
CandidateContest	PA House District 197 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-197TH-DEM
CandidateContest	PA House District 198 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-198TH-DEM
CandidateContest	PA House District 200 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-200TH-DEM
CandidateContest	PA House District 201 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-201ST-DEM
CandidateContest	PA House District 202 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-202ND-DEM
CandidateContest	PA House District 203 (Phila) (Democratic Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-203RD-DEM
CandidateContest	US House PA District 1 (Phila) (Democratic Party)	REPRESENTATIVE IN CONGRESS-1ST-DEM
CandidateContest	US House PA District 2 (Phila) (Democratic Party)	REPRESENTATIVE IN CONGRESS-2ND-DEM
CandidateContest	US House PA District 3 (Phila) (Democratic Party)	REPRESENTATIVE IN CONGRESS-3RD-DEM
CandidateContest	US House PA District 5 (Phila) (Democratic Party)	REPRESENTATIVE IN CONGRESS-5TH-DEM
CandidateContest	US House PA District 13 (Phila) (Democratic Party)	REPRESENTATIVE IN CONGRESS-13TH-DEM
CandidateContest	US President (PA) (Phila) (Republican Party)	PRESIDENT OF THE UNITED STATES-REP
CandidateContest	US Senate PA (Phila) (Republican Party)	UNITED STATES SENATOR-REP
CandidateContest	PA Attorney General (Phila) (Republican Party)	ATTORNEY GENERAL-REP
CandidateContest	PA Auditor General (Phila) (Republican Party)	AUDITOR GENERAL-REP
CandidateContest	PA Treasurer (Phila) (Republican Party)	STATE TREASURER-REP
CandidateContest	PA Senate District 1 (Phila) (Republican Party)	SENATOR IN THE GENERAL ASSEMBLY-1ST-REP
CandidateContest	PA Senate District 2 (Phila) (Republican Party)	SENATOR IN THE GENERAL ASSEMBLY-2ND-REP
CandidateContest	PA Senate District 3 (Phila) (Republican Party)	SENATOR IN THE GENERAL ASSEMBLY-3RD-REP
CandidateContest	PA Senate District 4 (Phila) (Republican Party)	SENATOR IN THE GENERAL ASSEMBLY-4TH-REP
CandidateContest	PA Senate District 5 (Phila) (Republican Party)	SENATOR IN THE GENERAL ASSEMBLY-5TH-REP
CandidateContest	PA Senate District 6 (Phila) (Republican Party)	SENATOR IN THE GENERAL ASSEMBLY-6TH-REP
CandidateContest	PA Senate District 7 (Phila) (Republican Party)	SENATOR IN THE GENERAL ASSEMBLY-7TH-REP
CandidateContest	PA Senate District 8 (Phila) (Republican Party)	SENATOR IN THE GENERAL ASSEMBLY-8TH-REP
CandidateContest	PA House District 152 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-152ND-REP
CandidateContest	PA House District 170 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-170TH-REP
CandidateContest	PA House District 172 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-172ND-REP
CandidateContest	PA House District 173 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-173RD-REP
CandidateContest	PA House District 174 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-174TH-REP
CandidateContest	PA House District 175 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-175TH-REP
CandidateContest	PA House District 177 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-177TH-REP
CandidateContest	PA House District 179 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-179TH-REP
CandidateContest	PA House District 180 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-180TH-REP
CandidateContest	PA House District 181 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-181ST-REP
CandidateContest	PA House District 182 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-182ND-REP
CandidateContest	PA House District 184 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-184TH-REP
CandidateContest	PA House District 185 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-185TH-REP
CandidateContest	PA House District 186 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-186TH-REP
CandidateContest	PA House District 188 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-188TH-REP
CandidateContest	PA House District 190 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-190TH-REP
CandidateContest	PA House District 191 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-191ST-REP
CandidateContest	PA House District 192 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-192ND-REP
CandidateContest	PA House District 194 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-194TH-REP
CandidateContest	PA House District 195 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-195TH-REP
CandidateContest	PA House District 197 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-197TH-REP
CandidateContest	PA House District 198 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-198TH-REP
CandidateContest	PA House District 200 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-200TH-REP
CandidateContest	PA House District 201 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-201ST-REP
CandidateContest	PA House District 202 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-202ND-REP
CandidateContest	PA House District 203 (Phila) (Republican Party)	REPRESENTATIVE IN THE GENERAL ASSEMBLY-203RD-REP
