Name	ReportingUnitType
Puerto Rico;US House PR District 1	congressional
Puerto Rico;Adjuntas Municipality	municipality
Puerto Rico;Aguada Municipality	municipality
Puerto Rico;Aguadilla Municipality	municipality
Puerto Rico;Aguas Buenas Municipality	municipality
Puerto Rico;Aibonito Municipality	municipality
Puerto Rico;Arecibo Municipality	municipality
Puerto Rico;Arroyo Municipality	municipality
Puerto Rico;Añasco Municipality	municipality
Puerto Rico;Barceloneta Municipality	municipality
Puerto Rico;Barranquitas Municipality	municipality
Puerto Rico;Bayamón Municipality	municipality
Puerto Rico;Cabo Rojo Municipality	municipality
Puerto Rico;Caguas Municipality	municipality
Puerto Rico;Camuy Municipality	municipality
Puerto Rico;Canóvanas Municipality	municipality
Puerto Rico;Carolina Municipality	municipality
Puerto Rico;Cataño Municipality	municipality
Puerto Rico;Cayey Municipality	municipality
Puerto Rico;Ceiba Municipality	municipality
Puerto Rico;Ciales Municipality	municipality
Puerto Rico;Cidra Municipality	municipality
Puerto Rico;Coamo Municipality	municipality
Puerto Rico;Comerío Municipality	municipality
Puerto Rico;Corozal Municipality	municipality
Puerto Rico;Culebra Municipality	municipality
Puerto Rico;Dorado Municipality	municipality
Puerto Rico;Fajardo Municipality	municipality
Puerto Rico;Florida Municipality	municipality
Puerto Rico;Guayama Municipality	municipality
Puerto Rico;Guayanilla Municipality	municipality
Puerto Rico;Guaynabo Municipality	municipality
Puerto Rico;Gurabo Municipality	municipality
Puerto Rico;Guánica Municipality	municipality
Puerto Rico;Hatillo Municipality	municipality
Puerto Rico;Hormigueros Municipality	municipality
Puerto Rico;Humacao Municipality	municipality
Puerto Rico;Isabela Municipality	municipality
Puerto Rico;Jayuya Municipality	municipality
Puerto Rico;Juana Díaz Municipality	municipality
Puerto Rico;Juncos Municipality	municipality
Puerto Rico;Lajas Municipality	municipality
Puerto Rico;Lares Municipality	municipality
Puerto Rico;Las Marías Municipality	municipality
Puerto Rico;Las Piedras Municipality	municipality
Puerto Rico;Loíza Municipality	municipality
Puerto Rico;Luquillo Municipality	municipality
Puerto Rico;Manatí Municipality	municipality
Puerto Rico;Maricao Municipality	municipality
Puerto Rico;Maunabo Municipality	municipality
Puerto Rico;Mayagüez Municipality	municipality
Puerto Rico;Moca Municipality	municipality
Puerto Rico;Morovis Municipality	municipality
Puerto Rico;Naguabo Municipality	municipality
Puerto Rico;Naranjito Municipality	municipality
Puerto Rico;Orocovis Municipality	municipality
Puerto Rico;Patillas Municipality	municipality
Puerto Rico;Peñuelas Municipality	municipality
Puerto Rico;Ponce Municipality	municipality
Puerto Rico;Quebradillas Municipality	municipality
Puerto Rico;Rincón Municipality	municipality
Puerto Rico;Río Grande Municipality	municipality
Puerto Rico;Sabana Grande Municipality	municipality
Puerto Rico;Salinas Municipality	municipality
Puerto Rico;San Germán Municipality	municipality
Puerto Rico;San Juan Municipality	municipality
Puerto Rico;San Lorenzo Municipality	municipality
Puerto Rico;San Sebastián Municipality	municipality
Puerto Rico;Santa Isabel Municipality	municipality
Puerto Rico;Toa Alta Municipality	municipality
Puerto Rico;Toa Baja Municipality	municipality
Puerto Rico;Trujillo Alto Municipality	municipality
Puerto Rico;Utuado Municipality	municipality
Puerto Rico;Vega Alta Municipality	municipality
Puerto Rico;Vega Baja Municipality	municipality
Puerto Rico;Vieques Municipality	municipality
Puerto Rico;Villalba Municipality	municipality
Puerto Rico;Yabucoa Municipality	municipality
Puerto Rico;Yauco Municipality	municipality
Puerto Rico;Adjuntas Municipio	municipio
Puerto Rico;Aguada Municipio	municipio
Puerto Rico;Aguadilla Municipio	municipio
Puerto Rico;Aguas Buenas Municipio	municipio
Puerto Rico;Aibonito Municipio	municipio
Puerto Rico;Arecibo Municipio	municipio
Puerto Rico;Arroyo Municipio	municipio
Puerto Rico;Añasco Municipio	municipio
Puerto Rico;Barceloneta Municipio	municipio
Puerto Rico;Barranquitas Municipio	municipio
Puerto Rico;Bayamón Municipio	municipio
Puerto Rico;Cabo Rojo Municipio	municipio
Puerto Rico;Caguas Municipio	municipio
Puerto Rico;Camuy Municipio	municipio
Puerto Rico;Canóvanas Municipio	municipio
Puerto Rico;Carolina Municipio	municipio
Puerto Rico;Cataño Municipio	municipio
Puerto Rico;Cayey Municipio	municipio
Puerto Rico;Ceiba Municipio	municipio
Puerto Rico;Ciales Municipio	municipio
Puerto Rico;Cidra Municipio	municipio
Puerto Rico;Coamo Municipio	municipio
Puerto Rico;Comerío Municipio	municipio
Puerto Rico;Corozal Municipio	municipio
Puerto Rico;Culebra Municipio	municipio
Puerto Rico;Dorado Municipio	municipio
Puerto Rico;Fajardo Municipio	municipio
Puerto Rico;Florida Municipio	municipio
Puerto Rico;Guayama Municipio	municipio
Puerto Rico;Guayanilla Municipio	municipio
Puerto Rico;Guaynabo Municipio	municipio
Puerto Rico;Gurabo Municipio	municipio
Puerto Rico;Guánica Municipio	municipio
Puerto Rico;Hatillo Municipio	municipio
Puerto Rico;Hormigueros Municipio	municipio
Puerto Rico;Humacao Municipio	municipio
Puerto Rico;Isabela Municipio	municipio
Puerto Rico;Jayuya Municipio	municipio
Puerto Rico;Juana Díaz Municipio	municipio
Puerto Rico;Juncos Municipio	municipio
Puerto Rico;Lajas Municipio	municipio
Puerto Rico;Lares Municipio	municipio
Puerto Rico;Las Marías Municipio	municipio
