cdf_element	cdf_internal_name	raw_identifier_value
Candidate	'Wandy' Wanda Soto	'Wandy' Wanda Soto
Candidate	Abid Quiñones	Abid Quiñones
Candidate	Ada García Montes	Ada García Montes
Candidate	Ada Norah Henriquez	Ada Norah Henriquez
Candidate	Adriana Gutiérrez Colón	Adriana Gutiérrez Colón
Candidate	Albert Torres Berrios	Albert Torres Berrios
Candidate	Alberto A. Derkes De León	Alberto A. Derkes De León
Candidate	Alejandro Martínez Burgos	Alejandro Martínez Burgos
Candidate	Alex Rodríguez Rodríguez	Alex Rodríguez Rodríguez
Candidate	Alexandra Lúgaro	Alexandra Lúgaro
Candidate	Alfonso Questell Ortiz	Alfonso Questell Ortiz
Candidate	Alice G Pérez Fernández	Alice G Pérez Fernández
Candidate	Andrés Acosta Mercado	Andrés Acosta Mercado
Candidate	Andrés González Berdecía	Andrés González Berdecía
Candidate	Annette Y Jiménez Collet	Annette Y Jiménez Collet
Candidate	Antonio (Tony) Soto	Antonio (Tony) Soto
Candidate	Antonio Vargas Morales	Antonio Vargas Morales
Candidate	Aníbal Acevedo Vilá	Aníbal Acevedo Vilá
Candidate	Aníbal Díaz Collazo	Aníbal Díaz Collazo
Candidate	Armando Legarreta Raíces	Armando Legarreta Raíces
Candidate	Arnaldo L López Rosado	Arnaldo L López Rosado
Candidate	Axel 'Chino' Roque	Axel 'Chino' Roque
Candidate	Brian Casais García	Brian Casais García
Candidate	Calixto Negrón Aponte	Calixto Negrón Aponte
Candidate	Carlos 'Charlie' Delgado Altieri	Carlos 'Charlie' Delgado Altieri
Candidate	Carlos (Johnny) Méndez	Carlos (Johnny) Méndez
Candidate	Carlos A. Reyes Alonso	Carlos A. Reyes Alonso
Candidate	Carlos M. Rosado Dávila	Carlos M. Rosado Dávila
Candidate	Carlos Roberto Hyland	Carlos Roberto Hyland
Candidate	Carlos Ávila Pacheco	Carlos Ávila Pacheco
Candidate	Carmelo Ríos	Carmelo Ríos
Candidate	Carmen H. Santiago Negrón	Carmen H. Santiago Negrón
Candidate	Carmen J (La Reve) Pagán Cabrera	Carmen J (La Reve) Pagán Cabrera
Candidate	Christian Rodríguez	Christian Rodríguez
Candidate	Claribel Martínez Marmolejos	Claribel Martínez Marmolejos
Candidate	César Augusto García Martínez	César Augusto García Martínez
Candidate	César Augusto Vázquez Muñiz	César Augusto Vázquez Muñiz
Candidate	Daniel 'Danny' Ortiz	Daniel 'Danny' Ortiz
Candidate	Daniel Lugo Mercado	Daniel Lugo Mercado
Candidate	Darío W. Ortiz González	Darío W. Ortiz González
Candidate	David Villanueva	David Villanueva
Candidate	Deborah Soto Arroyo	Deborah Soto Arroyo
Candidate	Domingo Torres García	Domingo Torres García
Candidate	Edda I. López Serrano	Edda I. López Serrano
Candidate	Eddie Charbonier Chinea	Eddie Charbonier Chinea
Candidate	Edgardo Feliciano	Edgardo Feliciano
Candidate	Edia Quiñones	Edia Quiñones
Candidate	Edna Vázquez Díaz	Edna Vázquez Díaz
Candidate	Eduardo Soto	Eduardo Soto
Candidate	Edwin (Win) Marrero Santiago	Edwin (Win) Marrero Santiago
Candidate	Edwin Mieles Richard	Edwin Mieles Richard
Candidate	Eilleen V Ramos Rivera	Eilleen V Ramos Rivera
Candidate	Eladio (Layito) Cardona	Eladio (Layito) Cardona
Candidate	Elaine M. Arrufat Berastaín	Elaine M. Arrufat Berastaín
Candidate	Eliezer Molina Pérez	Eliezer Molina Pérez
Candidate	Elizabeth Rosa Vélez	Elizabeth Rosa Vélez
Candidate	Emilio Carlo	Emilio Carlo
Candidate	Emmanuel Huertas	Emmanuel Huertas
Candidate	Eric Bonilla Latoni	Eric Bonilla Latoni
Candidate	Estrella Martínez Soto	Estrella Martínez Soto
Candidate	Eva Prados Rodríguez	Eva Prados Rodríguez
Candidate	Fernando Babilonia Aguilar	Fernando Babilonia Aguilar
Candidate	Fernando Maldonado Morales	Fernando Maldonado Morales
Candidate	Fernando Villaespesa Zalduondo	Fernando Villaespesa Zalduondo
Candidate	Félix (Johnny) Figueroa	Félix (Johnny) Figueroa
Candidate	Félix Lassalle Toro	Félix Lassalle Toro
Candidate	Gabriel F Rodríguez Aguiló	Gabriel F Rodríguez Aguiló
Candidate	Gerardo Cruz López	Gerardo Cruz López
Candidate	Gloria E. Santana Velázquez	Gloria E. Santana Velázquez
Candidate	Gretchen Hau	Gretchen Hau
Candidate	Guillermo Martínez Rivera	Guillermo Martínez Rivera
Candidate	Henry Neumann	Henry Neumann
Candidate	Hill Román Abreu	Hill Román Abreu
Candidate	Hugo Rodríguez Díaz	Hugo Rodríguez Díaz
Candidate	Héctor Guillermo Díaz	Héctor Guillermo Díaz
Candidate	Héctor Hiram Santaella Buitrago	Héctor Hiram Santaella Buitrago
Candidate	Héctor Torres	Héctor Torres
Candidate	Isabelo (Chabelo) Molina	Isabelo (Chabelo) Molina
Candidate	Ismael Rodríguez Medina	Ismael Rodríguez Medina
Candidate	Iván A. Sánchez Almodóvar	Iván A. Sánchez Almodóvar
Candidate	Jacqueline (Jackie) Rodríguez	Jacqueline (Jackie) Rodríguez
Candidate	Jaime Camacho Román	Jaime Camacho Román
Candidate	Jaime Rodríguez Rivera	Jaime Rodríguez Rivera
Candidate	Janice (Nanny) Nieves	Janice (Nanny) Nieves
Candidate	Janise Santiago	Janise Santiago
Candidate	Javier Aponte Dalmau	Javier Aponte Dalmau
Candidate	Javier Parés	Javier Parés
Candidate	Jenniffer González Colón	Jenniffer González Colón
Candidate	Jessie Cortés Ramos	Jessie Cortés Ramos
Candidate	Jesús (Manny) Roque	Jesús (Manny) Roque
Candidate	Jesús M. Dávila Molina	Jesús M. Dávila Molina
Candidate	Jesús Manuel Laboy	Jesús Manuel Laboy
Candidate	Jesús Santa Rodríguez	Jesús Santa Rodríguez
Candidate	Jimmy Borrero	Jimmy Borrero
Candidate	Jocelyne M. Rodríguez Negrón	Jocelyne M. Rodríguez Negrón
Candidate	Joel Franqui Atiles	Joel Franqui Atiles
Candidate	Jorge (Georgie) Navarro	Jorge (Georgie) Navarro
Candidate	Jorge Alfredo Rivera Segarra	Jorge Alfredo Rivera Segarra
Candidate	José 'Joito' Peréz Rosa	José 'Joito' Peréz Rosa
Candidate	José 'Maché' Ortiz	José 'Maché' Ortiz
Candidate	José (Che) Pérez Cordero	José (Che) Pérez Cordero
Candidate	José (Cheito) Rivera Madera	José (Cheito) Rivera Madera
Candidate	José (Conny) Varela	José (Conny) Varela
Candidate	José (Memo) González	José (Memo) González
Candidate	José (Papo) Mercado	José (Papo) Mercado
Candidate	José (Pepe) Ortiz	José (Pepe) Ortiz
Candidate	José A. Banchs Alemán	José A. Banchs Alemán
Candidate	José Alberto Hernández Pagán	José Alberto Hernández Pagán
