Name	ElectionDistrict
RI House District 1	Rhode Island;RI House District 1
RI House District 2	Rhode Island;RI House District 2
RI House District 3	Rhode Island;RI House District 3
RI House District 4	Rhode Island;RI House District 4
RI House District 5	Rhode Island;RI House District 5
RI House District 6	Rhode Island;RI House District 6
RI House District 7	Rhode Island;RI House District 7
RI House District 8	Rhode Island;RI House District 8
RI House District 9	Rhode Island;RI House District 9
RI House District 10	Rhode Island;RI House District 10
RI House District 11	Rhode Island;RI House District 11
RI House District 12	Rhode Island;RI House District 12
RI House District 13	Rhode Island;RI House District 13
RI House District 14	Rhode Island;RI House District 14
RI House District 15	Rhode Island;RI House District 15
RI House District 16	Rhode Island;RI House District 16
RI House District 17	Rhode Island;RI House District 17
RI House District 18	Rhode Island;RI House District 18
RI House District 19	Rhode Island;RI House District 19
RI House District 20	Rhode Island;RI House District 20
RI House District 21	Rhode Island;RI House District 21
RI House District 22	Rhode Island;RI House District 22
RI House District 23	Rhode Island;RI House District 23
RI House District 24	Rhode Island;RI House District 24
RI House District 25	Rhode Island;RI House District 25
RI House District 26	Rhode Island;RI House District 26
RI House District 27	Rhode Island;RI House District 27
RI House District 28	Rhode Island;RI House District 28
RI House District 29	Rhode Island;RI House District 29
RI House District 30	Rhode Island;RI House District 30
RI House District 31	Rhode Island;RI House District 31
RI House District 32	Rhode Island;RI House District 32
RI House District 33	Rhode Island;RI House District 33
RI House District 34	Rhode Island;RI House District 34
RI House District 35	Rhode Island;RI House District 35
RI House District 36	Rhode Island;RI House District 36
RI House District 37	Rhode Island;RI House District 37
RI House District 38	Rhode Island;RI House District 38
RI House District 39	Rhode Island;RI House District 39
RI House District 40	Rhode Island;RI House District 40
RI House District 41	Rhode Island;RI House District 41
RI House District 42	Rhode Island;RI House District 42
RI House District 43	Rhode Island;RI House District 43
RI House District 44	Rhode Island;RI House District 44
RI House District 45	Rhode Island;RI House District 45
RI House District 46	Rhode Island;RI House District 46
RI House District 47	Rhode Island;RI House District 47
RI House District 48	Rhode Island;RI House District 48
RI House District 49	Rhode Island;RI House District 49
RI House District 50	Rhode Island;RI House District 50
RI House District 51	Rhode Island;RI House District 51
RI House District 52	Rhode Island;RI House District 52
RI House District 53	Rhode Island;RI House District 53
RI House District 54	Rhode Island;RI House District 54
RI House District 55	Rhode Island;RI House District 55
RI House District 56	Rhode Island;RI House District 56
RI House District 57	Rhode Island;RI House District 57
RI House District 58	Rhode Island;RI House District 58
RI House District 59	Rhode Island;RI House District 59
RI House District 60	Rhode Island;RI House District 60
RI House District 61	Rhode Island;RI House District 61
RI House District 62	Rhode Island;RI House District 62
RI House District 63	Rhode Island;RI House District 63
RI House District 64	Rhode Island;RI House District 64
RI House District 65	Rhode Island;RI House District 65
RI House District 66	Rhode Island;RI House District 66
RI House District 67	Rhode Island;RI House District 67
RI House District 68	Rhode Island;RI House District 68
RI House District 69	Rhode Island;RI House District 69
RI House District 70	Rhode Island;RI House District 70
RI House District 71	Rhode Island;RI House District 71
RI House District 72	Rhode Island;RI House District 72
RI House District 73	Rhode Island;RI House District 73
RI House District 74	Rhode Island;RI House District 74
RI House District 75	Rhode Island;RI House District 75
RI Senate District 1	Rhode Island;RI Senate District 1
RI Senate District 2	Rhode Island;RI Senate District 2
RI Senate District 3	Rhode Island;RI Senate District 3
RI Senate District 4	Rhode Island;RI Senate District 4
RI Senate District 5	Rhode Island;RI Senate District 5
RI Senate District 6	Rhode Island;RI Senate District 6
RI Senate District 7	Rhode Island;RI Senate District 7
RI Senate District 8	Rhode Island;RI Senate District 8
RI Senate District 9	Rhode Island;RI Senate District 9
RI Senate District 10	Rhode Island;RI Senate District 10
RI Senate District 11	Rhode Island;RI Senate District 11
RI Senate District 12	Rhode Island;RI Senate District 12
RI Senate District 13	Rhode Island;RI Senate District 13
RI Senate District 14	Rhode Island;RI Senate District 14
RI Senate District 15	Rhode Island;RI Senate District 15
RI Senate District 16	Rhode Island;RI Senate District 16
RI Senate District 17	Rhode Island;RI Senate District 17
RI Senate District 18	Rhode Island;RI Senate District 18
RI Senate District 19	Rhode Island;RI Senate District 19
RI Senate District 20	Rhode Island;RI Senate District 20
RI Senate District 21	Rhode Island;RI Senate District 21
RI Senate District 22	Rhode Island;RI Senate District 22
RI Senate District 23	Rhode Island;RI Senate District 23
RI Senate District 24	Rhode Island;RI Senate District 24
RI Senate District 25	Rhode Island;RI Senate District 25
RI Senate District 26	Rhode Island;RI Senate District 26
RI Senate District 27	Rhode Island;RI Senate District 27
RI Senate District 28	Rhode Island;RI Senate District 28
RI Senate District 29	Rhode Island;RI Senate District 29
RI Senate District 30	Rhode Island;RI Senate District 30
RI Senate District 31	Rhode Island;RI Senate District 31
RI Senate District 32	Rhode Island;RI Senate District 32
RI Senate District 33	Rhode Island;RI Senate District 33
RI Senate District 34	Rhode Island;RI Senate District 34
RI Senate District 35	Rhode Island;RI Senate District 35
RI Senate District 36	Rhode Island;RI Senate District 36
RI Senate District 37	Rhode Island;RI Senate District 37
RI Senate District 38	Rhode Island;RI Senate District 38
US House RI District 1	Rhode Island;US House RI District 1
US House RI District 2	Rhode Island;US House RI District 2
US President (RI)	Rhode Island
RI Governor	Rhode Island
US Senate RI	Rhode Island
RI Attorney General	Rhode Island
RI Lieutenant Governor	Rhode Island
RI General Treasurer	Rhode Island
RI Secretary of State	Rhode Island
