Name	ReportingUnitType
Rhode Island;RI House District 1	state-house
Rhode Island;RI House District 2	state-house
Rhode Island;RI House District 3	state-house
Rhode Island;RI House District 4	state-house
Rhode Island;RI House District 5	state-house
Rhode Island;RI House District 6	state-house
Rhode Island;RI House District 7	state-house
Rhode Island;RI House District 8	state-house
Rhode Island;RI House District 9	state-house
Rhode Island;RI House District 10	state-house
Rhode Island;RI House District 11	state-house
Rhode Island;RI House District 12	state-house
Rhode Island;RI House District 13	state-house
Rhode Island;RI House District 14	state-house
Rhode Island;RI House District 15	state-house
Rhode Island;RI House District 16	state-house
Rhode Island;RI House District 17	state-house
Rhode Island;RI House District 18	state-house
Rhode Island;RI House District 19	state-house
Rhode Island;RI House District 20	state-house
Rhode Island;RI House District 21	state-house
Rhode Island;RI House District 22	state-house
Rhode Island;RI House District 23	state-house
Rhode Island;RI House District 24	state-house
Rhode Island;RI House District 25	state-house
Rhode Island;RI House District 26	state-house
Rhode Island;RI House District 27	state-house
Rhode Island;RI House District 28	state-house
Rhode Island;RI House District 29	state-house
Rhode Island;RI House District 30	state-house
Rhode Island;RI House District 31	state-house
Rhode Island;RI House District 32	state-house
Rhode Island;RI House District 33	state-house
Rhode Island;RI House District 34	state-house
Rhode Island;RI House District 35	state-house
Rhode Island;RI House District 36	state-house
Rhode Island;RI House District 37	state-house
Rhode Island;RI House District 38	state-house
Rhode Island;RI House District 39	state-house
Rhode Island;RI House District 40	state-house
Rhode Island;RI House District 41	state-house
Rhode Island;RI House District 42	state-house
Rhode Island;RI House District 43	state-house
Rhode Island;RI House District 44	state-house
Rhode Island;RI House District 45	state-house
Rhode Island;RI House District 46	state-house
Rhode Island;RI House District 47	state-house
Rhode Island;RI House District 48	state-house
Rhode Island;RI House District 49	state-house
Rhode Island;RI House District 50	state-house
Rhode Island;RI House District 51	state-house
Rhode Island;RI House District 52	state-house
Rhode Island;RI House District 53	state-house
Rhode Island;RI House District 54	state-house
Rhode Island;RI House District 55	state-house
Rhode Island;RI House District 56	state-house
Rhode Island;RI House District 57	state-house
Rhode Island;RI House District 58	state-house
Rhode Island;RI House District 59	state-house
Rhode Island;RI House District 60	state-house
Rhode Island;RI House District 61	state-house
Rhode Island;RI House District 62	state-house
Rhode Island;RI House District 63	state-house
Rhode Island;RI House District 64	state-house
Rhode Island;RI House District 65	state-house
Rhode Island;RI House District 66	state-house
Rhode Island;RI House District 67	state-house
Rhode Island;RI House District 68	state-house
Rhode Island;RI House District 69	state-house
Rhode Island;RI House District 70	state-house
Rhode Island;RI House District 71	state-house
Rhode Island;RI House District 72	state-house
Rhode Island;RI House District 73	state-house
Rhode Island;RI House District 74	state-house
Rhode Island;RI House District 75	state-house
Rhode Island;RI Senate District 1	state-senate
Rhode Island;RI Senate District 2	state-senate
Rhode Island;RI Senate District 3	state-senate
Rhode Island;RI Senate District 4	state-senate
Rhode Island;RI Senate District 5	state-senate
Rhode Island;RI Senate District 6	state-senate
Rhode Island;RI Senate District 7	state-senate
Rhode Island;RI Senate District 8	state-senate
Rhode Island;RI Senate District 9	state-senate
Rhode Island;RI Senate District 10	state-senate
Rhode Island;RI Senate District 11	state-senate
Rhode Island;RI Senate District 12	state-senate
Rhode Island;RI Senate District 13	state-senate
Rhode Island;RI Senate District 14	state-senate
Rhode Island;RI Senate District 15	state-senate
Rhode Island;RI Senate District 16	state-senate
Rhode Island;RI Senate District 17	state-senate
Rhode Island;RI Senate District 18	state-senate
Rhode Island;RI Senate District 19	state-senate
Rhode Island;RI Senate District 20	state-senate
Rhode Island;RI Senate District 21	state-senate
Rhode Island;RI Senate District 22	state-senate
Rhode Island;RI Senate District 23	state-senate
Rhode Island;RI Senate District 24	state-senate
Rhode Island;RI Senate District 25	state-senate
Rhode Island;RI Senate District 26	state-senate
Rhode Island;RI Senate District 27	state-senate
Rhode Island;RI Senate District 28	state-senate
Rhode Island;RI Senate District 29	state-senate
Rhode Island;RI Senate District 30	state-senate
Rhode Island;RI Senate District 31	state-senate
Rhode Island;RI Senate District 32	state-senate
Rhode Island;RI Senate District 33	state-senate
Rhode Island;RI Senate District 34	state-senate
Rhode Island;RI Senate District 35	state-senate
Rhode Island;RI Senate District 36	state-senate
Rhode Island;RI Senate District 37	state-senate
Rhode Island;RI Senate District 38	state-senate
Rhode Island;US House RI District 1	congressional
Rhode Island;US House RI District 2	congressional
Rhode Island	state
Rhode Island;Barrington	city-or-town
Rhode Island;Bristol	city-or-town
Rhode Island;Burrillville	city-or-town
Rhode Island;Central Falls	city-or-town
Rhode Island;Charlestown	city-or-town
Rhode Island;Coventry	city-or-town
Rhode Island;Cranston	city-or-town
Rhode Island;Cumberland	city-or-town
Rhode Island;East Greenwich	city-or-town
Rhode Island;East Providence	city-or-town
Rhode Island;Exeter	city-or-town
Rhode Island;Federal Precin	city-or-town
Rhode Island;Federal Precinc	city-or-town
Rhode Island;Foster	city-or-town
Rhode Island;Glocester	city-or-town
Rhode Island;Hopkinton	city-or-town
Rhode Island;Jamestown	city-or-town
Rhode Island;Johnston	city-or-town
Rhode Island;Lincoln	city-or-town
Rhode Island;Little Compton	city-or-town
Rhode Island;Middletown	city-or-town
Rhode Island;Narragansett	city-or-town
Rhode Island;New Shoreham	city-or-town
Rhode Island;Newport	city-or-town
Rhode Island;North Kingstown	city-or-town
Rhode Island;North Providence	city-or-town
Rhode Island;North Smithfield	city-or-town
Rhode Island;Pawtucket	city-or-town
Rhode Island;Portsmouth	city-or-town
Rhode Island;Providence	city-or-town
Rhode Island;Providence Limi	city-or-town
Rhode Island;Richmond	city-or-town
Rhode Island;Scituate	city-or-town
Rhode Island;Smithfield	city-or-town
Rhode Island;South Kingstown	city-or-town
Rhode Island;Tiverton	city-or-town
Rhode Island;Warren	city-or-town
Rhode Island;Warwick	city-or-town
Rhode Island;West Greenwich	city-or-town
Rhode Island;West Warwick	city-or-town
Rhode Island;Westerly	city-or-town
Rhode Island;Woonsocket	city-or-town
Rhode Island;Barrington;Precinct 0101	precinct
Rhode Island;Barrington;Precinct 0102	precinct
Rhode Island;Barrington;Precinct 0103	precinct
Rhode Island;Barrington;Precinct 0104	precinct
Rhode Island;Barrington;Precinct 0105	precinct
Rhode Island;Bristol;Precinct 0201	precinct
Rhode Island;Bristol;Precinct 0202	precinct
Rhode Island;Bristol;Precinct 0203	precinct
Rhode Island;Bristol;Precinct 0204	precinct
Rhode Island;Bristol;Precinct 0205	precinct
Rhode Island;Bristol;Precinct 0206	precinct
Rhode Island;Bristol;Precinct 0207	precinct
Rhode Island;Bristol;Precinct 0208	precinct
Rhode Island;Bristol;Precinct 0209	precinct
Rhode Island;Burrillville;Precinct 0301	precinct
Rhode Island;Burrillville;Precinct 0302	precinct
Rhode Island;Burrillville;Precinct 0303	precinct
Rhode Island;Burrillville;Precinct 0304	precinct
Rhode Island;Burrillville;Precinct 0305	precinct
Rhode Island;Burrillville;Precinct 0306	precinct
Rhode Island;Central Falls;Precinct 0401	precinct
Rhode Island;Central Falls;Precinct 0402	precinct
Rhode Island;Central Falls;Precinct 0403	precinct
Rhode Island;Central Falls;Precinct 0404	precinct
Rhode Island;Central Falls;Precinct 0405	precinct
Rhode Island;Central Falls;Precinct 0406	precinct
Rhode Island;Central Falls;Precinct 0407	precinct
Rhode Island;Central Falls;Precinct 0408	precinct
Rhode Island;Charlestown;Precinct 0501	precinct
Rhode Island;Charlestown;Precinct 0502	precinct
Rhode Island;Charlestown;Precinct 0503	precinct
Rhode Island;Charlestown;Precinct 0504	precinct
Rhode Island;Coventry;Precinct 0601	precinct
Rhode Island;Coventry;Precinct 0602	precinct
Rhode Island;Coventry;Precinct 0603	precinct
Rhode Island;Coventry;Precinct 0604	precinct
Rhode Island;Coventry;Precinct 0605	precinct
Rhode Island;Coventry;Precinct 0606	precinct
Rhode Island;Coventry;Precinct 0607	precinct
Rhode Island;Coventry;Precinct 0608	precinct
Rhode Island;Coventry;Precinct 0609	precinct
Rhode Island;Coventry;Precinct 0610	precinct
Rhode Island;Coventry;Precinct 0611	precinct
Rhode Island;Coventry;Precinct 0612	precinct
Rhode Island;Coventry;Precinct 0613	precinct
Rhode Island;Coventry;Precinct 0614	precinct
Rhode Island;Coventry;Precinct 0615	precinct
Rhode Island;Coventry;Precinct 0616	precinct
Rhode Island;Coventry;Precinct 0617	precinct
Rhode Island;Coventry;Precinct 0618	precinct
Rhode Island;Cranston;Precinct 0701	precinct
Rhode Island;Cranston;Precinct 0702	precinct
Rhode Island;Cranston;Precinct 0703	precinct
Rhode Island;Cranston;Precinct 0704	precinct
