cdf_element	cdf_internal_name	raw_identifier_value
BallotMeasureSelection	No	No
BallotMeasureSelection	Yes	Yes
Candidate	Adair Ford Boroughs	Adair Ford Boroughs
Candidate	Adam Morgan	Adam Morgan
Candidate	Adriene Atkinson	Adriene Atkinson
Candidate	Al C McAbee Jr	Al C McAbee Jr
Candidate	Al Gore	AL GORE
Candidate	Alan Clemmons	Alan Clemmons
Candidate	Alan Wilson	Alan Wilson
Candidate	Alderman Maynard	Alderman Maynard
Candidate	Alex Thornton	Alex Thornton
Candidate	Allan Quinn	Allan Quinn
Candidate	American	American
Candidate	Amy Klobuchar	Amy Klobuchar
Candidate	Andrea Bejarano-Robinson	Andrea Bejarano-Robinson
Candidate	Andrew Yang - WITHDREW	Andrew Yang - WITHDREW
Candidate	Anne Parks	Anne Parks
Candidate	Anne Thayer	Anne Thayer
Candidate	Annie E McDaniel	Annie E McDaniel
Candidate	Archie Parnell	Archie Parnell
Candidate	Ashley Lawton	Ashley Lawton
Candidate	Ashley Trantham	Ashley Trantham
Candidate	B K Brown	B K Brown
Candidate	Barack Obama	BARACK OBAMA
Candidate	Barb Nash	Barb Nash
Candidate	Barbara Peck	Barbara Peck
Candidate	Bart Blackwell	Bart Blackwell
Candidate	Bart T Blackwell	Bart T Blackwell
Candidate	Ben Pogue	Ben Pogue
Candidate	Ben Wigington	Ben Wigington
Candidate	Benjamin Dunn	Benjamin Dunn
Candidate	Benjamin Smith	Benjamin Smith
Candidate	Bernie Sanders	Bernie Sanders
Candidate	Beth Ann Rocheleau	Beth Ann Rocheleau
Candidate	Beth Bernstein	Beth Bernstein
Candidate	Bill Bledsoe	Bill Bledsoe
Candidate	Bill Brown	Bill Brown
Candidate	Bill Chumley	Bill Chumley
Candidate	Bill Crosby	Bill Crosby
Candidate	Bill Herbkersman	Bill Herbkersman
Candidate	Bill Hixon	Bill Hixon
Candidate	Bill Meder	Bill Meder
Candidate	Bill Sandifer	Bill Sandifer
Candidate	Bill Taylor	Bill Taylor
Candidate	Bill Weeks	Bill Weeks
Candidate	Bill Whitmire	Bill Whitmire
Candidate	Billy Baldwin	Billy Baldwin
Candidate	Billy Berry	Billy Berry
Candidate	Billy Garrett	Billy Garrett
Candidate	Bob Cotter	Bob Cotter
Candidate	Bob Vanlue	Bob Vanlue
Candidate	Bobby Cox	Bobby Cox
Candidate	Bonnie Shirley Knight	Bonnie Shirley Knight
Candidate	Brad Hutto	Brad Hutto
Candidate	Brad Jayne	Brad Jayne
Candidate	Brad Mole	Brad Mole
Candidate	Brandon Humphries	Brandon Humphries
Candidate	Brandon Newton	Brandon Newton
Candidate	Brandon P Brown	Brandon P Brown
Candidate	Brian Adams	Brian Adams
Candidate	Brian Duncan	Brian Duncan
Candidate	Brian White	Brian White
Candidate	Bruce Bannister	Bruce Bannister
Candidate	Bruce Fischer	Bruce Fischer
Candidate	Bruce M Bryant	Bruce M Bryant
Candidate	Bruce W Bannister	Bruce W Bannister
Candidate	Bruce Wilson	Bruce Wilson
Candidate	Bryan Hope	Bryan Hope
Candidate	Bryan Pugh	Bryan Pugh
Candidate	Byron E Gipson	Byron E Gipson
Candidate	Cal Forrest	Cal Forrest
Candidate	Cameron Ventura	Cameron Ventura
Candidate	Carl Kenny Dicks	Carl Kenny Dicks
Candidate	Carl L Anderson	Carl L Anderson
Candidate	Carol Tempel	Carol Tempel
Candidate	Carrie Counton	Carrie Counton
Candidate	Carroll O'Neal	Carroll O'Neal
Candidate	Carter Smith	Carter Smith
Candidate	Case Brittain	Case Brittain
Candidate	Casey Robinson	Casey Robinson
Candidate	Cezar McKnight	Cezar McKnight
Candidate	Chandra Dillard	Chandra Dillard
Candidate	Chardale Murray	Chardale Murray
Candidate	Charlene Herring	Charlene Herring
Candidate	Charles A Glover Sr	Charles A Glover Sr
Candidate	Charles Bumgardner	Charles Bumgardner
Candidate	Cheryl A Burgess	Cheryl A Burgess
Candidate	Chester D Palmer	Chester D Palmer
Candidate	Chip Campsen	Chip Campsen
Candidate	Chip Huggins	Chip Huggins
Candidate	Chris Bennett	Chris Bennett
Candidate	Chris Cox	Chris Cox
Candidate	Chris Hart	Chris Hart
Candidate	Chris Murphy	Chris Murphy
Candidate	Chris Nelums	Chris Nelums
Candidate	Chris Smith	Chris Smith
Candidate	Chris Staubes	Chris Staubes
Candidate	Chris Wooten	Chris Wooten
Candidate	Christine deVries	Christine deVries
Candidate	Christopher Thibault	Christopher Thibault
Candidate	Cindy Evans	Cindy Evans
Candidate	Cindy Prendergast	Cindy Prendergast
Candidate	Cindy Risher	Cindy Risher
Candidate	Claudia Dean	Claudia Dean
Candidate	Con Chellis	Con Chellis
Candidate	Constance Anastopoulo	Constance Anastopoulo
Candidate	Constitution	Constitution
Candidate	Corin Buskey	Corin Buskey
Candidate	Cory Booker - WITHDREW	Cory Booker - WITHDREW
Candidate	Craig A Gagnon	Craig A Gagnon
Candidate	Craig Gagnon	Craig Gagnon
Candidate	Craig Wooten	Craig Wooten
Candidate	Curtis Loftis	Curtis Loftis
Candidate	D Ryan McCabe	D Ryan McCabe
Candidate	Damian Daly	Damian Daly
Candidate	Dan P Jones	Dan P Jones
Candidate	Daniel Brownstein	Daniel Brownstein
Candidate	Danny Verdin	Danny Verdin
Candidate	Darath Mackie	Darath Mackie
Candidate	Darrell Jackson	Darrell Jackson
Candidate	Dave Edwards	Dave Edwards
Candidate	Dave Moore	Dave Moore
Candidate	Davey Hiott	Davey Hiott
Candidate	David A Wheeler	David A Wheeler
Candidate	David Cox	David Cox
Candidate	David Davey Hiott	David Davey Hiott
Candidate	David Edmond	David Edmond
Candidate	David Ellison	David Ellison
Candidate	David Herndon	David Herndon
Candidate	David J Wilson	David J Wilson
Candidate	David Larsen	David Larsen
Candidate	David Mack III	David Mack III
Candidate	David Morris	David Morris
Candidate	David Quick	David Quick
Candidate	David Tillman	David Tillman
Candidate	David Weeks	David Weeks
Candidate	David Weikle	David Weikle
Candidate	Dawn Bingham	Dawn Bingham
Candidate	Debbie Chatman Bryant	Debbie Chatman Bryant
Candidate	Deborah C Hudson	Deborah C Hudson
Candidate	Deborah W Perry	Deborah W Perry
Candidate	Democratic	Democratic
Candidate	Denise Waldrep	Denise Waldrep
Candidate	Dennis Claramunt	Dennis Claramunt
Candidate	Dennis Moss	Dennis Moss
Candidate	Deon Tedder	Deon Tedder
Candidate	Deval Patrick - WITHDREW	Deval Patrick - WITHDREW
Candidate	Devon D Smith	Devon D Smith
Candidate	Devon Justin Long	Devon Justin Long
Candidate	Diane Summers	Diane Summers
Candidate	Dick Harpootlian	Dick Harpootlian
Candidate	Donald J Trump | Michael R Pence	Donald J Trump | Michael R Pence
Candidate	Donald J. Trump	DONALD TRUMP
Candidate	Donna Brown Newton	Donna Brown Newton
Candidate	Doug Gilliam	Doug Gilliam
Candidate	Doug Mixson Sr	Doug Mixson Sr
Candidate	Duke Buckner	Duke Buckner
Candidate	Dwight A Loftis	Dwight A Loftis
Candidate	Dwight Loftis	Dwight Loftis
Candidate	Ed Clements III	Ed Clements III
Candidate	Ed Poore	Ed Poore
Candidate	Ed Sutton	Ed Sutton
Candidate	Eddie Cogdill	Eddie Cogdill
Candidate	Eddie McCain	Eddie McCain
Candidate	Eddie Tallon	Eddie Tallon
Candidate	Eileen Dougherty	Eileen Dougherty
Candidate	Eleazer Leazer Carter	Eleazer Leazer Carter
Candidate	Elise Fox	Elise Fox
Candidate	Elizabeth Warren	Elizabeth Warren
Candidate	Emily Cegledy	Emily Cegledy
Candidate	Eric Erickson	Eric Erickson
Candidate	Erin Mosley	Erin Mosley
Candidate	Ernest Chip Finney III	Ernest Chip Finney III
Candidate	Eunice Lehmacher	Eunice Lehmacher
Candidate	Evan Guthrie	Evan Guthrie
Candidate	Evelyn T Robinson	Evelyn T Robinson
Candidate	Evert Comer Jr	Evert Comer Jr
Candidate	Fletcher Smith	Fletcher Smith
Candidate	Floyd Nicholson	Floyd Nicholson
Candidate	Frances K Bouknight	Frances K Bouknight
Candidate	Fred Kennedy	Fred Kennedy
Candidate	Garey Collins	Garey Collins
Candidate	Gariane P Gunter	Gariane P Gunter
Candidate	Garry R Smith	Garry R Smith
Candidate	Garry Smith	Garry Smith
Candidate	Gary Clary	Gary Clary
Candidate	Gary Simrill	Gary Simrill
Candidate	Gayla McSwain	Gayla McSwain
Candidate	George W. Bush	GEORGE W. BUSH
Candidate	Gerald Malloy	Gerald Malloy
Candidate	Gerhard R Gressmann	Gerhard R Gressmann
Candidate	Gil Gatch	Gil Gatch
Candidate	Gilda Cobb-Hunter	Gilda Cobb-Hunter
Candidate	Glenn Posey	Glenn Posey
Candidate	Glenn Reese	Glenn Reese
Candidate	Green	Green
Candidate	Greg Hembree	Greg Hembree
Candidate	Greg Tysl	Greg Tysl
Candidate	Guy V Furay	Guy V Furay
Candidate	Hal Cercopely	Hal Cercopely
Candidate	Hao Wu	Hao Wu
Candidate	Harvey Peeler	Harvey Peeler
Candidate	Heather Ammons Crawford	Heather Ammons Crawford
Candidate	Heather Bauer	Heather Bauer
