Name	NumberElected	Office	PrimaryParty
SD House District 1	1	SD House District 1	
SD House District 2	1	SD House District 2	
SD House District 3	1	SD House District 3	
SD House District 4	1	SD House District 4	
SD House District 5	1	SD House District 5	
SD House District 6	1	SD House District 6	
SD House District 7	1	SD House District 7	
SD House District 8	1	SD House District 8	
SD House District 9	1	SD House District 9	
SD House District 10	1	SD House District 10	
SD House District 11	1	SD House District 11	
SD House District 12	1	SD House District 12	
SD House District 13	1	SD House District 13	
SD House District 14	1	SD House District 14	
SD House District 15	1	SD House District 15	
SD House District 16	1	SD House District 16	
SD House District 17	1	SD House District 17	
SD House District 18	1	SD House District 18	
SD House District 19	1	SD House District 19	
SD House District 20	1	SD House District 20	
SD House District 21	1	SD House District 21	
SD House District 22	1	SD House District 22	
SD House District 23	1	SD House District 23	
SD House District 24	1	SD House District 24	
SD House District 25	1	SD House District 25	
SD House District 26	1	SD House District 26	
SD House District 27	1	SD House District 27	
SD House District 28	1	SD House District 28	
SD House District 29	1	SD House District 29	
SD House District 30	1	SD House District 30	
SD House District 31	1	SD House District 31	
SD House District 32	1	SD House District 32	
SD House District 33	1	SD House District 33	
SD House District 34	1	SD House District 34	
SD House District 35	1	SD House District 35	
SD House District 36	1	SD House District 36	
SD House District 37	1	SD House District 37	
SD House District 38	1	SD House District 38	
SD House District 39	1	SD House District 39	
SD House District 40	1	SD House District 40	
SD House District 41	1	SD House District 41	
SD House District 42	1	SD House District 42	
SD House District 43	1	SD House District 43	
SD House District 44	1	SD House District 44	
SD House District 45	1	SD House District 45	
SD House District 46	1	SD House District 46	
SD House District 47	1	SD House District 47	
SD House District 48	1	SD House District 48	
SD House District 49	1	SD House District 49	
SD House District 50	1	SD House District 50	
SD House District 51	1	SD House District 51	
SD House District 52	1	SD House District 52	
SD House District 53	1	SD House District 53	
SD House District 54	1	SD House District 54	
SD House District 55	1	SD House District 55	
SD House District 56	1	SD House District 56	
SD House District 57	1	SD House District 57	
SD House District 58	1	SD House District 58	
SD House District 59	1	SD House District 59	
SD House District 60	1	SD House District 60	
SD House District 61	1	SD House District 61	
SD House District 62	1	SD House District 62	
SD House District 63	1	SD House District 63	
SD House District 64	1	SD House District 64	
SD House District 65	1	SD House District 65	
SD House District 66	1	SD House District 66	
SD House District 67	1	SD House District 67	
SD House District 68	1	SD House District 68	
SD House District 69	1	SD House District 69	
SD House District 70	1	SD House District 70	
SD Senate District 1	1	SD Senate District 1	
SD Senate District 2	1	SD Senate District 2	
SD Senate District 3	1	SD Senate District 3	
SD Senate District 4	1	SD Senate District 4	
SD Senate District 5	1	SD Senate District 5	
SD Senate District 6	1	SD Senate District 6	
SD Senate District 7	1	SD Senate District 7	
SD Senate District 8	1	SD Senate District 8	
SD Senate District 9	1	SD Senate District 9	
SD Senate District 10	1	SD Senate District 10	
SD Senate District 11	1	SD Senate District 11	
SD Senate District 12	1	SD Senate District 12	
SD Senate District 13	1	SD Senate District 13	
SD Senate District 14	1	SD Senate District 14	
SD Senate District 15	1	SD Senate District 15	
SD Senate District 16	1	SD Senate District 16	
SD Senate District 17	1	SD Senate District 17	
SD Senate District 18	1	SD Senate District 18	
SD Senate District 19	1	SD Senate District 19	
SD Senate District 20	1	SD Senate District 20	
SD Senate District 21	1	SD Senate District 21	
SD Senate District 22	1	SD Senate District 22	
SD Senate District 23	1	SD Senate District 23	
SD Senate District 24	1	SD Senate District 24	
SD Senate District 25	1	SD Senate District 25	
SD Senate District 26	1	SD Senate District 26	
SD Senate District 27	1	SD Senate District 27	
SD Senate District 28	1	SD Senate District 28	
SD Senate District 29	1	SD Senate District 29	
SD Senate District 30	1	SD Senate District 30	
SD Senate District 31	1	SD Senate District 31	
SD Senate District 32	1	SD Senate District 32	
SD Senate District 33	1	SD Senate District 33	
SD Senate District 34	1	SD Senate District 34	
SD Senate District 35	1	SD Senate District 35	
US House SD District 1	1	US House SD District 1	
US President (SD)	1	US President (SD)	
SD Governor	1	SD Governor	
US Senate SD	1	US Senate SD	
SD Attorney General	1	SD Attorney General	
SD Lieutenant Governor	1	SD Lieutenant Governor	
SD Treasurer	1	SD Treasurer	
SD Secretary of State	1	SD Secretary of State	
