cdf_element	cdf_internal_name	raw_identifier_value
Candidate	Joseph R Biden	Joseph R. Biden & Kamala Harris
Candidate	Jo Jorgensen	Jo  Jorgensen & Jeremy "Spike" Cohen
Candidate	Donald J Trump	Donald J. Trump & Michael R. Pence
Candidate	Dan Ahlers	Dan Ahlers
Candidate	Mike Rounds	Mike Rounds
Candidate	Randy "Uriah" Luallin	Randy "Uriah" Luallin
Candidate	Dusty Johnson	Dusty Johnson
Candidate	Remi W. B. Bald Eagle	Remi W. B. Bald Eagle
Candidate	Devin Saxon	Devin Saxon
Candidate	Gary Hanson	Gary Hanson
Candidate	Susan Wismer	Susan Wismer
Candidate	Michael H. Rohl	Michael H. Rohl
Candidate	Brock L. Greenfield	Brock L. Greenfield
Candidate	Josh Halsey	Josh Halsey (Withdrawn 7/30/2020 12:00:00 AM)
Candidate	Al Novstrup	Al Novstrup
Candidate	Daryl Root	Daryl Root
Candidate	John Wiik	John Wiik
Candidate	Adam Jewell	Adam Jewell
Candidate	Lee Schoenbeck	Lee Schoenbeck
Candidate	Nancy Kirstein	Nancy Kirstein
Candidate	Herman Otten	Herman Otten
Candidate	V. J. Smith	V. J. Smith
Candidate	Casey Crabtree	Casey Crabtree
Candidate	Suzanne "Suzie" Jones Pranger	Suzanne "Suzie" Jones Pranger
Candidate	Wayne H. Steinhauer	Wayne H. Steinhauer
Candidate	Nichole Cauwels	Nichole Cauwels
Candidate	Maggie Sutton	Maggie Sutton
Candidate	Tom Cool	Tom Cool
Candidate	Jim Stalzer	Jim Stalzer
Candidate	Jessica Meyers	Jessica Meyers
Candidate	R Blake Curd	R Blake Curd
Candidate	Justyn Hauck	Justyn Hauck (Withdrawn 8/4/2020 12:00:00 AM)
Candidate	Elizabeth "Liz" Larson	Elizabeth "Liz" Larson
Candidate	Jack Kolbeck	Jack Kolbeck
Candidate	Timothy Reed	Timothy Reed
Candidate	Larry P. Zikmund	Larry P. Zikmund
Candidate	Reynold F. Nesiba	Reynold F. Nesiba
Candidate	Thor Bardon	Thor Bardon
Candidate	Jim Bolin	Jim Bolin
Candidate	Ailee Johns	Ailee Johns
Candidate	Gregory Baldwin	Gregory Baldwin
Candidate	Arthur Rusch	Arthur Rusch
Candidate	Jay Williams	Jay Williams (Withdrawn 7/22/2020 12:00:00 AM)
Candidate	Jordan Foos	Jordan Foos
Candidate	Jean Hunhoff	Jean Hunhoff
Candidate	Kyle Schoenfish	Kyle Schoenfish
Candidate	Alexander Martin	Alexander Martin
Candidate	Joshua Klumb	Joshua Klumb
Candidate	Dan Kerner Andersson	Dan Kerner Andersson
Candidate	Erin Tobin	Erin Tobin
Candidate	David Wheeler	David Wheeler
Candidate	CJ Abernathey	CJ Abernathey
Candidate	Bryan J. Breitling	Bryan J. Breitling
Candidate	Mary Duvall	Mary Duvall
Candidate	Seth William Van't Hof	Seth William Van't Hof
Candidate	Rick W Knobe	Rick W Knobe
Candidate	Kris K. Langer	Kris K. Langer (Withdrawn 8/4/2020 12:00:00 AM)
Candidate	Marsha Symens	Marsha Symens
Candidate	Troy Heinert	Troy Heinert
Candidate	Joel Koskan	Joel Koskan
Candidate	Red Dawn Foster	Red Dawn Foster
Candidate	Judd W Schomp	Judd W Schomp
Candidate	Ryan M. Maher	Ryan M. Maher
Candidate	Kent Wilsey	Kent Wilsey
Candidate	Gary L. Cammack	Gary L. Cammack
Candidate	A. Gideon Oakes	A. Gideon Oakes
Candidate	Julie Frye-Mueller	Julie Frye-Mueller
Candidate	Timothy R. Johns	Timothy R. Johns
Candidate	Michael Calabrese	Michael Calabrese
Candidate	Helene Duhamel	Helene Duhamel
Candidate	Ryan A. Ryder	Ryan A. Ryder
Candidate	David Johnson	David Johnson
Candidate	George Nelson	George Nelson
Candidate	Michael G Diedrich	Michael G Diedrich
Candidate	Brian Gentry	Brian Gentry
Candidate	Jessica Castleberry	Jessica Castleberry
Candidate	Jennifer Healy Keintz	Jennifer Healy Keintz
Candidate	Steven D. McCleerey	Steven D. McCleerey
Candidate	Tamara St. John	Tamara St. John
Candidate	Kaleb W. Weis	Kaleb W. Weis
Candidate	Lana Greenfield	Lana Greenfield
Candidate	Leslie McLaughlin	Leslie McLaughlin
Candidate	Justin Roemmick	Justin Roemmick
Candidate	Drew Dennert	Drew Dennert
Candidate	Carl E Perry	Carl E Perry
Candidate	Becky Holtquist	Becky Holtquist
Candidate	Fred Deutsch	Fred Deutsch
Candidate	John Mills	John Mills
Candidate	Hugh M. Bartels	Hugh M. Bartels
Candidate	Nancy York	Nancy York
Candidate	Cody Ingle	Cody Ingle
Candidate	Ernie  Otten	Ernie  Otten
Candidate	Aaron Aylward	Aaron Aylward
Candidate	Louise Snodgrass	Louise Snodgrass
Candidate	Bill Adamson	Bill Adamson
Candidate	Timothy Reed	Timothy Reed
Candidate	Larry Tidemann	Larry Tidemann
Candidate	Joan Stamm	Joan Stamm (Withdrawn 7/31/2020 12:00:00 AM)
Candidate	John P. Kessinger	John P. Kessinger
Candidate	Val Parsley	Val Parsley
Candidate	Marli Wiese	Marli Wiese
Candidate	Randy Gross	Randy Gross
Candidate	Michael Saba	Michael Saba
Candidate	Toni Miller	Toni Miller
Candidate	Rhonda Milstead	Rhonda Milstead
Candidate	Bethany Soye	Bethany Soye
Candidate	Michelle L. Hentschel	Michelle L. Hentschel
Candidate	Steven Haugaard	Steven Haugaard
Candidate	Doug Barthel	Doug Barthel
Candidate	Sheryl Johnson	Sheryl Johnson
Candidate	Margaret M Kuipers	Margaret M Kuipers
Candidate	Mark Willadsen	Mark Willadsen
Candidate	Chris Karr	Chris Karr
Candidate	Erin Royer	Erin Royer
Candidate	Greg Jamison	Greg Jamison
Candidate	Arch Beal	Arch Beal
Candidate	Norman B. Bliss	Norman B. Bliss
Candidate	Kelly A. Sullivan	Kelly A. Sullivan
Candidate	Richard L Thomason	Richard L Thomason
Candidate	Sue Peterson	Sue Peterson
Candidate	Mike Huber	Mike Huber
Candidate	Erin Healy	Erin Healy
Candidate	Taylor Rae Rehfeldt	Taylor Rae Rehfeldt
Candidate	Tom Holmes	Tom Holmes
Candidate	Jamie Smith	Jamie Smith
Candidate	Linda Duba	Linda Duba
Candidate	Matt Rosburg	Matt Rosburg
Candidate	Cole Heisey	Cole Heisey
Candidate	David L. Anderson	David L. Anderson
Candidate	Kevin D. Jensen	Kevin D. Jensen
Candidate	Caitlin F. Collier	Caitlin F. Collier
Candidate	Al Leber	Al Leber
Candidate	Richard Vasgaard	Richard Vasgaard
Candidate	Sydney Davis	Sydney Davis
Candidate	Carol Williams	Carol Williams (Withdrawn 7/22/2020 12:00:00 AM)
Candidate	Ryan Cwach	Ryan Cwach
Candidate	Mike Stevens	Mike Stevens
Candidate	Kent Peterson	Kent Peterson
Candidate	Marty Overweg	Marty Overweg
Candidate	Paul R Miskimins	Paul R Miskimins
Candidate	Lance Koth	Lance Koth
Candidate	Jessica Hegge	Jessica Hegge
Candidate	Rocky Blare	Rocky Blare
Candidate	Caleb Finck	Caleb Finck
Candidate	Mark S Smith	Mark S Smith
Candidate	C. John McEnelly	C. John McEnelly
Candidate	Roger Chase	Roger Chase
Candidate	Lynn Schneider	Lynn Schneider
Candidate	Spencer Gosch	Spencer Gosch
Candidate	Charlie Hoffman	Charlie Hoffman
Candidate	Amanda Bachmann	Amanda Bachmann
Candidate	Will D Mortenson	Will D Mortenson
Candidate	Mike Weisgram	Mike Weisgram
Candidate	Jeff Barth	Jeff Barth
Candidate	Jared Nieuwenhuis	Jared Nieuwenhuis
Candidate	Tom Pischke	Tom Pischke
Candidate	Jon Hansen	Jon Hansen
Candidate	Ernest Weston Jr	Ernest Weston Jr
Candidate	Peri Pourier	Peri Pourier
Candidate	Bill Hines	Bill Hines (Withdrawn 7/28/2020 12:00:00 AM)
Candidate	Liz May	Liz May
Candidate	Jade Addison	Jade Addison
Candidate	Dean Wink	Dean Wink
Candidate	Kirk J. Chaffee	Kirk J. Chaffee
Candidate	Trish Ladner	Trish Ladner
Candidate	Tim R. Goodwin	Tim R. Goodwin
Candidate	Brooke Abdallah	Brooke Abdallah
Candidate	Scott Odenbach	Scott Odenbach
Candidate	Mary Fitzgerald	Mary Fitzgerald
Candidate	Toni Diamond	Toni Diamond
Candidate	James Preston	James Preston
Candidate	Chris Johnson	Chris Johnson
Candidate	Becky Drury	Becky Drury
Candidate	Phil Jensen	Phil Jensen
Candidate	Taffy Howard	Taffy Howard
Candidate	Nick Anderson	Nick Anderson
Candidate	Rick Stracqualursi	Rick Stracqualursi
Candidate	Mike Derby	Mike Derby
Candidate	Jess Olson	Jess Olson
Candidate	David A. Hubbard	David A. Hubbard
Candidate	Pat Cromwell	Pat Cromwell
Candidate	Tina L. Mulally	Tina L. Mulally
Candidate	Tony Randolph	Tony Randolph
Candidate	Shawn Bordeaux	Shawn Bordeaux
Candidate	Tim Feliciano	Tim Feliciano
Candidate	Rebecca L Reimer	Rebecca L Reimer
Candidate	Oren Lee Lesmeister	Oren Lee Lesmeister
Candidate	Sam Marty	Sam Marty
CandidateContest	SD House District 1	State Representative District 1
CandidateContest	SD House District 2	State Representative District 2
CandidateContest	SD House District 3	State Representative District 3
CandidateContest	SD House District 4	State Representative District 4
