Name	ReportingUnitType
Tennessee;TN House District 1	state-house
Tennessee;TN House District 2	state-house
Tennessee;TN House District 3	state-house
Tennessee;TN House District 4	state-house
Tennessee;TN House District 5	state-house
Tennessee;TN House District 6	state-house
Tennessee;TN House District 7	state-house
Tennessee;TN House District 8	state-house
Tennessee;TN House District 9	state-house
Tennessee;TN House District 10	state-house
Tennessee;TN House District 11	state-house
Tennessee;TN House District 12	state-house
Tennessee;TN House District 13	state-house
Tennessee;TN House District 14	state-house
Tennessee;TN House District 15	state-house
Tennessee;TN House District 16	state-house
Tennessee;TN House District 17	state-house
Tennessee;TN House District 18	state-house
Tennessee;TN House District 19	state-house
Tennessee;TN House District 20	state-house
Tennessee;TN House District 21	state-house
Tennessee;TN House District 22	state-house
Tennessee;TN House District 23	state-house
Tennessee;TN House District 24	state-house
Tennessee;TN House District 25	state-house
Tennessee;TN House District 26	state-house
Tennessee;TN House District 27	state-house
Tennessee;TN House District 28	state-house
Tennessee;TN House District 29	state-house
Tennessee;TN House District 30	state-house
Tennessee;TN House District 31	state-house
Tennessee;TN House District 32	state-house
Tennessee;TN House District 33	state-house
Tennessee;TN House District 34	state-house
Tennessee;TN House District 35	state-house
Tennessee;TN House District 36	state-house
Tennessee;TN House District 37	state-house
Tennessee;TN House District 38	state-house
Tennessee;TN House District 39	state-house
Tennessee;TN House District 40	state-house
Tennessee;TN House District 41	state-house
Tennessee;TN House District 42	state-house
Tennessee;TN House District 43	state-house
Tennessee;TN House District 44	state-house
Tennessee;TN House District 45	state-house
Tennessee;TN House District 46	state-house
Tennessee;TN House District 47	state-house
Tennessee;TN House District 48	state-house
Tennessee;TN House District 49	state-house
Tennessee;TN House District 50	state-house
Tennessee;TN House District 51	state-house
Tennessee;TN House District 52	state-house
Tennessee;TN House District 53	state-house
Tennessee;TN House District 54	state-house
Tennessee;TN House District 55	state-house
Tennessee;TN House District 56	state-house
Tennessee;TN House District 57	state-house
Tennessee;TN House District 58	state-house
Tennessee;TN House District 59	state-house
Tennessee;TN House District 60	state-house
Tennessee;TN House District 61	state-house
Tennessee;TN House District 62	state-house
Tennessee;TN House District 63	state-house
Tennessee;TN House District 64	state-house
Tennessee;TN House District 65	state-house
Tennessee;TN House District 66	state-house
Tennessee;TN House District 67	state-house
Tennessee;TN House District 68	state-house
Tennessee;TN House District 69	state-house
Tennessee;TN House District 70	state-house
Tennessee;TN House District 71	state-house
Tennessee;TN House District 72	state-house
Tennessee;TN House District 73	state-house
Tennessee;TN House District 74	state-house
Tennessee;TN House District 75	state-house
Tennessee;TN House District 76	state-house
Tennessee;TN House District 77	state-house
Tennessee;TN House District 78	state-house
Tennessee;TN House District 79	state-house
Tennessee;TN House District 80	state-house
Tennessee;TN House District 81	state-house
Tennessee;TN House District 82	state-house
Tennessee;TN House District 83	state-house
Tennessee;TN House District 84	state-house
Tennessee;TN House District 85	state-house
Tennessee;TN House District 86	state-house
Tennessee;TN House District 87	state-house
Tennessee;TN House District 88	state-house
Tennessee;TN House District 89	state-house
Tennessee;TN House District 90	state-house
Tennessee;TN House District 91	state-house
Tennessee;TN House District 92	state-house
Tennessee;TN House District 93	state-house
Tennessee;TN House District 94	state-house
Tennessee;TN House District 95	state-house
Tennessee;TN House District 96	state-house
Tennessee;TN House District 97	state-house
Tennessee;TN House District 98	state-house
Tennessee;TN House District 99	state-house
Tennessee;TN Senate District 1	state-senate
Tennessee;TN Senate District 2	state-senate
Tennessee;TN Senate District 3	state-senate
Tennessee;TN Senate District 4	state-senate
Tennessee;TN Senate District 5	state-senate
Tennessee;TN Senate District 6	state-senate
Tennessee;TN Senate District 7	state-senate
Tennessee;TN Senate District 8	state-senate
Tennessee;TN Senate District 9	state-senate
Tennessee;TN Senate District 10	state-senate
Tennessee;TN Senate District 11	state-senate
Tennessee;TN Senate District 12	state-senate
Tennessee;TN Senate District 13	state-senate
Tennessee;TN Senate District 14	state-senate
Tennessee;TN Senate District 15	state-senate
Tennessee;TN Senate District 16	state-senate
Tennessee;TN Senate District 17	state-senate
Tennessee;TN Senate District 18	state-senate
Tennessee;TN Senate District 19	state-senate
Tennessee;TN Senate District 20	state-senate
Tennessee;TN Senate District 21	state-senate
Tennessee;TN Senate District 22	state-senate
Tennessee;TN Senate District 23	state-senate
Tennessee;TN Senate District 24	state-senate
Tennessee;TN Senate District 25	state-senate
Tennessee;TN Senate District 26	state-senate
Tennessee;TN Senate District 27	state-senate
Tennessee;TN Senate District 28	state-senate
Tennessee;TN Senate District 29	state-senate
Tennessee;TN Senate District 30	state-senate
