Name	NumberElected	Office	PrimaryParty
TX House District 1	1	TX House District 1	
TX House District 2	1	TX House District 2	
TX House District 3	1	TX House District 3	
TX House District 4	1	TX House District 4	
TX House District 5	1	TX House District 5	
TX House District 6	1	TX House District 6	
TX House District 7	1	TX House District 7	
TX House District 8	1	TX House District 8	
TX House District 9	1	TX House District 9	
TX House District 10	1	TX House District 10	
TX House District 11	1	TX House District 11	
TX House District 12	1	TX House District 12	
TX House District 13	1	TX House District 13	
TX House District 14	1	TX House District 14	
TX House District 15	1	TX House District 15	
TX House District 16	1	TX House District 16	
TX House District 17	1	TX House District 17	
TX House District 18	1	TX House District 18	
TX House District 19	1	TX House District 19	
TX House District 20	1	TX House District 20	
TX House District 21	1	TX House District 21	
TX House District 22	1	TX House District 22	
TX House District 23	1	TX House District 23	
TX House District 24	1	TX House District 24	
TX House District 25	1	TX House District 25	
TX House District 26	1	TX House District 26	
TX House District 27	1	TX House District 27	
TX House District 28	1	TX House District 28	
TX House District 29	1	TX House District 29	
TX House District 30	1	TX House District 30	
TX House District 31	1	TX House District 31	
TX House District 32	1	TX House District 32	
TX House District 33	1	TX House District 33	
TX House District 34	1	TX House District 34	
TX House District 35	1	TX House District 35	
TX House District 36	1	TX House District 36	
TX House District 37	1	TX House District 37	
TX House District 38	1	TX House District 38	
TX House District 39	1	TX House District 39	
TX House District 40	1	TX House District 40	
TX House District 41	1	TX House District 41	
TX House District 42	1	TX House District 42	
TX House District 43	1	TX House District 43	
TX House District 44	1	TX House District 44	
TX House District 45	1	TX House District 45	
TX House District 46	1	TX House District 46	
TX House District 47	1	TX House District 47	
TX House District 48	1	TX House District 48	
TX House District 49	1	TX House District 49	
TX House District 50	1	TX House District 50	
TX House District 51	1	TX House District 51	
TX House District 52	1	TX House District 52	
TX House District 53	1	TX House District 53	
TX House District 54	1	TX House District 54	
TX House District 55	1	TX House District 55	
TX House District 56	1	TX House District 56	
TX House District 57	1	TX House District 57	
TX House District 58	1	TX House District 58	
TX House District 59	1	TX House District 59	
TX House District 60	1	TX House District 60	
TX House District 61	1	TX House District 61	
TX House District 62	1	TX House District 62	
TX House District 63	1	TX House District 63	
TX House District 64	1	TX House District 64	
TX House District 65	1	TX House District 65	
TX House District 66	1	TX House District 66	
TX House District 67	1	TX House District 67	
TX House District 68	1	TX House District 68	
TX House District 69	1	TX House District 69	
TX House District 70	1	TX House District 70	
TX House District 71	1	TX House District 71	
TX House District 72	1	TX House District 72	
TX House District 73	1	TX House District 73	
TX House District 74	1	TX House District 74	
TX House District 75	1	TX House District 75	
TX House District 76	1	TX House District 76	
TX House District 77	1	TX House District 77	
TX House District 78	1	TX House District 78	
TX House District 79	1	TX House District 79	
TX House District 80	1	TX House District 80	
TX House District 81	1	TX House District 81	
TX House District 82	1	TX House District 82	
TX House District 83	1	TX House District 83	
TX House District 84	1	TX House District 84	
TX House District 85	1	TX House District 85	
TX House District 86	1	TX House District 86	
TX House District 87	1	TX House District 87	
TX House District 88	1	TX House District 88	
TX House District 89	1	TX House District 89	
TX House District 90	1	TX House District 90	
TX House District 91	1	TX House District 91	
