cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest    US President (TX)   PRESIDENT/VICE-PRESIDENT
CandidateContest	TX House District 1 (Democratic Party)	State Representative District 1 (DEM)
CandidateContest	TX House District 2 (Democratic Party)	State Representative District 2 (DEM)
CandidateContest	TX House District 3 (Democratic Party)	State Representative District 3 (DEM)
CandidateContest	TX House District 4 (Democratic Party)	State Representative District 4 (DEM)
CandidateContest	TX House District 5 (Democratic Party)	State Representative District 5 (DEM)
CandidateContest	TX House District 6 (Democratic Party)	State Representative District 6 (DEM)
CandidateContest	TX House District 7 (Democratic Party)	State Representative District 7 (DEM)
CandidateContest	TX House District 8 (Democratic Party)	State Representative District 8 (DEM)
CandidateContest	TX House District 9 (Democratic Party)	State Representative District 9 (DEM)
CandidateContest	TX House District 10 (Democratic Party)	State Representative District 10 (DEM)
CandidateContest	TX House District 11 (Democratic Party)	State Representative District 11 (DEM)
CandidateContest	TX House District 12 (Democratic Party)	State Representative District 12 (DEM)
CandidateContest	TX House District 13 (Democratic Party)	State Representative District 13 (DEM)
CandidateContest	TX House District 14 (Democratic Party)	State Representative District 14 (DEM)
CandidateContest	TX House District 15 (Democratic Party)	State Representative District 15 (DEM)
CandidateContest	TX House District 16 (Democratic Party)	State Representative District 16 (DEM)
CandidateContest	TX House District 17 (Democratic Party)	State Representative District 17 (DEM)
CandidateContest	TX House District 18 (Democratic Party)	State Representative District 18 (DEM)
CandidateContest	TX House District 19 (Democratic Party)	State Representative District 19 (DEM)
CandidateContest	TX House District 20 (Democratic Party)	State Representative District 20 (DEM)
CandidateContest	TX House District 21 (Democratic Party)	State Representative District 21 (DEM)
CandidateContest	TX House District 22 (Democratic Party)	State Representative District 22 (DEM)
CandidateContest	TX House District 23 (Democratic Party)	State Representative District 23 (DEM)
CandidateContest	TX House District 24 (Democratic Party)	State Representative District 24 (DEM)
CandidateContest	TX House District 25 (Democratic Party)	State Representative District 25 (DEM)
CandidateContest	TX House District 26 (Democratic Party)	State Representative District 26 (DEM)
CandidateContest	TX House District 27 (Democratic Party)	State Representative District 27 (DEM)
CandidateContest	TX House District 28 (Democratic Party)	State Representative District 28 (DEM)
CandidateContest	TX House District 29 (Democratic Party)	State Representative District 29 (DEM)
CandidateContest	TX House District 30 (Democratic Party)	State Representative District 30 (DEM)
CandidateContest	TX House District 31 (Democratic Party)	State Representative District 31 (DEM)
CandidateContest	TX House District 32 (Democratic Party)	State Representative District 32 (DEM)
CandidateContest	TX House District 33 (Democratic Party)	State Representative District 33 (DEM)
CandidateContest	TX House District 34 (Democratic Party)	State Representative District 34 (DEM)
CandidateContest	TX House District 35 (Democratic Party)	State Representative District 35 (DEM)
CandidateContest	TX House District 36 (Democratic Party)	State Representative District 36 (DEM)
CandidateContest	TX House District 37 (Democratic Party)	State Representative District 37 (DEM)
CandidateContest	TX House District 38 (Democratic Party)	State Representative District 38 (DEM)
CandidateContest	TX House District 39 (Democratic Party)	State Representative District 39 (DEM)
