Name	ElectionDistrict
UT House District 1	Utah;UT House District 1
UT House District 2	Utah;UT House District 2
UT House District 3	Utah;UT House District 3
UT House District 4	Utah;UT House District 4
UT House District 5	Utah;UT House District 5
UT House District 6	Utah;UT House District 6
UT House District 7	Utah;UT House District 7
UT House District 8	Utah;UT House District 8
UT House District 9	Utah;UT House District 9
UT House District 10	Utah;UT House District 10
UT House District 11	Utah;UT House District 11
UT House District 12	Utah;UT House District 12
UT House District 13	Utah;UT House District 13
UT House District 14	Utah;UT House District 14
UT House District 15	Utah;UT House District 15
UT House District 16	Utah;UT House District 16
UT House District 17	Utah;UT House District 17
UT House District 18	Utah;UT House District 18
UT House District 19	Utah;UT House District 19
UT House District 20	Utah;UT House District 20
UT House District 21	Utah;UT House District 21
UT House District 22	Utah;UT House District 22
UT House District 23	Utah;UT House District 23
UT House District 24	Utah;UT House District 24
UT House District 25	Utah;UT House District 25
UT House District 26	Utah;UT House District 26
UT House District 27	Utah;UT House District 27
UT House District 28	Utah;UT House District 28
UT House District 29	Utah;UT House District 29
UT House District 30	Utah;UT House District 30
UT House District 31	Utah;UT House District 31
UT House District 32	Utah;UT House District 32
UT House District 33	Utah;UT House District 33
UT House District 34	Utah;UT House District 34
UT House District 35	Utah;UT House District 35
UT House District 36	Utah;UT House District 36
UT House District 37	Utah;UT House District 37
UT House District 38	Utah;UT House District 38
UT House District 39	Utah;UT House District 39
UT House District 40	Utah;UT House District 40
UT House District 41	Utah;UT House District 41
UT House District 42	Utah;UT House District 42
UT House District 43	Utah;UT House District 43
UT House District 44	Utah;UT House District 44
UT House District 45	Utah;UT House District 45
UT House District 46	Utah;UT House District 46
UT House District 47	Utah;UT House District 47
UT House District 48	Utah;UT House District 48
UT House District 49	Utah;UT House District 49
UT House District 50	Utah;UT House District 50
UT House District 51	Utah;UT House District 51
UT House District 52	Utah;UT House District 52
UT House District 53	Utah;UT House District 53
UT House District 54	Utah;UT House District 54
UT House District 55	Utah;UT House District 55
UT House District 56	Utah;UT House District 56
UT House District 57	Utah;UT House District 57
UT House District 58	Utah;UT House District 58
UT House District 59	Utah;UT House District 59
UT House District 60	Utah;UT House District 60
UT House District 61	Utah;UT House District 61
UT House District 62	Utah;UT House District 62
UT House District 63	Utah;UT House District 63
UT House District 64	Utah;UT House District 64
UT House District 65	Utah;UT House District 65
UT House District 66	Utah;UT House District 66
UT House District 67	Utah;UT House District 67
UT House District 68	Utah;UT House District 68
UT House District 69	Utah;UT House District 69
UT House District 70	Utah;UT House District 70
UT House District 71	Utah;UT House District 71
UT House District 72	Utah;UT House District 72
UT House District 73	Utah;UT House District 73
UT House District 74	Utah;UT House District 74
UT House District 75	Utah;UT House District 75
UT Senate District 1	Utah;UT Senate District 1
UT Senate District 2	Utah;UT Senate District 2
UT Senate District 3	Utah;UT Senate District 3
UT Senate District 4	Utah;UT Senate District 4
UT Senate District 5	Utah;UT Senate District 5
UT Senate District 6	Utah;UT Senate District 6
UT Senate District 7	Utah;UT Senate District 7
UT Senate District 8	Utah;UT Senate District 8
UT Senate District 9	Utah;UT Senate District 9
UT Senate District 10	Utah;UT Senate District 10
UT Senate District 11	Utah;UT Senate District 11
UT Senate District 12	Utah;UT Senate District 12
UT Senate District 13	Utah;UT Senate District 13
UT Senate District 14	Utah;UT Senate District 14
UT Senate District 15	Utah;UT Senate District 15
UT Senate District 16	Utah;UT Senate District 16
UT Senate District 17	Utah;UT Senate District 17
UT Senate District 18	Utah;UT Senate District 18
UT Senate District 19	Utah;UT Senate District 19
UT Senate District 20	Utah;UT Senate District 20
UT Senate District 21	Utah;UT Senate District 21
UT Senate District 22	Utah;UT Senate District 22
UT Senate District 23	Utah;UT Senate District 23
UT Senate District 24	Utah;UT Senate District 24
UT Senate District 25	Utah;UT Senate District 25
UT Senate District 26	Utah;UT Senate District 26
UT Senate District 27	Utah;UT Senate District 27
UT Senate District 28	Utah;UT Senate District 28
UT Senate District 29	Utah;UT Senate District 29
US House UT District 1	Utah;US House UT District 1
US House UT District 2	Utah;US House UT District 2
US House UT District 3	Utah;US House UT District 3
US House UT District 4	Utah;US House UT District 4
US President (UT)	Utah
UT Governor	Utah
US Senate UT	Utah
UT Attorney General	Utah
UT Lieutenant Governor	Utah
UT Treasurer	Utah
UT Secretary of State	Utah
