Name	ReportingUnitType
Utah;UT State Board of Education District 14	state-education-board-district
Utah;UT State Board of Education District 1	state-education-board-district
Utah;UT State Board of Education District 5	state-education-board-district
Utah;UT State Board of Education District 3	state-education-board-district
Utah;UT State Board of Education District 6	state-education-board-district
Utah;UT State Board of Education District 9	state-education-board-district
Utah;UT State Board of Education District 2	state-education-board-district
Utah;US House UT District 1	congressional
Utah;US House UT District 2	congressional
Utah;US House UT District 3	congressional
Utah;US House UT District 4	congressional
Utah;Beaver County	county
Utah;Box Elder County	county
Utah;Cache County	county
Utah;Carbon County	county
Utah;Daggett County	county
Utah;Davis County	county
Utah;Duchesne County	county
Utah;Emery County	county
Utah;Garfield County	county
Utah;Grand County	county
Utah;Iron County	county
Utah;Juab County	county
Utah;Kane County	county
Utah;Millard County	county
Utah;Morgan County	county
Utah;Piute County	county
Utah;Rich County	county
Utah;Salt Lake County	county
Utah;San Juan County	county
Utah;Sanpete County	county
Utah;Sevier County	county
Utah;Summit County	county
Utah;Tooele County	county
Utah;Uintah County	county
Utah;Utah County	county
Utah;Wasatch County	county
Utah;Washington County	county
Utah;Wayne County	county
Utah;Weber County	county
Utah	state
Utah;UT House District 1	state-house
Utah;UT House District 10	state-house
Utah;UT House District 11	state-house
Utah;UT House District 12	state-house
Utah;UT House District 13	state-house
Utah;UT House District 14	state-house
Utah;UT House District 15	state-house
Utah;UT House District 16	state-house
Utah;UT House District 17	state-house
Utah;UT House District 18	state-house
Utah;UT House District 19	state-house
Utah;UT House District 2	state-house
Utah;UT House District 20	state-house
Utah;UT House District 21	state-house
Utah;UT House District 22	state-house
Utah;UT House District 23	state-house
Utah;UT House District 24	state-house
Utah;UT House District 25	state-house
Utah;UT House District 26	state-house
Utah;UT House District 27	state-house
Utah;UT House District 28	state-house
Utah;UT House District 29	state-house
Utah;UT House District 3	state-house
Utah;UT House District 30	state-house
Utah;UT House District 31	state-house
Utah;UT House District 32	state-house
Utah;UT House District 33	state-house
Utah;UT House District 34	state-house
Utah;UT House District 35	state-house
Utah;UT House District 36	state-house
Utah;UT House District 37	state-house
Utah;UT House District 38	state-house
Utah;UT House District 39	state-house
Utah;UT House District 4	state-house
Utah;UT House District 40	state-house
Utah;UT House District 41	state-house
Utah;UT House District 42	state-house
Utah;UT House District 43	state-house
Utah;UT House District 44	state-house
Utah;UT House District 45	state-house
Utah;UT House District 46	state-house
Utah;UT House District 47	state-house
Utah;UT House District 48	state-house
Utah;UT House District 49	state-house
Utah;UT House District 5	state-house
Utah;UT House District 50	state-house
Utah;UT House District 51	state-house
Utah;UT House District 52	state-house
Utah;UT House District 53	state-house
Utah;UT House District 54	state-house
Utah;UT House District 55	state-house
Utah;UT House District 56	state-house
Utah;UT House District 57	state-house
Utah;UT House District 58	state-house
Utah;UT House District 59	state-house
Utah;UT House District 6	state-house
Utah;UT House District 60	state-house
Utah;UT House District 61	state-house
Utah;UT House District 62	state-house
Utah;UT House District 63	state-house
Utah;UT House District 64	state-house
Utah;UT House District 65	state-house
Utah;UT House District 66	state-house
Utah;UT House District 67	state-house
Utah;UT House District 68	state-house
Utah;UT House District 69	state-house
Utah;UT House District 7	state-house
Utah;UT House District 70	state-house
Utah;UT House District 71	state-house
Utah;UT House District 72	state-house
Utah;UT House District 73	state-house
Utah;UT House District 74	state-house
Utah;UT House District 75	state-house
Utah;UT House District 8	state-house
Utah;UT House District 9	state-house
Utah;UT Senate District 1	state-senate
Utah;UT Senate District 10	state-senate
Utah;UT Senate District 11	state-senate
Utah;UT Senate District 12	state-senate
Utah;UT Senate District 13	state-senate
Utah;UT Senate District 14	state-senate
Utah;UT Senate District 15	state-senate
Utah;UT Senate District 16	state-senate
Utah;UT Senate District 17	state-senate
Utah;UT Senate District 18	state-senate
Utah;UT Senate District 19	state-senate
Utah;UT Senate District 2	state-senate
Utah;UT Senate District 20	state-senate
Utah;UT Senate District 21	state-senate
Utah;UT Senate District 22	state-senate
Utah;UT Senate District 23	state-senate
Utah;UT Senate District 24	state-senate
Utah;UT Senate District 25	state-senate
Utah;UT Senate District 26	state-senate
Utah;UT Senate District 27	state-senate
Utah;UT Senate District 28	state-senate
Utah;UT Senate District 29	state-senate
Utah;UT Senate District 3	state-senate
Utah;UT Senate District 4	state-senate
Utah;UT Senate District 5	state-senate
Utah;UT Senate District 6	state-senate
Utah;UT Senate District 7	state-senate
Utah;UT Senate District 8	state-senate
Utah;UT Senate District 9	state-senate
