cdf_element	cdf_internal_name	raw_identifier_value
Candidate	<- did not match regex ^(.*) \([A-Z]{3}\)$	<- did not match regex ^(.*) \([A-Z]{3}\)$
Candidate	Al Gore	AL GORE
Candidate	Barack Obama	BARACK OBAMA
Candidate	Ben Mcadams	Ben Mcadams
Candidate	Blake David Moore	Blake David Moore
Candidate	Brock Pierce	Brock Pierce Karla Ballard
Candidate	Burgess Owens	Burgess Owens
Candidate	Chris Peterson	Chris Peterson Karina Brown
Candidate	Chris Stewart	Chris Stewart
Candidate	County <- did not match regex ^(.*) \([A-Z]{3}\)$County	County <- did not match regex ^(.*) \([A-Z]{3}\)$County
Candidate	Daniel Clyde Cummings	Daniel Clyde Cummings
Candidate	Daniel Rhead Cottam	Daniel Rhead Cottam Barry Evan Short
Candidate	Darren Parry	Darren Parry
Candidate	Devin D. Thorpe	Devin D. Thorpe
Candidate	Don Blankenship	Don Blankenship William Mohr
Candidate	Donald J. Trump	DONALD TRUMP
Candidate	Donald J. Trump	Donald J. Trump Michael R. Pence
Candidate	George W. Bush	GEORGE W. BUSH
Candidate	Gloria La Riva	Gloria La Riva
Candidate	Greg Duerden	Greg Duerden Wayne Hill
Candidate	Greg Skordas	Greg Skordas
Candidate	Hillary Clinton	HILLARY CLINTON
Candidate	Howie Hawkins	Howie Hawkins Angela Walker
Candidate	J. Robert Latham	J. Robert Latham
Candidate	Jo Jorgensen	Jo Jorgensen Jeremy Cohen
Candidate	Joe Mchugh	Joe Mchugh Elizabeth Storm
Candidate	John Curtis	John Curtis
Candidate	John Kerry	JOHN KERRY
Candidate	John McCain	JOHN MCCAIN
Candidate	John Molnar	John Molnar
Candidate	Jonia M Broderick	Jonia M Broderick
Candidate	Joseph R. Biden	Joseph R. Biden Kamala D. Harris
Candidate	Kael Weston	Kael Weston
Candidate	Kanye West	Kanye West Michelle Tidball
Candidate	Mitt Romney	MITT ROMNEY
Candidate	Other	OTHER
Candidate	Ralph Nader	RALPH NADER
Candidate	Rudy J. Bautista	Rudy J. Bautista
