BallotName	Party
  WRITE IN VOTES 	
BARRY CHANCE FREY 	Independent
BILLYE DUNCAN CUSTIS 	Independent
BRIAN BENJAMIN LANGLEY 	Independent
CHARLES RICHARD WILBUR 	Independent
CHRISTOPHER FRANK KREISL 	Independent
CLAUDIA CARPENTER HARMON 	Independent
CONNIE WIDGEON CAMPBELL 	Independent
COREY ALAN STEWART 	Republican
DAVID ALAN PEFFER 	Independent
DEBORAH TAYLOR MIDGETT 	Independent
ELAINE GOODMAN LURIA 	Democratic
ERIC TALMADGE HARRIS 	Independent
GREGORY JAMES SPADY 	Independent
HENRY EDWARD FINNEY 	Independent
JAMES DEAN BROWN 	Independent
JAMES NATHANIEL STURGIS 	Independent
JAMES ROBERT WILSON 	Independent
JASON EARL BYELICH 	Independent
JENNY KAYE KREISL 	Independent
JERRY DEAN SAVAGE 	Independent
JOHN LEWIS DENNIS Sr.	Independent
KIM RANDALL SAVAGE 	Independent
LOUELLA H FOX 	Independent
MATTHEW DOUGLAS HART 	Independent
MATTHEW JOSEPH WATERS 	Libertarian
MELVIN THOMAS BLISS Jr.	Independent
Michael Parker Barnes Jr.	Independent
RICHARD SCOTT CALLANDER 	Independent
ROSE MARY PIERSON 	Independent
SAMUEL HENRY BLOXOM Jr.	Independent
SCOTT WILLIAM TAYLOR 	Republican
STEPHEN JOSEPH HEARNE 	Independent
SUSAN MARY RILLO 	Independent
THEODORE Foster CATHEY  Jr.	Independent
THOMAS LEE WILLETT 	Independent
TIMOTHY MICHAEL KAINE 	Democratic
WILLIAM ROBERT FERGUSON 	Independent
WOODY WRAY ZEMBER 	Independent
THOMAS WAYNE BEASLEY 	Independent
JESSICA TAYLOR HARGIS 	Independent
DENVER LEE RIGGLEMAN III	Republican
LESLIE CORKILL COCKBURN 	Democratic
ANTHONY JUDE FLACCAVENTO 	Democratic
CARL DAVID BRINKLEY 	Independent
CHARLES WILLIAM UNROE 	Independent
DONALD MILLER HALL 	Independent
HOWARD MORGAN GRIFFITH 	Republican
JASON MICHAEL CORDOVA 	Independent
KAWAHNA CLARK PERSINGER 	Independent
PAMELA ELAINE MARSHALL 	Independent
RICHARD BROWN ERSKINE 	Independent
ROBERT JAMES UMSTEAD 	Independent
RONALD STEVEN GOINGS 	Independent
ABIGAIL ANNE DAVIS SPANBERGER 	Democratic
DAVID A BRAT 	Republican
JOSEPH BUCKLER WALTON 	Libertarian
BENJAMIN LEE CLINE 	Republican
DARRYL DWAYNE TUGGLE 	Independent
JANICE N WHEATON 	Independent
JENNIFER LYNN LEWIS 	Democratic
KENNETH GORDON BUNCH 	Independent
KENNETH SEAY WATTS 	Independent
RACHEL ANN CARTON 	Independent
SARAH BEAZLEY OGDEN 	Independent
AUDREY ROSE CLEMENT 	Independent
BARBARA JOAN KANNINEN 	Independent
DONALD STERNOFF BEYER Jr.	Democratic
JOHN E VIHSTADT 	Independent
MATTHEW DAVID DE FERRANTI 	Democratic
THOMAS SIYOUNG OH 	Republican
CLARENCE WAYNE STEPHENSON 	Independent
DAVID LEE RAYNES 	Independent
EMILY RITTENHOUSE HOLLOWAY 	Independent
JOANNE LOWERY PLASTER 	Write-In
JOSEPH SCOTT COLVIN Sr.	Independent
RICHARD LEE FOX 	Independent
VERONICA LEIGH MORAN 	Independent
BRUCE ERIK HARTWICK 	Independent
DARREN  SHOEN 	Independent
KIM J SNOW 	Republican
ROBERT THOMAS WANDREI 	Independent
