Name	ReportingUnitType
Virginia;ACCOMACK COUNTY	county
Virginia;ALBEMARLE COUNTY	county
Virginia;ALLEGHANY COUNTY	county
Virginia;AMELIA COUNTY	county
Virginia;AMHERST COUNTY	county
Virginia;APPOMATTOX COUNTY	county
Virginia;ARLINGTON COUNTY	county
Virginia;AUGUSTA COUNTY	county
Virginia;BATH COUNTY	county
Virginia;BEDFORD COUNTY	county
Virginia;BLAND COUNTY	county
Virginia;BOTETOURT COUNTY	county
Virginia;BRUNSWICK COUNTY	county
Virginia;BUCHANAN COUNTY	county
Virginia;BUCKINGHAM COUNTY	county
Virginia;CAMPBELL COUNTY	county
Virginia;CAROLINE COUNTY	county
Virginia;CARROLL COUNTY	county
Virginia;CHARLES CITY COUNTY	county
Virginia;CHARLOTTE COUNTY	county
Virginia;CHESTERFIELD COUNTY	county
Virginia;CLARKE COUNTY	county
Virginia;CRAIG COUNTY	county
Virginia;CULPEPER COUNTY	county
Virginia;CUMBERLAND COUNTY	county
Virginia;DICKENSON COUNTY	county
Virginia;DINWIDDIE COUNTY	county
Virginia;ESSEX COUNTY	county
Virginia;FAIRFAX COUNTY	county
Virginia;FAUQUIER COUNTY	county
Virginia;FLOYD COUNTY	county
Virginia;FLUVANNA COUNTY	county
Virginia;FRANKLIN COUNTY	county
Virginia;FREDERICK COUNTY	county
Virginia;GILES COUNTY	county
Virginia;GLOUCESTER COUNTY	county
Virginia;GOOCHLAND COUNTY	county
Virginia;GRAYSON COUNTY	county
Virginia;GREENE COUNTY	county
Virginia;GREENSVILLE COUNTY	county
Virginia;HALIFAX COUNTY	county
Virginia;HANOVER COUNTY	county
Virginia;HENRICO COUNTY	county
Virginia;HENRY COUNTY	county
Virginia;HIGHLAND COUNTY	county
Virginia;ISLE OF WIGHT COUNTY	county
Virginia;JAMES CITY COUNTY	county
Virginia;KING & QUEEN COUNTY	county
Virginia;KING GEORGE COUNTY	county
Virginia;KING WILLIAM COUNTY	county
Virginia;LANCASTER COUNTY	county
Virginia;LEE COUNTY	county
Virginia;LOUDOUN COUNTY	county
Virginia;LOUISA COUNTY	county
Virginia;LUNENBURG COUNTY	county
Virginia;MADISON COUNTY	county
Virginia;MATHEWS COUNTY	county
Virginia;MECKLENBURG COUNTY	county
Virginia;MIDDLESEX COUNTY	county
Virginia;MONTGOMERY COUNTY	county
Virginia;NELSON COUNTY	county
Virginia;NEW KENT COUNTY	county
Virginia;NORTHAMPTON COUNTY	county
Virginia;NORTHUMBERLAND COUNTY	county
Virginia;NOTTOWAY COUNTY	county
Virginia;ORANGE COUNTY	county
Virginia;PAGE COUNTY	county
Virginia;PATRICK COUNTY	county
Virginia;PITTSYLVANIA COUNTY	county
Virginia;POWHATAN COUNTY	county
Virginia;PRINCE EDWARD COUNTY	county
Virginia;PRINCE GEORGE COUNTY	county
Virginia;PRINCE WILLIAM COUNTY	county
Virginia;PULASKI COUNTY	county
Virginia;RAPPAHANNOCK COUNTY	county
Virginia;RICHMOND COUNTY	county
Virginia;ROANOKE COUNTY	county
Virginia;ROCKBRIDGE COUNTY	county
Virginia;ROCKINGHAM COUNTY	county
Virginia;RUSSELL COUNTY	county
Virginia;SCOTT COUNTY	county
Virginia;SHENANDOAH COUNTY	county
Virginia;SMYTH COUNTY	county
Virginia;SOUTHAMPTON COUNTY	county
Virginia;SPOTSYLVANIA COUNTY	county
Virginia;STAFFORD COUNTY	county
Virginia;SURRY COUNTY	county
Virginia;SUSSEX COUNTY	county
Virginia;TAZEWELL COUNTY	county
Virginia;WARREN COUNTY	county
Virginia;WASHINGTON COUNTY	county
Virginia;WESTMORELAND COUNTY	county
Virginia;WISE COUNTY	county
Virginia;WYTHE COUNTY	county
Virginia;YORK COUNTY	county
Virginia;ALEXANDRIA CITY	county
Virginia;BRISTOL CITY	county
Virginia;BUENA VISTA CITY	county
Virginia;CHARLOTTESVILLE CITY	county
Virginia;CHESAPEAKE CITY	county
Virginia;COLONIAL HEIGHTS CITY	county
Virginia;COVINGTON CITY	county
Virginia;DANVILLE CITY	county
Virginia;EMPORIA CITY	county
Virginia;FAIRFAX CITY	county
Virginia;FALLS CHURCH CITY	county
Virginia;FRANKLIN CITY	county
Virginia;FREDERICKSBURG CITY	county
Virginia;GALAX CITY	county
Virginia;HAMPTON CITY	county
Virginia;HARRISONBURG CITY	county
Virginia;HOPEWELL CITY	county
Virginia;LEXINGTON CITY	county
Virginia;LYNCHBURG CITY	county
Virginia;MANASSAS CITY	county
Virginia;MANASSAS PARK CITY	county
Virginia;MARTINSVILLE CITY	county
Virginia;NEWPORT NEWS CITY	county
Virginia;NORFOLK CITY	county
Virginia;NORTON CITY	county
Virginia;PETERSBURG CITY	county
Virginia;POQUOSON CITY	county
Virginia;PORTSMOUTH CITY	county
Virginia;RADFORD CITY	county
Virginia;RICHMOND CITY	county
Virginia;ROANOKE CITY	county
Virginia;SALEM CITY	county
Virginia;STAUNTON CITY	county
Virginia;SUFFOLK CITY	county
Virginia;VIRGINIA BEACH CITY	county
Virginia;WAYNESBORO CITY	county
Virginia;WILLIAMSBURG CITY	county
Virginia;WINCHESTER CITY	county
Virginia;ACCOMACK COUNTY;# AB - Central Absentee Precinct Precinct	precinct
Virginia;ACCOMACK COUNTY;## Provisional Precinct	precinct
Virginia;ACCOMACK COUNTY;101 - CHINCOTEAGUE Precinct	precinct
Virginia;ACCOMACK COUNTY;201 - ATLANTIC Precinct	precinct
Virginia;ACCOMACK COUNTY;202 - GREENBACKVILLE Precinct	precinct
Virginia;ACCOMACK COUNTY;301 - NEW CHURCH Precinct	precinct
Virginia;ACCOMACK COUNTY;401 - BLOXOM Precinct	precinct
Virginia;ACCOMACK COUNTY;402 - PARKSLEY Precinct	precinct
Virginia;ACCOMACK COUNTY;403 - SAXIS Precinct	precinct
Virginia;ACCOMACK COUNTY;501 - MAPPSVILLE Precinct	precinct
Virginia;ACCOMACK COUNTY;502 - RUE Precinct	precinct
Virginia;ACCOMACK COUNTY;601 - ACCOMAC Precinct	precinct
Virginia;ACCOMACK COUNTY;602 - TANGIER Precinct	precinct
Virginia;ACCOMACK COUNTY;701 - NANDUA Precinct	precinct
Virginia;ACCOMACK COUNTY;801 - BOBTOWN Precinct	precinct
Virginia;ACCOMACK COUNTY;802 - MELFA Precinct	precinct
Virginia;ACCOMACK COUNTY;803 - WACHAPREAGUE Precinct	precinct
Virginia;ACCOMACK COUNTY;901 - PAINTER Precinct	precinct
Virginia;ALBEMARLE COUNTY;# AB - Central Absentee Precinct Precinct	precinct
Virginia;ALBEMARLE COUNTY;## Provisional Precinct	precinct
Virginia;ALBEMARLE COUNTY;101 - WOODBROOK Precinct	precinct
Virginia;ALBEMARLE COUNTY;103 - BRANCHLANDS Precinct	precinct
Virginia;ALBEMARLE COUNTY;104 - AGNOR-HURT Precinct	precinct
Virginia;ALBEMARLE COUNTY;105 - DUNLORA Precinct	precinct
Virginia;ALBEMARLE COUNTY;106 - NORTHSIDE Precinct	precinct
Virginia;ALBEMARLE COUNTY;201 - JACK JOUETT Precinct	precinct
Virginia;ALBEMARLE COUNTY;202 - UNIVERSITY Precinct	precinct
Virginia;ALBEMARLE COUNTY;203 - GEORGETOWN Precinct	precinct
Virginia;ALBEMARLE COUNTY;301 - IVY Precinct	precinct
Virginia;ALBEMARLE COUNTY;302 - RED HILL Precinct	precinct
Virginia;ALBEMARLE COUNTY;304 - EAST IVY Precinct	precinct
Virginia;ALBEMARLE COUNTY;305 - COUNTRY GREEN Precinct	precinct
Virginia;ALBEMARLE COUNTY;306 - PORTERS Precinct	precinct
