Name	NumberElected	Office	PrimaryParty
VT House District 1	1	VT House District 1	
VT House District 2	1	VT House District 2	
VT House District 3	1	VT House District 3	
VT House District 4	1	VT House District 4	
VT House District 5	1	VT House District 5	
VT House District 6	1	VT House District 6	
VT House District 7	1	VT House District 7	
VT House District 8	1	VT House District 8	
VT House District 9	1	VT House District 9	
VT House District 10	1	VT House District 10	
VT House District 11	1	VT House District 11	
VT House District 12	1	VT House District 12	
VT House District 13	1	VT House District 13	
VT House District 14	1	VT House District 14	
VT House District 15	1	VT House District 15	
VT House District 16	1	VT House District 16	
VT House District 17	1	VT House District 17	
VT House District 18	1	VT House District 18	
VT House District 19	1	VT House District 19	
VT House District 20	1	VT House District 20	
VT House District 21	1	VT House District 21	
VT House District 22	1	VT House District 22	
VT House District 23	1	VT House District 23	
VT House District 24	1	VT House District 24	
VT House District 25	1	VT House District 25	
VT House District 26	1	VT House District 26	
VT House District 27	1	VT House District 27	
VT House District 28	1	VT House District 28	
VT House District 29	1	VT House District 29	
VT House District 30	1	VT House District 30	
VT House District 31	1	VT House District 31	
VT House District 32	1	VT House District 32	
VT House District 33	1	VT House District 33	
VT House District 34	1	VT House District 34	
VT House District 35	1	VT House District 35	
VT House District 36	1	VT House District 36	
VT House District 37	1	VT House District 37	
VT House District 38	1	VT House District 38	
VT House District 39	1	VT House District 39	
VT House District 40	1	VT House District 40	
VT House District 41	1	VT House District 41	
VT House District 42	1	VT House District 42	
VT House District 43	1	VT House District 43	
VT House District 44	1	VT House District 44	
VT House District 45	1	VT House District 45	
VT House District 46	1	VT House District 46	
VT House District 47	1	VT House District 47	
VT House District 48	1	VT House District 48	
VT House District 49	1	VT House District 49	
VT House District 50	1	VT House District 50	
VT House District 51	1	VT House District 51	
VT House District 52	1	VT House District 52	
VT House District 53	1	VT House District 53	
VT House District 54	1	VT House District 54	
VT House District 55	1	VT House District 55	
VT House District 56	1	VT House District 56	
VT House District 57	1	VT House District 57	
VT House District 58	1	VT House District 58	
VT House District 59	1	VT House District 59	
VT House District 60	1	VT House District 60	
VT House District 61	1	VT House District 61	
VT House District 62	1	VT House District 62	
VT House District 63	1	VT House District 63	
VT House District 64	1	VT House District 64	
VT House District 65	1	VT House District 65	
VT House District 66	1	VT House District 66	
VT House District 67	1	VT House District 67	
VT House District 68	1	VT House District 68	
VT House District 69	1	VT House District 69	
VT House District 70	1	VT House District 70	
VT House District 71	1	VT House District 71	
VT House District 72	1	VT House District 72	
VT House District 73	1	VT House District 73	
VT House District 74	1	VT House District 74	
VT House District 75	1	VT House District 75	
VT House District 76	1	VT House District 76	
VT House District 77	1	VT House District 77	
VT House District 78	1	VT House District 78	
VT House District 79	1	VT House District 79	
VT House District 80	1	VT House District 80	
VT House District 81	1	VT House District 81	
VT House District 82	1	VT House District 82	
VT House District 83	1	VT House District 83	
VT House District 84	1	VT House District 84	
VT House District 85	1	VT House District 85	
VT House District 86	1	VT House District 86	
VT House District 87	1	VT House District 87	
VT House District 88	1	VT House District 88	
VT House District 89	1	VT House District 89	
VT House District 90	1	VT House District 90	
VT House District 91	1	VT House District 91	
VT House District 92	1	VT House District 92	
VT House District 93	1	VT House District 93	
VT House District 94	1	VT House District 94	
VT House District 95	1	VT House District 95	
VT House District 96	1	VT House District 96	
VT House District 97	1	VT House District 97	
VT House District 98	1	VT House District 98	
VT House District 99	1	VT House District 99	
VT House District 100	1	VT House District 100	
VT House District 101	1	VT House District 101	
VT House District 102	1	VT House District 102	
VT House District 103	1	VT House District 103	
VT House District 104	1	VT House District 104	
VT House District 105	1	VT House District 105	
VT House District 106	1	VT House District 106	
VT House District 107	1	VT House District 107	
VT House District 108	1	VT House District 108	
VT House District 109	1	VT House District 109	
VT House District 110	1	VT House District 110	
VT House District 111	1	VT House District 111	
VT House District 112	1	VT House District 112	
VT House District 113	1	VT House District 113	
VT House District 114	1	VT House District 114	
VT House District 115	1	VT House District 115	
VT House District 116	1	VT House District 116	
VT House District 117	1	VT House District 117	
VT House District 118	1	VT House District 118	
VT House District 119	1	VT House District 119	
VT House District 120	1	VT House District 120	
VT House District 121	1	VT House District 121	
VT House District 122	1	VT House District 122	
VT House District 123	1	VT House District 123	
VT House District 124	1	VT House District 124	
VT House District 125	1	VT House District 125	
VT House District 126	1	VT House District 126	
VT House District 127	1	VT House District 127	
VT House District 128	1	VT House District 128	
VT House District 129	1	VT House District 129	
VT House District 130	1	VT House District 130	
VT House District 131	1	VT House District 131	
VT House District 132	1	VT House District 132	
VT House District 133	1	VT House District 133	
VT House District 134	1	VT House District 134	
VT House District 135	1	VT House District 135	
VT House District 136	1	VT House District 136	
VT House District 137	1	VT House District 137	
VT House District 138	1	VT House District 138	
VT House District 139	1	VT House District 139	
VT House District 140	1	VT House District 140	
VT House District 141	1	VT House District 141	
VT House District 142	1	VT House District 142	
