Name	ReportingUnitType
Vermont;VT House District 1	state-house
Vermont;VT House District 2	state-house
Vermont;VT House District 3	state-house
Vermont;VT House District 4	state-house
Vermont;VT House District 5	state-house
Vermont;VT House District 6	state-house
Vermont;VT House District 7	state-house
Vermont;VT House District 8	state-house
Vermont;VT House District 9	state-house
Vermont;VT House District 10	state-house
Vermont;VT House District 11	state-house
Vermont;VT House District 12	state-house
Vermont;VT House District 13	state-house
Vermont;VT House District 14	state-house
Vermont;VT House District 15	state-house
Vermont;VT House District 16	state-house
Vermont;VT House District 17	state-house
Vermont;VT House District 18	state-house
Vermont;VT House District 19	state-house
Vermont;VT House District 20	state-house
Vermont;VT House District 21	state-house
Vermont;VT House District 22	state-house
Vermont;VT House District 23	state-house
Vermont;VT House District 24	state-house
Vermont;VT House District 25	state-house
Vermont;VT House District 26	state-house
Vermont;VT House District 27	state-house
Vermont;VT House District 28	state-house
Vermont;VT House District 29	state-house
Vermont;VT House District 30	state-house
Vermont;VT House District 31	state-house
Vermont;VT House District 32	state-house
Vermont;VT House District 33	state-house
Vermont;VT House District 34	state-house
Vermont;VT House District 35	state-house
Vermont;VT House District 36	state-house
Vermont;VT House District 37	state-house
Vermont;VT House District 38	state-house
Vermont;VT House District 39	state-house
Vermont;VT House District 40	state-house
Vermont;VT House District 41	state-house
Vermont;VT House District 42	state-house
Vermont;VT House District 43	state-house
Vermont;VT House District 44	state-house
Vermont;VT House District 45	state-house
Vermont;VT House District 46	state-house
Vermont;VT House District 47	state-house
Vermont;VT House District 48	state-house
Vermont;VT House District 49	state-house
Vermont;VT House District 50	state-house
Vermont;VT House District 51	state-house
Vermont;VT House District 52	state-house
Vermont;VT House District 53	state-house
Vermont;VT House District 54	state-house
Vermont;VT House District 55	state-house
Vermont;VT House District 56	state-house
Vermont;VT House District 57	state-house
Vermont;VT House District 58	state-house
Vermont;VT House District 59	state-house
Vermont;VT House District 60	state-house
Vermont;VT House District 61	state-house
Vermont;VT House District 62	state-house
Vermont;VT House District 63	state-house
Vermont;VT House District 64	state-house
Vermont;VT House District 65	state-house
Vermont;VT House District 66	state-house
Vermont;VT House District 67	state-house
Vermont;VT House District 68	state-house
Vermont;VT House District 69	state-house
Vermont;VT House District 70	state-house
Vermont;VT House District 71	state-house
Vermont;VT House District 72	state-house
Vermont;VT House District 73	state-house
Vermont;VT House District 74	state-house
Vermont;VT House District 75	state-house
Vermont;VT House District 76	state-house
Vermont;VT House District 77	state-house
Vermont;VT House District 78	state-house
Vermont;VT House District 79	state-house
Vermont;VT House District 80	state-house
Vermont;VT House District 81	state-house
Vermont;VT House District 82	state-house
Vermont;VT House District 83	state-house
Vermont;VT House District 84	state-house
Vermont;VT House District 85	state-house
Vermont;VT House District 86	state-house
Vermont;VT House District 87	state-house
Vermont;VT House District 88	state-house
Vermont;VT House District 89	state-house
Vermont;VT House District 90	state-house
Vermont;VT House District 91	state-house
Vermont;VT House District 92	state-house
Vermont;VT House District 93	state-house
Vermont;VT House District 94	state-house
Vermont;VT House District 95	state-house
Vermont;VT House District 96	state-house
Vermont;VT House District 97	state-house
Vermont;VT House District 98	state-house
Vermont;VT House District 99	state-house
Vermont;VT House District 100	state-house
Vermont;VT House District 101	state-house
Vermont;VT House District 102	state-house
Vermont;VT House District 103	state-house
Vermont;VT House District 104	state-house
Vermont;VT House District 105	state-house
Vermont;VT House District 106	state-house
Vermont;VT House District 107	state-house
Vermont;VT House District 108	state-house
Vermont;VT House District 109	state-house
Vermont;VT House District 110	state-house
Vermont;VT House District 111	state-house
Vermont;VT House District 112	state-house
Vermont;VT House District 113	state-house
Vermont;VT House District 114	state-house
Vermont;VT House District 115	state-house
Vermont;VT House District 116	state-house
Vermont;VT House District 117	state-house
Vermont;VT House District 118	state-house
Vermont;VT House District 119	state-house
Vermont;VT House District 120	state-house
Vermont;VT House District 121	state-house
Vermont;VT House District 122	state-house
Vermont;VT House District 123	state-house
Vermont;VT House District 124	state-house
Vermont;VT House District 125	state-house
Vermont;VT House District 126	state-house
Vermont;VT House District 127	state-house
Vermont;VT House District 128	state-house
Vermont;VT House District 129	state-house
Vermont;VT House District 130	state-house
Vermont;VT House District 131	state-house
Vermont;VT House District 132	state-house
Vermont;VT House District 133	state-house
Vermont;VT House District 134	state-house
Vermont;VT House District 135	state-house
Vermont;VT House District 136	state-house
Vermont;VT House District 137	state-house
Vermont;VT House District 138	state-house
Vermont;VT House District 139	state-house
Vermont;VT House District 140	state-house
Vermont;VT House District 141	state-house
Vermont;VT House District 142	state-house
Vermont;VT House District 143	state-house
Vermont;VT House District 144	state-house
Vermont;VT House District 145	state-house
Vermont;VT House District 146	state-house
Vermont;VT House District 147	state-house
Vermont;VT House District 148	state-house
Vermont;VT House District 149	state-house
Vermont;VT House District 150	state-house
Vermont;VT House District 151	state-house
Vermont;VT House District 152	state-house
Vermont;VT House District 153	state-house
Vermont;VT House District 154	state-house
Vermont;VT House District 155	state-house
Vermont;VT House District 156	state-house
Vermont;VT House District 157	state-house
Vermont;VT House District 158	state-house
Vermont;VT Senate District 1	state-senate
Vermont;VT Senate District 2	state-senate
Vermont;VT Senate District 3	state-senate
Vermont;VT Senate District 4	state-senate
Vermont;VT Senate District 5	state-senate
Vermont;VT Senate District 6	state-senate
Vermont;VT Senate District 7	state-senate
Vermont;VT Senate District 8	state-senate
Vermont;VT Senate District 9	state-senate
Vermont;VT Senate District 10	state-senate
Vermont;VT Senate District 11	state-senate
Vermont;VT Senate District 12	state-senate
Vermont;VT Senate District 13	state-senate
Vermont;VT Senate District 14	state-senate
Vermont;VT Senate District 15	state-senate
Vermont;VT Senate District 16	state-senate
Vermont;VT Senate District 17	state-senate
Vermont;VT Senate District 18	state-senate
Vermont;VT Senate District 19	state-senate
Vermont;VT Senate District 20	state-senate
Vermont;VT Senate District 21	state-senate
Vermont;VT Senate District 22	state-senate
Vermont;VT Senate District 23	state-senate
Vermont;VT Senate District 24	state-senate
Vermont;VT Senate District 25	state-senate
Vermont;VT Senate District 26	state-senate
Vermont;VT Senate District 27	state-senate
Vermont;VT Senate District 28	state-senate
Vermont;VT Senate District 29	state-senate
Vermont;VT Senate District 30	state-senate
Vermont;US House VT District 1	congressional
Vermont	state
Vermont;Addison	town
Vermont;Albany	town
Vermont;Alburgh	town
Vermont;Andover	town
Vermont;Arlington	town
Vermont;Athens	town
Vermont;Bakersfield	town
Vermont;Baltimore	town
Vermont;Barnard	town
Vermont;Barnet	town
Vermont;Barre City	town
Vermont;Barre Town	town
Vermont;Barton	town
Vermont;Belvidere	town
Vermont;Bennington	town
Vermont;Benson	town
Vermont;Berkshire	town
Vermont;Berlin	town
Vermont;Bethel	town
Vermont;Bloomfield	town
Vermont;Bolton	town
Vermont;Bradford	town
Vermont;Braintree	town
Vermont;Brandon	town
Vermont;Brattleboro	town
Vermont;Bridgewater	town
Vermont;Bridport	town
Vermont;Brighton	town
Vermont;Bristol	town
Vermont;Brookfield	town
Vermont;Brookline	town
Vermont;Brownington	town
Vermont;Brunswick	town
Vermont;Burke	town
Vermont;Burlington	town
Vermont;Cabot	town
Vermont;Calais	town
Vermont;Cambridge	town
Vermont;Canaan	town
Vermont;Castleton	town
Vermont;Cavendish	town
Vermont;Charleston	town
Vermont;Charlotte	town
Vermont;Chelsea	town
Vermont;Chester	town
Vermont;Chittenden	town
Vermont;Clarendon	town
Vermont;Colchester	town
Vermont;Concord	town
Vermont;Corinth	town
Vermont;Cornwall	town
Vermont;Coventry	town
Vermont;Craftsbury	town
Vermont;Danby	town
Vermont;Danville	town
Vermont;Derby	town
Vermont;Dorset	town
Vermont;Dover	town
Vermont;Dummerston	town
Vermont;Duxbury	town
Vermont;East Haven	town
Vermont;East Montpelier	town
Vermont;Eden	town
Vermont;Elmore	town
Vermont;Enosburgh	town
Vermont;Essex	town
Vermont;Fair Haven	town
Vermont;Fairfax	town
Vermont;Fairfield	town
Vermont;Fairlee	town
Vermont;Fayston	town
Vermont;Ferrisburgh	town
Vermont;Fletcher	town
Vermont;Franklin	town
Vermont;Georgia	town
Vermont;Glover	town
Vermont;Goshen	town
Vermont;Grafton	town
Vermont;Granby	town
Vermont;Grand Isle	town
Vermont;Granville	town
Vermont;Greensboro	town
Vermont;Groton	town
Vermont;Guildhall	town
Vermont;Guilford	town
Vermont;Halifax	town
Vermont;Hancock	town
Vermont;Hardwick	town
Vermont;Hartford	town
Vermont;Hartland	town
Vermont;Highgate	town
Vermont;Hinesburg	town
Vermont;Holland	town
Vermont;Hubbardton	town
Vermont;Huntington	town
Vermont;Hyde Park	town
Vermont;Ira	town
Vermont;Irasburg	town
Vermont;Isle La Motte	town
Vermont;Jamaica	town
Vermont;Jay	town
Vermont;Jericho	town
Vermont;Johnson	town
Vermont;Killington	town
Vermont;Kirby	town
Vermont;Landgrove	town
Vermont;Leicester	town
Vermont;Lemington	town
Vermont;Lincoln	town
Vermont;Londonderry	town
Vermont;Lowell	town
Vermont;Ludlow	town
Vermont;Lunenburg	town
Vermont;Lyndon	town
Vermont;Maidstone	town
Vermont;Manchester	town
Vermont;Marlboro	town
Vermont;Marshfield	town
Vermont;Mendon	town
Vermont;Middlebury	town
Vermont;Middlesex	town
Vermont;Middletown Springs	town
Vermont;Milton	town
Vermont;Monkton	town
Vermont;Montgomery	town
Vermont;Montpelier	town
Vermont;Moretown	town
Vermont;Morgan	town
Vermont;Morristown	town
Vermont;Mount Holly	town
Vermont;Mount Tabor	town
Vermont;New Haven	town
Vermont;Newark	town
Vermont;Newbury	town
Vermont;Newfane	town
Vermont;Newport City	town
Vermont;Newport Town	town
Vermont;North Hero	town
Vermont;Northfield	town
Vermont;Norton	town
Vermont;Norwich	town
Vermont;Orange	town
Vermont;Orwell	town
Vermont;Panton	town
Vermont;Pawlet	town
Vermont;Peacham	town
Vermont;Peru	town
Vermont;Pittsfield	town
Vermont;Pittsford	town
Vermont;Plainfield	town
Vermont;Plymouth	town
Vermont;Pomfret	town
Vermont;Poultney	town
Vermont;Pownal	town
Vermont;Proctor	town
Vermont;Putney	town
Vermont;Randolph	town
Vermont;Reading	town
Vermont;Readsboro	town
Vermont;Richford	town
Vermont;Richmond	town
Vermont;Ripton	town
Vermont;Rochester	town
Vermont;Rockingham	town
Vermont;Roxbury	town
Vermont;Royalton	town
Vermont;Rupert	town
Vermont;Rutland City	town
Vermont;Rutland Town	town
Vermont;Ryegate	town
Vermont;Saint Albans City	town
Vermont;Saint Albans Town	town
Vermont;Saint George	town
Vermont;Saint Johnsbury	town
Vermont;Salisbury	town
Vermont;Sandgate	town
Vermont;Searsburg	town
Vermont;Shaftsbury	town
Vermont;Sharon	town
