Name	NumberElected	Office	PrimaryParty
WA Senate District 1	1	WA Senate District 1
WA Senate District 2	1	WA Senate District 2	
WA Senate District 3	1	WA Senate District 3	
WA Senate District 4	1	WA Senate District 4	
WA Senate District 5	1	WA Senate District 5	
WA Senate District 6	1	WA Senate District 6	
WA Senate District 7	1	WA Senate District 7	
WA Senate District 8	1	WA Senate District 8	
WA Senate District 9	1	WA Senate District 9	
WA Senate District 10	1	WA Senate District 10	
WA Senate District 11	1	WA Senate District 11	
WA Senate District 12	1	WA Senate District 12	
WA Senate District 13	1	WA Senate District 13	
WA Senate District 14	1	WA Senate District 14	
WA Senate District 15	1	WA Senate District 15	
WA Senate District 16	1	WA Senate District 16	
WA Senate District 17	1	WA Senate District 17	
WA Senate District 18	1	WA Senate District 18	
WA Senate District 19	1	WA Senate District 19	
WA Senate District 20	1	WA Senate District 20	
WA Senate District 21	1	WA Senate District 21	
WA Senate District 22	1	WA Senate District 22	
WA Senate District 23	1	WA Senate District 23	
WA Senate District 24	1	WA Senate District 24	
WA Senate District 25	1	WA Senate District 25	
WA Senate District 26	1	WA Senate District 26	
WA Senate District 27	1	WA Senate District 27	
WA Senate District 28	1	WA Senate District 28	
WA Senate District 29	1	WA Senate District 29	
WA Senate District 30	1	WA Senate District 30	
WA Senate District 31	1	WA Senate District 31	
WA Senate District 32	1	WA Senate District 32	
WA Senate District 33	1	WA Senate District 33	
WA Senate District 34	1	WA Senate District 34	
WA Senate District 35	1	WA Senate District 35	
WA Senate District 36	1	WA Senate District 36	
WA Senate District 37	1	WA Senate District 37	
WA Senate District 38	1	WA Senate District 38	
WA Senate District 39	1	WA Senate District 39	
WA Senate District 40	1	WA Senate District 40	
WA Senate District 41	1	WA Senate District 41	
WA Senate District 42	1	WA Senate District 42	
WA Senate District 43	1	WA Senate District 43	
WA Senate District 44	1	WA Senate District 44	
WA Senate District 45	1	WA Senate District 45	
WA Senate District 46	1	WA Senate District 46	
WA Senate District 47	1	WA Senate District 47	
WA Senate District 48	1	WA Senate District 48	
WA Senate District 49	1	WA Senate District 49	
US House WA District 1	1	US House WA District 1	
US House WA District 2	1	US House WA District 2	
US House WA District 3	1	US House WA District 3	
US House WA District 4	1	US House WA District 4	
US House WA District 5	1	US House WA District 5	
US House WA District 6	1	US House WA District 6	
US House WA District 7	1	US House WA District 7	
US House WA District 8	1	US House WA District 8	
US House WA District 9	1	US House WA District 9	
US House WA District 10	1	US House WA District 10	
US President (WA)	1	US President (WA)	
WA Governor	1	WA Governor	
US Senate WA	1	US Senate WA	
WA Attorney General	1	WA Attorney General	
WA Lieutenant Governor	1	WA Lieutenant Governor	
WA Treasurer	1	WA Treasurer	
WA Secretary of State	1	WA Secretary of State	
