Name	ElectionDistrict
WA House District 1	Washington;WA House District 1
WA House District 2	Washington;WA House District 2
WA House District 3	Washington;WA House District 3
WA House District 4	Washington;WA House District 4
WA House District 5	Washington;WA House District 5
WA House District 6	Washington;WA House District 6
WA House District 7	Washington;WA House District 7
WA House District 8	Washington;WA House District 8
WA House District 9	Washington;WA House District 9
WA House District 10	Washington;WA House District 10
WA House District 11	Washington;WA House District 11
WA House District 12	Washington;WA House District 12
WA House District 13	Washington;WA House District 13
WA House District 14	Washington;WA House District 14
WA House District 15	Washington;WA House District 15
WA House District 16	Washington;WA House District 16
WA House District 17	Washington;WA House District 17
WA House District 18	Washington;WA House District 18
WA House District 19	Washington;WA House District 19
WA House District 20	Washington;WA House District 20
WA House District 21	Washington;WA House District 21
WA House District 22	Washington;WA House District 22
WA House District 23	Washington;WA House District 23
WA House District 24	Washington;WA House District 24
WA House District 25	Washington;WA House District 25
WA House District 26	Washington;WA House District 26
WA House District 27	Washington;WA House District 27
WA House District 28	Washington;WA House District 28
WA House District 29	Washington;WA House District 29
WA House District 30	Washington;WA House District 30
WA House District 31	Washington;WA House District 31
WA House District 32	Washington;WA House District 32
WA House District 33	Washington;WA House District 33
WA House District 34	Washington;WA House District 34
WA House District 35	Washington;WA House District 35
WA House District 36	Washington;WA House District 36
WA House District 37	Washington;WA House District 37
WA House District 38	Washington;WA House District 38
WA House District 39	Washington;WA House District 39
WA House District 40	Washington;WA House District 40
WA House District 41	Washington;WA House District 41
WA House District 42	Washington;WA House District 42
WA House District 43	Washington;WA House District 43
WA House District 44	Washington;WA House District 44
WA House District 45	Washington;WA House District 45
WA House District 46	Washington;WA House District 46
WA House District 47	Washington;WA House District 47
WA House District 48	Washington;WA House District 48
WA House District 49	Washington;WA House District 49
WA House District 50	Washington;WA House District 50
WA House District 51	Washington;WA House District 51
WA House District 52	Washington;WA House District 52
WA House District 53	Washington;WA House District 53
WA House District 54	Washington;WA House District 54
WA House District 55	Washington;WA House District 55
WA House District 56	Washington;WA House District 56
WA House District 57	Washington;WA House District 57
WA House District 58	Washington;WA House District 58
WA House District 59	Washington;WA House District 59
WA House District 60	Washington;WA House District 60
WA House District 61	Washington;WA House District 61
WA House District 62	Washington;WA House District 62
WA House District 63	Washington;WA House District 63
WA House District 64	Washington;WA House District 64
WA House District 65	Washington;WA House District 65
WA House District 66	Washington;WA House District 66
WA House District 67	Washington;WA House District 67
WA House District 68	Washington;WA House District 68
WA House District 69	Washington;WA House District 69
WA House District 70	Washington;WA House District 70
WA House District 71	Washington;WA House District 71
WA House District 72	Washington;WA House District 72
WA House District 73	Washington;WA House District 73
WA House District 74	Washington;WA House District 74
WA House District 75	Washington;WA House District 75
WA House District 76	Washington;WA House District 76
WA House District 77	Washington;WA House District 77
WA House District 78	Washington;WA House District 78
WA House District 79	Washington;WA House District 79
WA House District 80	Washington;WA House District 80
WA House District 81	Washington;WA House District 81
WA House District 82	Washington;WA House District 82
WA House District 83	Washington;WA House District 83
WA House District 84	Washington;WA House District 84
WA House District 85	Washington;WA House District 85
WA House District 86	Washington;WA House District 86
WA House District 87	Washington;WA House District 87
WA House District 88	Washington;WA House District 88
WA House District 89	Washington;WA House District 89
WA House District 90	Washington;WA House District 90
WA House District 91	Washington;WA House District 91
WA House District 92	Washington;WA House District 92
WA House District 93	Washington;WA House District 93
WA House District 94	Washington;WA House District 94
WA House District 95	Washington;WA House District 95
