Name	NumberElected	Office	PrimaryParty
WV House District 1	2	WV House District 1	
WV House District 10	3	WV House District 10	
WV House District 11	1	WV House District 11	
WV House District 12	1	WV House District 12	
WV House District 13	2	WV House District 13	
WV House District 14	1	WV House District 14	
WV House District 15	1	WV House District 15	
WV House District 16	3	WV House District 16	
WV House District 17	2	WV House District 17	
WV House District 18	1	WV House District 18	
WV House District 19	2	WV House District 19	
WV House District 2	1	WV House District 2	
WV House District 20	1	WV House District 20	
WV House District 21	1	WV House District 21	
WV House District 22	2	WV House District 22	
WV House District 23	1	WV House District 23	
WV House District 24	2	WV House District 24	
WV House District 25	1	WV House District 25	
WV House District 26	1	WV House District 26	
WV House District 27	3	WV House District 27	
WV House District 28	2	WV House District 28	
WV House District 29	1	WV House District 29	
WV House District 3	2	WV House District 3	
WV House District 30	1	WV House District 30	
WV House District 31	1	WV House District 31	
WV House District 32	3	WV House District 32	
WV House District 33	1	WV House District 33	
WV House District 34	1	WV House District 34	
WV House District 35	4	WV House District 35	
WV House District 36	3	WV House District 36	
WV House District 37	1	WV House District 37	
WV House District 38	1	WV House District 38	
WV House District 39	1	WV House District 39	
WV House District 4	2	WV House District 4	
WV House District 40	1	WV House District 40	
WV House District 41	1	WV House District 41	
WV House District 42	2	WV House District 42	
WV House District 43	2	WV House District 43	
WV House District 44	1	WV House District 44	
WV House District 45	1	WV House District 45	
WV House District 46	1	WV House District 46	
WV House District 47	1	WV House District 47	
WV House District 48	4	WV House District 48	
WV House District 49	1	WV House District 49	
WV House District 5	1	WV House District 5	
WV House District 50	3	WV House District 50	
WV House District 51	5	WV House District 51	
WV House District 52	1	WV House District 52	
WV House District 53	1	WV House District 53	
WV House District 54	1	WV House District 54	
WV House District 55	1	WV House District 55	
WV House District 56	1	WV House District 56	
WV House District 57	1	WV House District 57	
WV House District 58	1	WV House District 58	
WV House District 59	1	WV House District 59	
WV House District 6	1	WV House District 6	
WV House District 60	1	WV House District 60	
WV House District 61	1	WV House District 61	
WV House District 62	1	WV House District 62	
WV House District 63	1	WV House District 63	
WV House District 64	1	WV House District 64	
WV House District 65	1	WV House District 65	
WV House District 66	1	WV House District 66	
WV House District 67	1	WV House District 67	
WV House District 7	1	WV House District 7	
WV House District 8	1	WV House District 8	
WV House District 9	1	WV House District 9	
WV House District 68	1	WV House District 68	
WV House District 69	1	WV House District 69	
WV House District 70	1	WV House District 70	
WV House District 71	1	WV House District 71	
WV House District 72	1	WV House District 72	
WV House District 73	1	WV House District 73	
WV House District 74	1	WV House District 74	
WV House District 75	1	WV House District 75	
WV House District 76	1	WV House District 76	
WV House District 77	1	WV House District 77	
WV House District 78	1	WV House District 78	
WV House District 79	1	WV House District 79	
WV House District 80	1	WV House District 80	
WV House District 81	1	WV House District 81	
WV House District 82	1	WV House District 82	
WV House District 83	1	WV House District 83	
WV House District 84	1	WV House District 84	
WV House District 85	1	WV House District 85	
WV House District 86	1	WV House District 86	
WV House District 87	1	WV House District 87	
WV House District 88	1	WV House District 88	
WV House District 89	1	WV House District 89	
WV House District 90	1	WV House District 90	
WV House District 91	1	WV House District 91	
WV House District 92	1	WV House District 92	
WV House District 93	1	WV House District 93	
WV House District 94	1	WV House District 94	
WV House District 95	1	WV House District 95	
WV House District 96	1	WV House District 96	
WV House District 97	1	WV House District 97	
WV House District 98	1	WV House District 98	
WV House District 99	1	WV House District 99	
WV House District 100	1	WV House District 100	
WV Senate District 1	1	WV Senate District 1	
WV Senate District 2	1	WV Senate District 2	
WV Senate District 3	1	WV Senate District 3	
WV Senate District 4	1	WV Senate District 4	
WV Senate District 5	1	WV Senate District 5	
WV Senate District 6	1	WV Senate District 6	
WV Senate District 7	1	WV Senate District 7	
WV Senate District 8	1	WV Senate District 8	
WV Senate District 9	1	WV Senate District 9	
WV Senate District 10	1	WV Senate District 10	
WV Senate District 11	1	WV Senate District 11	
WV Senate District 12	1	WV Senate District 12	
WV Senate District 13	1	WV Senate District 13	
WV Senate District 14	1	WV Senate District 14	
WV Senate District 15	1	WV Senate District 15	
WV Senate District 16	1	WV Senate District 16	
WV Senate District 17	1	WV Senate District 17	
WV Senate District 18	1	WV Senate District 18	
WV Senate District 19	1	WV Senate District 19	
WV Senate District 20	1	WV Senate District 20	
WV Senate District 21	1	WV Senate District 21	
WV Senate District 22	1	WV Senate District 22	
WV Senate District 23	1	WV Senate District 23	
WV Senate District 24	1	WV Senate District 24	
WV Senate District 25	1	WV Senate District 25	
WV Senate District 26	1	WV Senate District 26	
WV Senate District 27	1	WV Senate District 27	
WV Senate District 28	1	WV Senate District 28	
WV Senate District 29	1	WV Senate District 29	
WV Senate District 30	1	WV Senate District 30	
WV Senate District 31	1	WV Senate District 31	
WV Senate District 32	1	WV Senate District 32	
WV Senate District 33	1	WV Senate District 33	
WV Senate District 34	1	WV Senate District 34	
US House WV District 1	1	US House WV District 1	
US House WV District 2	1	US House WV District 2	
US House WV District 3	1	US House WV District 3	
US President (WV)	1	US President (WV)	
WV Governor	1	WV Governor	
US Senate WV	1	US Senate WV	
WV Attorney General	1	WV Attorney General	
WV Auditor	1	WV Auditor
WV Commissioner of Agriculture	1	WV Commissioner of Agriculture
WV Treasurer	1	WV Treasurer
WV Secretary of State	1	WV Secretary of State
WV Justice of The Supreme Court of Appeals - Division 1	1	WV Justice of The Supreme Court of Appeals - Division 1
WV Justice of The Supreme Court of Appeals - Division 2	1	WV Justice of The Supreme Court of Appeals - Division 2

