Name	NumberElected	Office	PrimaryParty
WI Attorney General	1	WI Attorney General	
WI Governor	1	WI Governor	
US President (WI)	1	US President (WI)	
US House WI District 1	1	US House WI District 1	
US House WI District 2	1	US House WI District 2	
US House WI District 3	1	US House WI District 3	
US House WI District 4	1	US House WI District 4	
US House WI District 5	1	US House WI District 5	
US House WI District 6	1	US House WI District 6	
US House WI District 7	1	US House WI District 7	
US House WI District 8	1	US House WI District 8	
WI House District 1	1	WI House District 1	
WI House District 10	1	WI House District 10	
WI House District 11	1	WI House District 11	
WI House District 12	1	WI House District 12	
WI House District 13	1	WI House District 13	
WI House District 14	1	WI House District 14	
WI House District 15	1	WI House District 15	
WI House District 16	1	WI House District 16	
WI House District 17	1	WI House District 17	
WI House District 18	1	WI House District 18	
WI House District 19	1	WI House District 19	
WI House District 2	1	WI House District 2	
WI House District 20	1	WI House District 20	
WI House District 21	1	WI House District 21	
WI House District 22	1	WI House District 22	
WI House District 23	1	WI House District 23	
WI House District 24	1	WI House District 24	
WI House District 25	1	WI House District 25	
WI House District 26	1	WI House District 26	
WI House District 27	1	WI House District 27	
WI House District 28	1	WI House District 28	
WI House District 29	1	WI House District 29	
WI House District 3	1	WI House District 3	
WI House District 30	1	WI House District 30	
WI House District 31	1	WI House District 31	
WI House District 32	1	WI House District 32	
WI House District 33	1	WI House District 33	
WI House District 34	1	WI House District 34	
WI House District 35	1	WI House District 35	
WI House District 36	1	WI House District 36	
WI House District 37	1	WI House District 37	
WI House District 38	1	WI House District 38	
WI House District 39	1	WI House District 39	
WI House District 4	1	WI House District 4	
WI House District 40	1	WI House District 40	
WI House District 41	1	WI House District 41	
WI House District 42	1	WI House District 42	
WI House District 43	1	WI House District 43	
WI House District 44	1	WI House District 44	
WI House District 45	1	WI House District 45	
WI House District 46	1	WI House District 46	
WI House District 47	1	WI House District 47	
WI House District 48	1	WI House District 48	
WI House District 49	1	WI House District 49	
WI House District 5	1	WI House District 5	
WI House District 50	1	WI House District 50	
WI House District 51	1	WI House District 51	
WI House District 52	1	WI House District 52	
WI House District 53	1	WI House District 53	
WI House District 54	1	WI House District 54	
WI House District 55	1	WI House District 55	
WI House District 56	1	WI House District 56	
WI House District 57	1	WI House District 57	
WI House District 58	1	WI House District 58	
WI House District 59	1	WI House District 59	
WI House District 6	1	WI House District 6	
WI House District 60	1	WI House District 60	
WI House District 61	1	WI House District 61	
WI House District 62	1	WI House District 62	
WI House District 63	1	WI House District 63	
WI House District 64	1	WI House District 64	
WI House District 65	1	WI House District 65	
WI House District 66	1	WI House District 66	
WI House District 67	1	WI House District 67	
WI House District 68	1	WI House District 68	
WI House District 69	1	WI House District 69	
WI House District 7	1	WI House District 7	
WI House District 70	1	WI House District 70	
WI House District 71	1	WI House District 71	
WI House District 72	1	WI House District 72	
WI House District 73	1	WI House District 73	
WI House District 74	1	WI House District 74	
WI House District 75	1	WI House District 75	
WI House District 76	1	WI House District 76	
WI House District 77	1	WI House District 77	
WI House District 78	1	WI House District 78	
WI House District 79	1	WI House District 79	
WI House District 8	1	WI House District 8	
WI House District 80	1	WI House District 80	
WI House District 81	1	WI House District 81	
WI House District 82	1	WI House District 82	
WI House District 83	1	WI House District 83	
WI House District 84	1	WI House District 84	
WI House District 85	1	WI House District 85	
WI House District 86	1	WI House District 86	
WI House District 87	1	WI House District 87	
WI House District 88	1	WI House District 88	
WI House District 89	1	WI House District 89	
WI House District 9	1	WI House District 9	
WI House District 90	1	WI House District 90	
WI House District 91	1	WI House District 91	
WI House District 92	1	WI House District 92	
WI House District 93	1	WI House District 93	
WI House District 94	1	WI House District 94	
WI House District 95	1	WI House District 95	
WI House District 96	1	WI House District 96	
WI House District 97	1	WI House District 97	
WI House District 98	1	WI House District 98	
WI House District 99	1	WI House District 99	
WI Secretary of State	1	WI Secretary of State	
WI Senate District 1	1	WI Senate District 1	
WI Senate District 10	1	WI Senate District 10	
WI Senate District 11	1	WI Senate District 11	
WI Senate District 12	1	WI Senate District 12	
WI Senate District 13	1	WI Senate District 13	
WI Senate District 14	1	WI Senate District 14	
WI Senate District 15	1	WI Senate District 15	
WI Senate District 16	1	WI Senate District 16	
WI Senate District 17	1	WI Senate District 17	
WI Senate District 18	1	WI Senate District 18	
WI Senate District 19	1	WI Senate District 19	
WI Senate District 2	1	WI Senate District 2	
WI Senate District 20	1	WI Senate District 20	
WI Senate District 21	1	WI Senate District 21	
WI Senate District 22	1	WI Senate District 22	
WI Senate District 23	1	WI Senate District 23	
