Name	ElectionDistrict
US House WI District 1	Wisconsin;US House WI District 1
US House WI District 2	Wisconsin;US House WI District 2
US House WI District 3	Wisconsin;US House WI District 3
US House WI District 4	Wisconsin;US House WI District 4
US House WI District 5	Wisconsin;US House WI District 5
US House WI District 6	Wisconsin;US House WI District 6
US House WI District 7	Wisconsin;US House WI District 7
US House WI District 8	Wisconsin;US House WI District 8
US President (WI)	Wisconsin
US Senate WI	Wisconsin
WI Attorney General	Wisconsin
WI Governor	Wisconsin
WI House District 1	Wisconsin;WI House District 1
WI House District 10	Wisconsin;WI House District 10
WI House District 11	Wisconsin;WI House District 11
WI House District 12	Wisconsin;WI House District 12
WI House District 13	Wisconsin;WI House District 13
WI House District 14	Wisconsin;WI House District 14
WI House District 15	Wisconsin;WI House District 15
WI House District 16	Wisconsin;WI House District 16
WI House District 17	Wisconsin;WI House District 17
WI House District 18	Wisconsin;WI House District 18
WI House District 19	Wisconsin;WI House District 19
WI House District 2	Wisconsin;WI House District 2
WI House District 20	Wisconsin;WI House District 20
WI House District 21	Wisconsin;WI House District 21
WI House District 22	Wisconsin;WI House District 22
WI House District 23	Wisconsin;WI House District 23
WI House District 24	Wisconsin;WI House District 24
WI House District 25	Wisconsin;WI House District 25
WI House District 26	Wisconsin;WI House District 26
WI House District 27	Wisconsin;WI House District 27
WI House District 28	Wisconsin;WI House District 28
WI House District 29	Wisconsin;WI House District 29
WI House District 3	Wisconsin;WI House District 3
WI House District 30	Wisconsin;WI House District 30
WI House District 31	Wisconsin;WI House District 31
WI House District 32	Wisconsin;WI House District 32
WI House District 33	Wisconsin;WI House District 33
WI House District 34	Wisconsin;WI House District 34
WI House District 35	Wisconsin;WI House District 35
WI House District 36	Wisconsin;WI House District 36
WI House District 37	Wisconsin;WI House District 37
WI House District 38	Wisconsin;WI House District 38
WI House District 39	Wisconsin;WI House District 39
WI House District 4	Wisconsin;WI House District 4
WI House District 40	Wisconsin;WI House District 40
WI House District 41	Wisconsin;WI House District 41
WI House District 42	Wisconsin;WI House District 42
WI House District 43	Wisconsin;WI House District 43
WI House District 44	Wisconsin;WI House District 44
WI House District 45	Wisconsin;WI House District 45
WI House District 46	Wisconsin;WI House District 46
WI House District 47	Wisconsin;WI House District 47
WI House District 48	Wisconsin;WI House District 48
WI House District 49	Wisconsin;WI House District 49
WI House District 5	Wisconsin;WI House District 5
WI House District 50	Wisconsin;WI House District 50
