Name	ReportingUnitType
Wisconsin	State
Wisconsin;Adams County	county
Wisconsin;Ashland County	county
Wisconsin;Barron County	county
Wisconsin;Bayfield County	county
Wisconsin;Brown County	county
Wisconsin;Buffalo County	county
Wisconsin;Burnett County	county
Wisconsin;Calumet County	county
Wisconsin;Chippewa County	county
Wisconsin;Clark County	county
Wisconsin;Columbia County	county
Wisconsin;Crawford County	county
Wisconsin;Dane County	county
Wisconsin;Dodge County	county
Wisconsin;Door County	county
Wisconsin;Douglas County	county
Wisconsin;Dunn County	county
Wisconsin;Eau Claire County	county
Wisconsin;Florence County	county
Wisconsin;Fond du Lac County	county
Wisconsin;Forest County	county
Wisconsin;Grant County	county
Wisconsin;Green County	county
Wisconsin;Green Lake County	county
Wisconsin;Iowa County	county
Wisconsin;Iron County	county
Wisconsin;Jackson County	county
Wisconsin;Jefferson County	county
Wisconsin;Juneau County	county
Wisconsin;Kenosha County	county
Wisconsin;Kewaunee County	county
Wisconsin;La Crosse County	county
Wisconsin;Lafayette County	county
Wisconsin;Langlade County	county
Wisconsin;Lincoln County	county
Wisconsin;Manitowoc County	county
Wisconsin;Marathon County	county
Wisconsin;Marinette County	county
Wisconsin;Marquette County	county
Wisconsin;Menominee County	county
Wisconsin;Milwaukee County	county
Wisconsin;Monroe County	county
Wisconsin;Oconto County	county
Wisconsin;Oneida County	county
Wisconsin;Outagamie County	county
Wisconsin;Ozaukee County	county
Wisconsin;Pepin County	county
Wisconsin;Pierce County	county
Wisconsin;Polk County	county
Wisconsin;Portage County	county
Wisconsin;Price County	county
Wisconsin;Racine County	county
Wisconsin;Richland County	county
Wisconsin;Rock County	county
Wisconsin;Rusk County	county
Wisconsin;Sauk County	county
Wisconsin;Sawyer County	county
Wisconsin;Shawano County	county
Wisconsin;Sheboygan County	county
Wisconsin;St. Croix County	county
Wisconsin;Taylor County	county
Wisconsin;Trempealeau County	county
Wisconsin;US House WI District 1	congressional
Wisconsin;US House WI District 2	congressional
Wisconsin;US House WI District 3	congressional
Wisconsin;US House WI District 4	congressional
Wisconsin;US House WI District 5	congressional
Wisconsin;US House WI District 6	congressional
Wisconsin;US House WI District 7	congressional
Wisconsin;US House WI District 8	congressional
Wisconsin;Vernon County	county
Wisconsin;Vilas County	county
Wisconsin;WI House District 1	state-house
Wisconsin;WI House District 10	state-house
Wisconsin;WI House District 11	state-house
Wisconsin;WI House District 12	state-house
Wisconsin;WI House District 13	state-house
Wisconsin;WI House District 14	state-house
Wisconsin;WI House District 15	state-house
Wisconsin;WI House District 16	state-house
Wisconsin;WI House District 17	state-house
Wisconsin;WI House District 18	state-house
Wisconsin;WI House District 19	state-house
Wisconsin;WI House District 2	state-house
Wisconsin;WI House District 20	state-house
Wisconsin;WI House District 21	state-house
Wisconsin;WI House District 22	state-house
Wisconsin;WI House District 23	state-house
Wisconsin;WI House District 24	state-house
Wisconsin;WI House District 25	state-house
Wisconsin;WI House District 26	state-house
Wisconsin;WI House District 27	state-house
Wisconsin;WI House District 28	state-house
Wisconsin;WI House District 29	state-house
Wisconsin;WI House District 3	state-house
Wisconsin;WI House District 30	state-house
Wisconsin;WI House District 31	state-house
Wisconsin;WI House District 32	state-house
Wisconsin;WI House District 33	state-house
Wisconsin;WI House District 34	state-house
Wisconsin;WI House District 35	state-house
Wisconsin;WI House District 36	state-house
Wisconsin;WI House District 37	state-house
Wisconsin;WI House District 38	state-house
Wisconsin;WI House District 39	state-house
Wisconsin;WI House District 4	state-house
Wisconsin;WI House District 40	state-house
Wisconsin;WI House District 41	state-house
Wisconsin;WI House District 42	state-house
Wisconsin;WI House District 43	state-house
Wisconsin;WI House District 44	state-house
Wisconsin;WI House District 45	state-house
Wisconsin;WI House District 46	state-house
Wisconsin;WI House District 47	state-house
Wisconsin;WI House District 48	state-house
Wisconsin;WI House District 49	state-house
Wisconsin;WI House District 5	state-house
Wisconsin;WI House District 50	state-house
Wisconsin;WI House District 51	state-house
Wisconsin;WI House District 52	state-house
Wisconsin;WI House District 53	state-house
Wisconsin;WI House District 54	state-house
Wisconsin;WI House District 55	state-house
Wisconsin;WI House District 56	state-house
Wisconsin;WI House District 57	state-house
Wisconsin;WI House District 58	state-house
Wisconsin;WI House District 59	state-house
Wisconsin;WI House District 6	state-house
Wisconsin;WI House District 60	state-house
Wisconsin;WI House District 61	state-house
Wisconsin;WI House District 62	state-house
Wisconsin;WI House District 63	state-house
Wisconsin;WI House District 64	state-house
Wisconsin;WI House District 65	state-house
Wisconsin;WI House District 66	state-house
Wisconsin;WI House District 67	state-house
Wisconsin;WI House District 68	state-house
Wisconsin;WI House District 69	state-house
Wisconsin;WI House District 7	state-house
Wisconsin;WI House District 70	state-house
Wisconsin;WI House District 71	state-house
Wisconsin;WI House District 72	state-house
Wisconsin;WI House District 73	state-house
Wisconsin;WI House District 74	state-house
Wisconsin;WI House District 75	state-house
Wisconsin;WI House District 76	state-house
Wisconsin;WI House District 77	state-house
Wisconsin;WI House District 78	state-house
