cdf_element	cdf_internal_name	raw_identifier_value
Candidate	Timothy Lenartowski	Timothy Lenartowski (write-in)
Candidate	Stephen W. Ratzlaff	"Stephen W. Ratzlaff, Jr."
Candidate	Reese Wood	Reese Wood (write-in)
Candidate	President R19 Boddie	President R19 Boddie (write-in)
Candidate	Michelle Bryant	Michelle Bryant (write-in)
Candidate	Mark Charles	Mark Charles
Candidate	Marc Adam Ciske	Marc Adam Ciske
Candidate	Linda Boucher	Linda Boucher (write-in)
Candidate	Leroy Brown	"Leroy Brown, II"
Candidate	Kasey Wells	Kasey Wells (write-in)
Candidate	Kanye West	Kanye West Michelle Tidball (write-in)
Candidate	Joseph R. Biden	Joseph R. Biden Kamala D. Harris
Candidate	Joseph Connelly	Joseph Connelly
Candidate	Jo Jorgensen	Jo Jorgensen Jeremy Spike Cohen
Candidate	Jean Bartz	Jean Bartz
Candidate	Jade Simmons	Jade Simmons
Candidate	Jacquelyn Rose Romando	Jacquelyn Rose Romando (write-in)
Candidate	Howie Hawkins	Howie Hawkins Angela Walker (write-in)
Candidate	Gloria La Riva	Gloria La Riva
Candidate	Erin Schmidt	Erin Schmidt (Write-In)
Candidate	Donald J. Trump	Donald J. Trump Michael R. Pence
Candidate	Don Blankenship	Don Blankenship William Mohr
Candidate	Dominic Jessy McClain	Dominic Jessy McClain (write-in)
Candidate	Dennis C. Walton	Dennis C. Walton
Candidate	Brian Carroll	Brian Carroll Amar Patel
Candidate	Aaron A. LaFave	Aaron A. LaFave
Candidate	Aaron D. Perry	Aaron D. Perry
Candidate	Aaron Elaine Camacho	Aaron Elaine Camacho
Candidate	Aaron M. Wojciechowski	Aaron M. Wojciechowski
Candidate	Aaron Matteson	Aaron Matteson
Candidate	Abie Eisenbach	Abie Eisenbach
Candidate	Abigail Lowery	Abigail Lowery
Candidate	Adam Murphy	Adam Murphy
Candidate	Adam Neylon	Adam Neylon
Candidate	Adam Nicholas Paul (write-in)	Adam Nicholas Paul (write-in)
Candidate	Aisha Moe	Aisha Moe
Candidate	Alan R. DeYoung	Alan R. DeYoung
Candidate	Albert Rohland	Albert Rohland
Candidate	Alberta Darling	Alberta Darling
Candidate	Alciro Deacon	Alciro Deacon
Candidate	Alex A. Dallman	Alex A. Dallman
Candidate	Ali Holzman	Ali Holzman
Candidate	Ali Maresh	Ali Maresh
Candidate	Alyson Leahy	Alyson Leahy
Candidate	Amanda Stuck	Amanda Stuck
Candidate	Amanda WhiteEagle	Amanda WhiteEagle
Candidate	Amani Latimer Burris	Amani Latimer Burris
Candidate	Amy Klobuchar	Amy Klobuchar
Candidate	Amy Loudenbeck	Amy Loudenbeck
Candidate	Andi Rich	Andi Rich
Candidate	Andrew McKinney	Andrew McKinney
Candidate	Andrew Yang	Andrew Yang
Candidate	Andrew Zuelke	Andrew Zuelke
Candidate	Andr̩ Jacque	Andr̩ Jacque
Candidate	Andy Craig	Andy Craig
Candidate	Angel C. Sanchez	Angel C. Sanchez
Candidate	Ann Groves Lloyd	Ann Groves Lloyd
Candidate	Arnie Enz	Arnie Enz
Candidate	Arnie Enz	Arnie Enz No Candidate
Candidate	Arthur L. Shrader	Arthur L. Shrader
Candidate	August Schutz	August Schutz
Candidate	Barbara Dittrich	Barbara Dittrich
Candidate	Barret Galauner (write-in)	Barret Galauner (write-in)
Candidate	Barry Hammarback	Barry Hammarback
Candidate	Beau Liegeois	Beau Liegeois
Candidate	Bernie Sanders	Bernie Sanders
Candidate	Beth Drew	Beth Drew
Candidate	Beth Meyers	Beth Meyers
Candidate	Bob Kulp	Bob Kulp
Candidate	Bob Look (write-in)	Bob Look (write-in)
Candidate	Bonnie Lee	Bonnie Lee
Candidate	Brad Karas (write-in)	Brad Karas (write-in)
Candidate	Brad Pfaff	Brad Pfaff
Candidate	Brad Schimel	Brad Schimel
Candidate	Bradley Jason Burt (write-in)	Bradley Jason Burt (write-in)
Candidate	Brandon White	Brandon White
Candidate	Brian Adams (Write-In)	Brian Adams (Write-In)
Candidate	Brian Benford	Brian Benford
Candidate	Brian Corriea	Brian Corriea
Candidate	Brian Giles	Brian Giles
Candidate	Brittany Keyes	Brittany Keyes
Candidate	Bryan Steil	Bryan Steil
Candidate	Caleb Frostman	Caleb Frostman
Candidate	Calvin Callahan	Calvin Callahan
Candidate	Cari Fay	Cari Fay
Candidate	Carl Gates	Carl Gates
Candidate	Casey Helbach	Casey Helbach
Candidate	Charlene Charlie Warner	Charlene Charlie Warner
Candidate	Charlie Walker	Charlie Walker
Candidate	Chase Binnie	Chase Binnie
Candidate	Cherie Link	Cherie Link
Candidate	Cherunda Fox	Cherunda Fox
Candidate	Chris Kapenga	Chris Kapenga
Candidate	Chris Kapsner	Chris Kapsner
Candidate	Chris Keniston	Chris Keniston
Candidate	Chris Larson	Chris Larson
Candidate	Chris Meier	Chris Meier
Candidate	Chris Rahlf	Chris Rahlf
Candidate	Chris Reimer	Chris Reimer
Candidate	Chris Taylor	Chris Taylor
Candidate	Chris Walton	Chris Walton
Candidate	Christian Saldivar	Christian Saldivar
Candidate	Christine M. Sinicki	Christine M. Sinicki
Candidate	Christine M. Sinicki	Christine Sinicki
Candidate	Chuck Harsh	Chuck Harsh
Candidate	Chuck Wichgers	Chuck Wichgers
Candidate	Cindi Duchow	Cindi Duchow
Candidate	Cindy Werner	Cindy Werner
Candidate	Cliff DeTemple	Cliff DeTemple
Candidate	Clint Moses	Clint Moses
Candidate	Cody Horlacher	Cody Horlacher
Candidate	Cody J. Horlacher	Cody J. Horlacher
Candidate	Criste Greening	Criste Greening
Candidate	Crystal J. Miller	Crystal J. Miller
Candidate	Curtis Cook II	Curtis Cook II
Candidate	Dale Kooyenga	Dale Kooyenga
Candidate	Dan Feyen	Dan Feyen
Candidate	Dan Griffin	Dan Griffin
Candidate	Dan Kapanke	Dan Kapanke
Candidate	Dan Knodl	Dan Knodl
Candidate	Dan Kohl	Dan Kohl
Candidate	Dan Schierl	Dan Schierl
Candidate	Daniel G. Riemer	Daniel G. Riemer
Candidate	Daniel Schierl	Daniel Schierl
Candidate	Darrell L. Castle	Darrell L. Castle
Candidate	Dave Considine	Dave Considine
Candidate	Dave Murphy	Dave Murphy
Candidate	David Armstrong	David Armstrong
Candidate	David Bowen	David Bowen
Candidate	David C. Crowley	David C. Crowley
Candidate	David Gorski	David Gorski
Candidate	David J. Dahlke	David J. Dahlke
Candidate	David Steffen	David Steffen
Candidate	Deb Andraca	Deb Andraca
Candidate	Deb Kolste	Deb Kolste
Candidate	Deb Silvers	Deb Silvers
Candidate	Dennis D. Degenhardt	Dennis D. Degenhardt
Candidate	Dennis Raymond McBride	Dennis Raymond McBride
Candidate	Derrick Van Orden	Derrick Van Orden
Candidate	Deval Patrick	Deval Patrick
Candidate	Devin LeMahieu	Devin LeMahieu
Candidate	Dewey Bredeson	Dewey Bredeson
Candidate	Diana Lawrence	Diana Lawrence
Candidate	Dianne H. Hesselbein	Dianne H. Hesselbein
Candidate	Dianne Hesselbein	Dianne Hesselbein
Candidate	Don Vruwink	Don Vruwink
Candidate	Donald J. Trump	Donald J. Trump
Candidate	Donald Nelson	Donald Nelson
Candidate	Donna M. Rozar	Donna M. Rozar
Candidate	Donny Herman	Donny Herman
Candidate	Dora Drake	Dora Drake
Candidate	Doug La Follette	Doug La Follette
Candidate	Drew Kirsteatter	Drew Kirsteatter
Candidate	DuWayne Severson	DuWayne Severson
Candidate	Duey Stroebel	Duey Stroebel
Candidate	Echo Reardon	Echo Reardon
Candidate	Ed Hibsch	Ed Hibsch
Candidate	Ed Vocke	Ed Vocke
Candidate	Elisha Barudin	Elisha Barudin
Candidate	Elizabeth Lochner-Abel	Elizabeth Lochner-Abel
Candidate	Elizabeth Riley	Elizabeth Riley
Candidate	Elizabeth Warren	Elizabeth Warren
Candidate	Emidio Soltysik	Emidio Soltysik
Candidate	Emily Berge	Emily Berge
Candidate	Emily Siegrist	Emily Siegrist
Candidate	Emily Voight	Emily Voight
Candidate	Eric J. Beach	Eric J. Beach
Candidate	Eric Wimberger	Eric Wimberger
Candidate	Erica Flynn	Erica Flynn
Candidate	Erik Brooks	Erik Brooks
Candidate	Erin Tracy	Erin Tracy
Candidate	Evan Goyke	Evan Goyke
Candidate	Evan McMullin	Evan McMullin
Candidate	"F. James Sensenbrenner, Jr."	"F. James Sensenbrenner, Jr."
Candidate	Francesca Hong	Francesca Hong
Candidate	Frank T. Buress	Frank T. Buress
Candidate	Gabriel A. Gomez	Gabriel A. Gomez
Candidate	Gabriel Szerlong	Gabriel Szerlong
Candidate	Gae Magnafici	Gae Magnafici
Candidate	Gary A. Will	Gary A. Will
Candidate	Gary Alan Hebl	Gary Alan Hebl
Candidate	Gary Alan Hebl	Gary Hebl
Candidate	Gary Johnson	Gary Johnson
Candidate	Gary Tauchen	Gary Tauchen
Candidate	Gina Walkington	Gina Walkington
Candidate	Glenn Grothman	Glenn Grothman
Candidate	Gordon Hintz	Gordon Hintz
Candidate	Gregory Alan Neumann (wr-in)	Gregory Alan Neumann (wr-in)
Candidate	Greta Neubauer	Greta Neubauer
Candidate	Gwen S. Moore	Gwen S. Moore
Candidate	Heather Driscoll	Heather Driscoll
Candidate	Helmut Fritz	Helmut Fritz
Candidate	Hillary Clinton	Hillary Clinton
Candidate	Howard Marklein	Howard Marklein
Candidate	Izzy Hassey Nevarez	Izzy Hassey Nevarez
Candidate	Jacob Malinowski	Jacob Malinowski
Candidate	James Bolen	James Bolen
Candidate	James Krus	James Krus
Candidate	James W. Edming	James W. Edming
Candidate	Janel Brandtjen	Janel Brandtjen
Candidate	Janet Bewley	Janet Bewley
Candidate	Janis Ringhand	Janis Ringhand
Candidate	Jared William Landry (Write-in)	Jared William Landry (Write-in)
