Name	ReportingUnitType
Wyoming;WY House District 1	state-house
Wyoming;WY House District 2	state-house
Wyoming;WY House District 3	state-house
Wyoming;WY House District 4	state-house
Wyoming;WY House District 5	state-house
Wyoming;WY House District 6	state-house
Wyoming;WY House District 7	state-house
Wyoming;WY House District 8	state-house
Wyoming;WY House District 9	state-house
Wyoming;WY House District 10	state-house
Wyoming;WY House District 11	state-house
Wyoming;WY House District 12	state-house
Wyoming;WY House District 13	state-house
Wyoming;WY House District 14	state-house
Wyoming;WY House District 15	state-house
Wyoming;WY House District 16	state-house
Wyoming;WY House District 17	state-house
Wyoming;WY House District 18	state-house
Wyoming;WY House District 19	state-house
Wyoming;WY House District 20	state-house
Wyoming;WY House District 21	state-house
Wyoming;WY House District 22	state-house
Wyoming;WY House District 23	state-house
Wyoming;WY House District 24	state-house
Wyoming;WY House District 25	state-house
Wyoming;WY House District 26	state-house
Wyoming;WY House District 27	state-house
Wyoming;WY House District 28	state-house
Wyoming;WY House District 29	state-house
Wyoming;WY House District 30	state-house
Wyoming;WY House District 31	state-house
Wyoming;WY House District 32	state-house
Wyoming;WY House District 33	state-house
Wyoming;WY House District 34	state-house
Wyoming;WY House District 35	state-house
Wyoming;WY House District 36	state-house
Wyoming;WY House District 37	state-house
Wyoming;WY House District 38	state-house
Wyoming;WY House District 39	state-house
Wyoming;WY House District 40	state-house
Wyoming;WY House District 41	state-house
Wyoming;WY House District 42	state-house
Wyoming;WY House District 43	state-house
Wyoming;WY House District 44	state-house
Wyoming;WY House District 45	state-house
Wyoming;WY House District 46	state-house
Wyoming;WY House District 47	state-house
Wyoming;WY House District 48	state-house
Wyoming;WY House District 49	state-house
Wyoming;WY House District 50	state-house
Wyoming;WY House District 51	state-house
Wyoming;WY House District 52	state-house
Wyoming;WY House District 53	state-house
Wyoming;WY House District 54	state-house
Wyoming;WY House District 55	state-house
Wyoming;WY House District 56	state-house
Wyoming;WY House District 57	state-house
Wyoming;WY House District 58	state-house
Wyoming;WY House District 59	state-house
Wyoming;WY House District 60	state-house
Wyoming;WY Senate District 1	state-senate
Wyoming;WY Senate District 2	state-senate
Wyoming;WY Senate District 3	state-senate
Wyoming;WY Senate District 4	state-senate
Wyoming;WY Senate District 5	state-senate
Wyoming;WY Senate District 6	state-senate
Wyoming;WY Senate District 7	state-senate
Wyoming;WY Senate District 8	state-senate
Wyoming;WY Senate District 9	state-senate
Wyoming;WY Senate District 10	state-senate
Wyoming;WY Senate District 11	state-senate
Wyoming;WY Senate District 12	state-senate
Wyoming;WY Senate District 13	state-senate
Wyoming;WY Senate District 14	state-senate
Wyoming;WY Senate District 15	state-senate
Wyoming;WY Senate District 16	state-senate
Wyoming;WY Senate District 17	state-senate
Wyoming;WY Senate District 18	state-senate
Wyoming;WY Senate District 19	state-senate
Wyoming;WY Senate District 20	state-senate
Wyoming;WY Senate District 21	state-senate
Wyoming;WY Senate District 22	state-senate
Wyoming;WY Senate District 23	state-senate
Wyoming;WY Senate District 24	state-senate
Wyoming;WY Senate District 25	state-senate
Wyoming;WY Senate District 26	state-senate
Wyoming;WY Senate District 27	state-senate
Wyoming;WY Senate District 28	state-senate
Wyoming;WY Senate District 29	state-senate
Wyoming;WY Senate District 30	state-senate
Wyoming;US House WY District 1	congressional
Wyoming	state
Wyoming;Albany County	county
Wyoming;Big Horn County	county
Wyoming;Campbell County	county
Wyoming;Carbon County	county
Wyoming;Converse County	county
Wyoming;Crook County	county
Wyoming;Fremont County	county
Wyoming;Goshen County	county
Wyoming;Hot Springs County	county
Wyoming;Johnson County	county
Wyoming;Laramie County	county
Wyoming;Lincoln County	county
Wyoming;Natrona County	county
Wyoming;Niobrara County	county
Wyoming;Park County	county
Wyoming;Platte County	county
Wyoming;Sheridan County	county
Wyoming;Sublette County	county
Wyoming;Sweetwater County	county
Wyoming;Teton County	county
Wyoming;Uinta County	county
Wyoming;Washakie County	county
Wyoming;Weston County	county
